split,horizon_days,threshold,maturity_mode,top_k,train_source_topk_events,train_source_topk_total_r,forward_source_topk_events,forward_source_topk_total_r,forward_source_topk_mean_r,forward_topk_total_r,train_score
2025_to_2026,5,1.07,all,2,64,-9.499056167400258,8,5.2,0.65,-0.8270108175619602,10.137385909467309
2025_to_2026,5,1.07,all,3,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293496016542406
2025_to_2026,5,1.07,all,5,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293496016542406
2025_to_2026,5,1.07,all,10,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293496016542406
2025_to_2026,5,1.07,first2_per_window,2,64,-9.499056167400258,8,5.2,0.65,-0.8270108175619602,10.137385909467309
2025_to_2026,5,1.07,first2_per_window,3,64,-9.499056167400258,8,5.2,0.65,-0.8270108175619602,10.137385909467309
2025_to_2026,5,1.07,first2_per_window,5,64,-9.499056167400258,8,5.2,0.65,-0.8270108175619602,10.137385909467309
2025_to_2026,5,1.07,first2_per_window,10,64,-9.499056167400258,8,5.2,0.65,-0.8270108175619602,10.137385909467309
2025_to_2026,5,1.07,loop_first,2,61,-9.18086729400064,8,5.2,0.65,-0.8270108175619602,9.827279983129037
2025_to_2026,5,1.07,loop_first,3,62,-8.525706097369781,8,5.2,0.65,-0.8270108175619602,9.983498005614054
2025_to_2026,5,1.07,loop_first,5,62,-8.525706097369781,8,5.2,0.65,-0.8270108175619602,9.983498005614054
2025_to_2026,5,1.07,loop_first,10,62,-8.525706097369781,8,5.2,0.65,-0.8270108175619602,9.983498005614054
2025_to_2026,5,1.07,loop_first2,2,64,-9.499056167400258,8,5.2,0.65,-0.8270108175619602,10.137385909467309
2025_to_2026,5,1.07,loop_first2,3,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293496016542406
2025_to_2026,5,1.07,loop_first2,5,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293496016542406
2025_to_2026,5,1.07,loop_first2,10,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293496016542406
2025_to_2026,5,1.1,all,2,64,-9.499056167400258,8,5.2,0.65,-0.8270108175619602,10.137620284467308
2025_to_2026,5,1.1,all,3,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293726785773176
2025_to_2026,5,1.1,all,5,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293726785773176
2025_to_2026,5,1.1,all,10,65,-8.843894970769398,8,5.2,0.65,-0.8270108175619602,10.293726785773176
