tier,split,events,total_r,mean_r,median_r,win_rate,losses,max_drawdown_r,negative_months,worst_month_r,max_symbol_share,symbols
or_stack_all,train_pre_2026,72,24.613862930034543,0.34185920736159087,0.9,0.6944444444444444,22,-1.3000000000000043,3,-1.0619085988799402,0.1388888888888889,17
or_stack_all,forward_2026,29,21.774751207706334,0.7508534899209081,0.9,0.9310344827586207,2,-1.46980623007112,0,0.6006571998125398,0.13793103448275862,13
or_stack_all,all,101,46.38861413774087,0.4592932092845631,0.9,0.7623762376237624,24,-1.4698062300711214,3,-1.0619085988799402,0.12871287128712872,18
tier_a_or_stack_one_win_warm,train_pre_2026,22,4.68407600288422,0.21291254558564637,0.39142056085081,0.6363636363636364,8,-1.99630973370262,4,-1.1,0.2727272727272727,8
tier_a_or_stack_one_win_warm,forward_2026,10,8.5740940078938,0.85740940078938,0.9,1.0,0,0.0,0,0.9,0.3,7
tier_a_or_stack_one_win_warm,all,32,13.25817001077802,0.4143178128368131,0.9,0.75,8,-1.99630973370262,4,-1.1,0.21875,10
tier_b_or_stack_not_one_win_warm,train_pre_2026,50,19.929786927150317,0.39859573854300634,0.9,0.72,14,-1.6522445590624493,3,-1.0619085988799402,0.16,17
tier_b_or_stack_not_one_win_warm,forward_2026,19,13.200657199812541,0.6947714315690812,0.9,0.8947368421052632,2,-1.46980623007112,0,0.6006571998125398,0.15789473684210525,13
tier_b_or_stack_not_one_win_warm,all,69,33.13044412696285,0.4801513641588819,0.9,0.7681159420289855,16,-1.6522445590624493,3,-1.0619085988799402,0.13043478260869565,18
or_stack_first_win_next5,train_pre_2026,21,3.93996144229106,0.18761721153766953,0.32168674698794,0.6190476190476191,8,-1.99630973370262,4,-1.1,0.23809523809523808,8
or_stack_first_win_next5,forward_2026,9,8.1,0.8999999999999999,0.9,1.0,0,0.0,0,0.9,0.3333333333333333,6
or_stack_first_win_next5,all,30,12.039961442291062,0.40133204807636874,0.9,0.7333333333333333,8,-1.99630973370262,4,-1.1,0.16666666666666666,10
or_stack_last_prior_winner,train_pre_2026,21,4.12430214239662,0.19639534011412477,0.32168674698794,0.6190476190476191,8,-1.99630973370262,4,-1.1,0.23809523809523808,8
or_stack_last_prior_winner,forward_2026,9,7.6740940078938005,0.8526771119882001,0.9,1.0,0,0.0,0,0.9,0.3333333333333333,7
or_stack_last_prior_winner,all,30,11.798396150290422,0.3932798716763474,0.9,0.7333333333333333,8,-1.99630973370262,4,-1.1,0.2,10
