symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
80M,139463006,0,False,0,,2026-09-14T08:58:41.338596+00:00,IBKR historical data returned no bars for 80M
88E,185891386,0,False,0,,2026-09-14T08:58:43.240542+00:00,IBKR historical data returned no bars for 88E
AAF,373291234,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:51.356639+00:00,
AAL,788708135,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:59:02.243726+00:00,
ABDN,337997965,4,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:50.137211+00:00,
ABF,908924,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:25.251466+00:00,
ACG,771313676,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:59:01.844621+00:00,
ACRM,748086588,0,False,0,,2026-09-14T08:59:00.946538+00:00,IBKR historical data returned no bars for ACRM
ADM,38772705,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:32.654644+00:00,
AEP,895791925,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:59:06.737834+00:00,
AET,71338355,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:36.500201+00:00,
AFP,494692725,0,False,0,,2026-09-14T08:58:54.838919+00:00,IBKR historical data returned no bars for AFP
AIBG,463342389,0,False,0,,2026-09-14T08:58:53.735037+00:00,IBKR historical data returned no bars for AIBG
AJB,344998936,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:50.536792+00:00,
AKN,300356866,0,False,0,,2026-09-14T08:58:48.339933+00:00,IBKR historical data returned no bars for AKN
ALFA,277742397,4,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:47.136607+00:00,
ALL,587790171,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:58.454726+00:00,
ALRT,448573759,0,False,0,,2026-09-14T08:58:52.735601+00:00,IBKR historical data returned no bars for ALRT
AMGO,324532866,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:49.355567+00:00,
AMRQ,799369400,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:59:02.440527+00:00,
AMS,89552265,0,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:38.741506+00:00,
ANGS,255449830,0,False,0,,2026-09-14T08:58:45.940744+00:00,IBKR historical data returned no bars for ANGS
ANIC,94387731,0,False,0,,2026-09-14T08:58:39.843067+00:00,IBKR historical data returned no bars for ANIC
ANP,804727532,0,False,0,,2026-09-14T08:59:04.385787+00:00,IBKR historical data returned no bars for ANP
ANTO,17628566,5,True,5,2026-09-14T07:00:00+00:00;2026-09-14T07:01:00+00:00;2026-09-14T07:02:00+00:00;2026-09-14T07:03:00+00:00;2026-09-14T07:04:00+00:00,2026-09-14T08:58:28.541831+00:00,
ARC,448781278,0,False,0,,2026-09-14T08:58:52.838126+00:00,IBKR historical data returned no bars for ARC
ARCM,804727345,0,False,0,,2026-09-14T08:59:03.137843+00:00,IBKR historical data returned no bars for ARCM
AREC,495237584,0,False,0,,2026-09-14T08:58:54.939349+00:00,IBKR historical data returned no bars for AREC
