market,scan_code,stock_type_filter,row_count,checked_at_utc,warnings,error
LSE,HOT_BY_VOLUME,CORP,50,2026-09-14T08:57:55.152721+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Hot Contracts by Volume;Real-Time Market Data:United Kingdom (LSE),
LSE,HOT_BY_VOLUME,,50,2026-09-14T08:57:55.469111+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Hot Contracts by Volume;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_OPEN_PERC_GAIN,CORP,50,2026-09-14T08:57:55.952130+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top % Gainers Since Open;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_OPEN_PERC_GAIN,,50,2026-09-14T08:57:56.517279+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top % Gainers Since Open;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_OPEN_PERC_LOSE,CORP,50,2026-09-14T08:57:56.753907+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top % Losers Since Open;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_OPEN_PERC_LOSE,,50,2026-09-14T08:57:57.129069+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top % Losers Since Open;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_TRADE_RATE,CORP,50,2026-09-14T08:57:57.455199+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top Trade Rate;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_TRADE_RATE,,50,2026-09-14T08:57:57.940599+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top Trade Rate;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_VOLUME_RATE,CORP,50,2026-09-14T08:57:58.236557+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top Volume Rate;Real-Time Market Data:United Kingdom (LSE),
LSE,TOP_VOLUME_RATE,,50,2026-09-14T08:57:58.670008+00:00,IBKR scanner precision warning (492): You must subscribe for additional permissions to obtain precise results for scanner.Parameter:Top Volume Rate;Real-Time Market Data:United Kingdom (LSE),
KOREA,HOT_BY_VOLUME,CORP,50,2026-09-14T08:57:59.169262+00:00,,
KOREA,HOT_BY_VOLUME,,50,2026-09-14T08:57:59.677446+00:00,,
KOREA,TOP_OPEN_PERC_GAIN,CORP,50,2026-09-14T08:58:00.269391+00:00,,
KOREA,TOP_OPEN_PERC_GAIN,,50,2026-09-14T08:58:00.888223+00:00,,
KOREA,TOP_OPEN_PERC_LOSE,CORP,50,2026-09-14T08:58:01.446419+00:00,,
KOREA,TOP_OPEN_PERC_LOSE,,50,2026-09-14T08:58:02.498515+00:00,,
KOREA,TOP_TRADE_RATE,CORP,0,2026-09-14T08:58:03.040119+00:00,,
KOREA,TOP_TRADE_RATE,,0,2026-09-14T08:58:03.604519+00:00,,
KOREA,TOP_VOLUME_RATE,CORP,50,2026-09-14T08:58:04.159213+00:00,,
KOREA,TOP_VOLUME_RATE,,50,2026-09-14T08:58:04.776371+00:00,,
