record_type,draw,population,comparison,log_loss_improvement,brier_improvement,top_two_change,top_one_change,realised_class_probability_change,prediction_entropy_reduction,effective_candidate_count_change,metric,real_increment,null_draws_exceeded,exceeds_at_least_0_of_5,exceeds_at_least_3_of_5,exceeds_at_least_4_of_5,exceeds_all_5
draw,0,pooled,T1_minus_T0,-0.00017917091402908092,-0.00016299335652780744,-0.0008925578276902657,-1.3502439751178485e-05,-1.7344497689864014e-05,0.0002839617522186755,-0.0005854083201808358,,,,,,,
draw,0,pooled,T2_minus_T1,-0.00011147239645925566,1.8324732329988436e-05,8.380824673170917e-05,0.0008804521920512398,0.00010032355474587362,0.00027058765327048206,-0.00055768196551087,,,,,,,
draw,0,opening,T1_minus_T0,0.00023103404441393582,1.151634244844768e-05,-0.00047770700636928787,0.0002560807539018217,-9.752325443357357e-05,-0.0003050578174088603,0.0006152758728821262,,,,,,,
draw,0,opening,T2_minus_T1,-0.00022875459909532658,-1.5222688366678394e-05,0.00015923566878983664,0.0017692852087756172,8.501788144499312e-05,0.000325756761141216,-0.0006570170960804589,,,,,,,
draw,0,later,T1_minus_T0,-0.0005893758724720977,-0.0003375030555041736,-0.0013074086490111325,-0.00028308563340406767,6.283425905406759e-05,0.0008729813218462112,-0.0018395657887597672,,,,,,,
draw,0,later,T2_minus_T1,5.809806176593213e-06,5.187215302648873e-05,8.380824673026588e-06,-8.38082467313761e-06,0.00011562922804653208,0.00021541854539974814,-0.0004536878048093662,,,,,,,
draw,0,late_no_open,T1_minus_T0,-0.0006879627721488868,-0.00039780840233510917,-0.001540015734330713,-0.0002972474814199044,2.4069385817782063e-06,0.0007829878957700265,-0.0016500356605275712,,,,,,,
draw,0,late_no_open,T2_minus_T1,5.411459423754206e-05,7.062002467833617e-05,8.800089910332431e-06,-0.00017600179820920214,0.00013820721345547682,0.00025221479431758453,-0.0005312317680270517,,,,,,,
draw,1,pooled,T1_minus_T0,-0.0005966408522533051,-0.0003373199257954984,-0.0011272209185382298,0.0029537750959138798,0.00024733882757332903,0.0015553938355867825,-0.003204522837401136,,,,,,,
draw,1,pooled,T2_minus_T1,-0.0002691963231693517,-0.00016114509388848175,8.846426043707112e-06,1.2571237009817438e-05,-6.597156886056776e-05,7.713620163851687e-05,-0.0001587912998886054,,,,,,,
draw,1,opening,T1_minus_T0,-0.0011764644517116007,-0.0006881217625471225,0.00015923566878983664,0.0030338585316795896,-0.0003905198784643904,2.3860214182991335e-05,-4.811612439858948e-05,,,,,,,
draw,1,opening,T2_minus_T1,-0.00040128131772165787,-0.00019118409764423694,0.0,0.0006453234998323731,-0.00010832135946403643,5.353877395908313e-05,-0.00010796125288115022,,,,,,,
draw,1,later,T1_minus_T0,-1.6817252795120474e-05,1.3481910956014698e-05,-0.0024136775058667403,0.002873691660148281,0.0008851975336110485,0.0030869274569903515,-0.0064976483302445764,,,,,,,
draw,1,later,T2_minus_T1,-0.00013711132861704556,-0.00013110609013278207,1.769285208774729e-05,-0.0006201810258129603,-2.3621778257099102e-05,0.00010073362931817265,-0.00021169563151479664,,,,,,,
