group_type,group_value,model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,mean_reciprocal_rank,mean_probability_realised_class,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,class_support
phase,OPENING_PHASE,T0,0.6700310202257809,0.4027060886228502,0.7026380973665585,0.9521250046560136,0.8433398827926147,0.5887473431913848,0.013906668664383805,0.7014168843160911,2.016607984419062,6261,157,20,"{""NO_REGISTERED_COMPLETION"": 4308, ""REGISTERED_COMPLETION"": 312, ""UNREGISTERED_LOOP"": 1641}"
phase,OPENING_PHASE,T1,0.665070425658349,0.3991858032241419,0.7056021156926285,0.9514880619808544,0.8447157348431235,0.5909924072078994,0.02073061865436575,0.6994518746204714,2.012649220955528,6261,157,20,"{""NO_REGISTERED_COMPLETION"": 4308, ""REGISTERED_COMPLETION"": 312, ""UNREGISTERED_LOOP"": 1641}"
phase,OPENING_PHASE,T2,0.664982529440978,0.3990607260626314,0.706708384549484,0.9514880619808544,0.8452688692715511,0.5911503747950039,0.020613886466880824,0.6990043422925918,2.011748696886315,6261,157,20,"{""NO_REGISTERED_COMPLETION"": 4308, ""REGISTERED_COMPLETION"": 312, ""UNREGISTERED_LOOP"": 1641}"
phase,LATER_PHASE,T0,0.7343244722965748,0.44288988326795864,0.6609746625211711,0.9265700078221031,0.8182489992309362,0.5552949634082684,0.018656535543051578,0.7458071370459658,2.1081423082246213,6212,157,20,"{""NO_REGISTERED_COMPLETION"": 2918, ""REGISTERED_COMPLETION"": 491, ""UNREGISTERED_LOOP"": 2803}"
phase,LATER_PHASE,T1,0.7369648937603774,0.44416965353210436,0.6629413627111365,0.9237130778113011,0.8187561943241184,0.5562070728896229,0.016124229147036144,0.7406013585809978,2.0971963023560285,6212,157,20,"{""NO_REGISTERED_COMPLETION"": 2918, ""REGISTERED_COMPLETION"": 491, ""UNREGISTERED_LOOP"": 2803}"
phase,LATER_PHASE,T2,0.7369152394546904,0.44409572310513873,0.662358429794982,0.9243500204864603,0.8185708849785677,0.5563479485666127,0.014683989409080547,0.7403849726761673,2.096742547731359,6212,157,20,"{""NO_REGISTERED_COMPLETION"": 2918, ""REGISTERED_COMPLETION"": 491, ""UNREGISTERED_LOOP"": 2803}"
posterior_entropy_split,LOW,T0,0.6071051018674127,0.3574776417092302,0.7410287930740416,0.9570050499790861,0.8633485715335352,0.6289565659500156,0.026686128611542577,0.6532885206319001,1.921850493596183,6587,157,20,"{""NO_REGISTERED_COMPLETION"": 4773, ""REGISTERED_COMPLETION"": 270, ""UNREGISTERED_LOOP"": 1544}"
posterior_entropy_split,LOW,T1,0.6050833868993608,0.35626164895259327,0.7424031213014595,0.9567113071679629,0.8639867785120567,0.6301164812677611,0.025556380373401143,0.6508565273563303,1.9171822449946088,6587,157,20,"{""NO_REGISTERED_COMPLETION"": 4773, ""REGISTERED_COMPLETION"": 270, ""UNREGISTERED_LOOP"": 1544}"
posterior_entropy_split,LOW,T2,0.6049953464183473,0.3561551904455956,0.7416833190976256,0.9567113071679629,0.8636268774101399,0.6304058054068952,0.026053353210812907,0.6500973921077372,1.915727396657651,6587,157,20,"{""NO_REGISTERED_COMPLETION"": 4773, ""REGISTERED_COMPLETION"": 270, ""UNREGISTERED_LOOP"": 1544}"
posterior_entropy_split,HIGH,T0,0.8084562063737286,0.49581736648024916,0.6156036681989788,0.9196087415289094,0.7944032910209743,0.5083750012345373,0.016531924886247034,0.8022242369404229,2.230496568053274,5886,157,20,"{""NO_REGISTERED_COMPLETION"": 2453, ""REGISTERED_COMPLETION"": 533, ""UNREGISTERED_LOOP"": 2900}"
posterior_entropy_split,HIGH,T1,0.8082593047827488,0.49480412800945117,0.6192886537607194,0.916237329798754,0.7956838818468187,0.5104216064685325,0.0169055767188923,0.7973494955173652,2.2196499327892427,5886,157,20,"{""NO_REGISTERED_COMPLETION"": 2453, ""REGISTERED_COMPLETION"": 533, ""UNREGISTERED_LOOP"": 2900}"
posterior_entropy_split,HIGH,T2,0.8082120654517038,0.49471239865093364,0.6206474736975882,0.9169118093610314,0.7964757050756327,0.5104146358689985,0.015923511842536063,0.7974950620007301,2.2199730629421492,5886,157,20,"{""NO_REGISTERED_COMPLETION"": 2453, ""REGISTERED_COMPLETION"": 533, ""UNREGISTERED_LOOP"": 2900}"
transition_probability_split,LOW,T0,0.6457804460653739,0.38339862489499565,0.7146219591750435,0.9498432485846175,0.8489515210182913,0.6087852510446723,0.019565502937359626,0.6756339641665059,1.965278497264667,6928,157,20,"{""NO_REGISTERED_COMPLETION"": 4847, ""REGISTERED_COMPLETION"": 332, ""UNREGISTERED_LOOP"": 1749}"
transition_probability_split,LOW,T1,0.6420894780286314,0.38037237221881226,0.7202970108900307,0.9488314046508102,0.8516204062201502,0.6104929116572648,0.019886726255261195,0.6739366081256356,1.9619455493351836,6928,157,20,"{""NO_REGISTERED_COMPLETION"": 4847, ""REGISTERED_COMPLETION"": 332, ""UNREGISTERED_LOOP"": 1749}"
transition_probability_split,LOW,T2,0.6420320518174985,0.38029046252194315,0.7199706366858422,0.9494128373590429,0.8515541245694283,0.6106142528020264,0.022776161653573806,0.6736411506644422,1.9613659635098717,6928,157,20,"{""NO_REGISTERED_COMPLETION"": 4847, ""REGISTERED_COMPLETION"": 332, ""UNREGISTERED_LOOP"": 1749}"
transition_probability_split,HIGH,T0,0.7724995926156224,0.47192508608372385,0.6408886035128089,0.9262603552932196,0.808154360971941,0.5261799654415967,0.018917699653016935,0.7834358817469642,2.1889804374458692,5545,157,20,"{""NO_REGISTERED_COMPLETION"": 2379, ""REGISTERED_COMPLETION"": 471, ""UNREGISTERED_LOOP"": 2695}"
transition_probability_split,HIGH,T1,0.7744952645541342,0.4731814156001361,0.6393517942446667,0.9235968315378148,0.8069420357119693,0.527597609869232,0.020776280937801192,0.7774962912697022,2.176017325981566,5545,157,20,"{""NO_REGISTERED_COMPLETION"": 2379, ""REGISTERED_COMPLETION"": 471, ""UNREGISTERED_LOOP"": 2695}"
transition_probability_split,HIGH,T2,0.7744123381510537,0.47305997370943553,0.6403466925523612,0.9235874160964169,0.8074379156255834,0.5277820450871351,0.015918905366409976,0.7771188182053912,2.175196093059939,5545,157,20,"{""NO_REGISTERED_COMPLETION"": 2379, ""REGISTERED_COMPLETION"": 471, ""UNREGISTERED_LOOP"": 2695}"
