record_type,population,emotion,trajectory,statistic,value,quintile,target_class,development_q20,development_q40,development_q60,development_q80
summary,development,arousal,,level_mean,0.08174476708993812,,,,,,
summary,development,arousal,,level_standard_deviation,0.7487795570536555,,,,,,
summary,development,arousal,,change_mean,-0.005846032060175702,,,,,,
summary,development,arousal,,change_standard_deviation,0.2522277250810764,,,,,,
summary,development,arousal,,acceleration_mean,-0.002448176722077857,,,,,,
summary,development,arousal,,acceleration_standard_deviation,0.22231830993635796,,,,,,
summary,development,arousal,,reversal_frequency,0.44148533073508717,,,,,,
summary,development,arousal,,persistence_frequency,0.5585146692649129,,,,,,
summary,development,arousal,,peak_displacement_mean,-0.11295051045589398,,,,,,
summary,development,arousal,,peak_displacement_standard_deviation,0.12327501840619551,,,,,,
summary,development,arousal,,level_change_opposite_sign_frequency,0.43894121468009095,,,,,,
summary,development,arousal,,reverses_before_decision_frequency,0.44148533073508717,,,,,,
summary,development,arousal,,at_local_peak_at_decision_frequency,0.291328353361481,,,,,,
correlation,development,arousal,change,correlation_with_current_level,0.172144842003764,,,,,,
correlation,development,arousal,change,correlation_with_change,1.0,,,,,,
correlation,development,arousal,change,correlation_with_acceleration,-0.4240463793434616,,,,,,
correlation,development,arousal,change,correlation_with_reversal,0.13347149696179364,,,,,,
correlation,development,arousal,change,correlation_with_recent_change,0.6172375889818541,,,,,,
correlation,development,arousal,change,correlation_with_monotonic_persistence,0.7669633073474592,,,,,,
correlation,development,arousal,change,correlation_with_peak_displacement,0.7767302859547907,,,,,,
correlation,development,arousal,acceleration,correlation_with_current_level,-0.10741696324323448,,,,,,
correlation,development,arousal,acceleration,correlation_with_change,-0.4240463793434616,,,,,,
correlation,development,arousal,acceleration,correlation_with_acceleration,1.0,,,,,,
correlation,development,arousal,acceleration,correlation_with_reversal,-0.055452689422287184,,,,,,
correlation,development,arousal,acceleration,correlation_with_recent_change,0.45079956409829974,,,,,,
correlation,development,arousal,acceleration,correlation_with_monotonic_persistence,-0.19870188450135784,,,,,,
correlation,development,arousal,acceleration,correlation_with_peak_displacement,-0.15819696378366563,,,,,,
