symbol,session,month,decision_ordinal,anchor_ordinal,anchor_role,emotion,reason
CIFR,2024-08-23,2024-08,36,36,E2,ALL,causal_historical_activity_unavailable
CIFR,2024-09-05,2024-09,36,36,E2,ALL,causal_historical_activity_unavailable
CIFR,2024-12-17,2024-12,24,24,E2,ALL,causal_historical_activity_unavailable
CIFR,2024-12-17,2024-12,36,24,E1,ALL,causal_historical_activity_unavailable
CIFR,2024-12-17,2024-12,36,36,E2,ALL,causal_historical_activity_unavailable
CIFR,2025-01-06,2025-01,24,24,E2,ALL,causal_historical_activity_unavailable
CIFR,2025-01-06,2025-01,36,24,E1,ALL,causal_historical_activity_unavailable
CIFR,2025-01-06,2025-01,36,36,E2,ALL,causal_historical_activity_unavailable
CIFR,2025-01-08,2025-01,24,24,E2,ALL,causal_historical_activity_unavailable
CIFR,2025-01-08,2025-01,36,24,E1,ALL,causal_historical_activity_unavailable
CIFR,2025-01-08,2025-01,36,36,E2,ALL,causal_historical_activity_unavailable
IREN,2025-01-13,2025-01,24,24,E2,ALL,causal_historical_activity_unavailable
IREN,2025-01-13,2025-01,36,24,E1,ALL,causal_historical_activity_unavailable
IREN,2025-01-13,2025-01,36,36,E2,ALL,causal_historical_activity_unavailable
IREN,2025-08-21,2025-08,36,36,E2,ALL,causal_historical_activity_unavailable
NVTS,2024-12-20,2024-12,24,24,E2,ALL,causal_historical_activity_unavailable
NVTS,2024-12-20,2024-12,36,24,E1,ALL,causal_historical_activity_unavailable
NVTS,2024-12-20,2024-12,36,36,E2,ALL,causal_historical_activity_unavailable
NVTS,2024-12-30,2024-12,24,16,E1,ALL,causal_historical_activity_unavailable
NVTS,2024-12-30,2024-12,24,24,E2,ALL,causal_historical_activity_unavailable
NVTS,2024-12-30,2024-12,36,12,E0,ALL,causal_historical_activity_unavailable
NVTS,2024-12-30,2024-12,36,24,E1,ALL,causal_historical_activity_unavailable
NVTS,2024-12-30,2024-12,36,36,E2,ALL,causal_historical_activity_unavailable
RIOT,2024-03-15,2024-03,24,24,E2,ALL,causal_historical_activity_unavailable
RIOT,2024-03-15,2024-03,36,24,E1,ALL,causal_historical_activity_unavailable
RIOT,2024-03-15,2024-03,36,36,E2,ALL,causal_historical_activity_unavailable
RIOT,2024-12-20,2024-12,24,24,E2,ALL,causal_historical_activity_unavailable
RIOT,2024-12-20,2024-12,36,24,E1,ALL,causal_historical_activity_unavailable
RIOT,2024-12-20,2024-12,36,36,E2,ALL,causal_historical_activity_unavailable
RIOT,2025-01-06,2025-01,24,24,E2,ALL,causal_historical_activity_unavailable
RIOT,2025-01-06,2025-01,36,24,E1,ALL,causal_historical_activity_unavailable
RIOT,2025-01-06,2025-01,36,36,E2,ALL,causal_historical_activity_unavailable
RIOT,2025-01-08,2025-01,24,24,E2,ALL,causal_historical_activity_unavailable
RIOT,2025-01-08,2025-01,36,24,E1,ALL,causal_historical_activity_unavailable
RIOT,2025-01-08,2025-01,36,36,E2,ALL,causal_historical_activity_unavailable
RIVN,2025-01-10,2025-01,24,24,E2,ALL,causal_historical_activity_unavailable
RIVN,2025-01-10,2025-01,36,24,E1,ALL,causal_historical_activity_unavailable
RIVN,2025-01-10,2025-01,36,36,E2,ALL,causal_historical_activity_unavailable
RIVN,2025-07-14,2025-07,36,36,E2,ALL,causal_historical_activity_unavailable
SOFI,2024-12-23,2024-12,24,24,E2,ALL,causal_historical_activity_unavailable
SOFI,2024-12-23,2024-12,36,24,E1,ALL,causal_historical_activity_unavailable
SOFI,2024-12-23,2024-12,36,36,E2,ALL,causal_historical_activity_unavailable
SOFI,2025-01-02,2025-01,36,36,E2,ALL,causal_historical_activity_unavailable
