breakdown_type,emotion,symbol,year_month,decision_ordinal,anchor_role,anchor_completed_bars,rows,missing_rows,missing_percent,unavailable_reason
emotion_anchor,arousal,,,6,E0,2,7775,0,0,
emotion_anchor,arousal,,,6,E1,4,7775,0,0,
emotion_anchor,arousal,,,6,E2,6,7775,0,0,
emotion_anchor,arousal,,,12,E0,6,7774,0,0,
emotion_anchor,arousal,,,12,E1,9,7774,7774,100,frozen_opening_raw_components_requires_even_completed_bar_count
emotion_anchor,arousal,,,12,E2,12,7774,0,0,
stock,arousal,AAL,,6,E0,2,389,0,0,
stock,arousal,AAL,,6,E1,4,389,0,0,
stock,arousal,AAL,,6,E2,6,389,0,0,
stock,arousal,AAL,,12,E0,6,389,0,0,
stock,arousal,AAL,,12,E1,9,389,389,100,frozen_opening_raw_components_requires_even_completed_bar_count
stock,arousal,AAL,,12,E2,12,389,0,0,
stock,arousal,AAOI,,6,E0,2,389,0,0,
stock,arousal,AAOI,,6,E1,4,389,0,0,
stock,arousal,AAOI,,6,E2,6,389,0,0,
stock,arousal,AAOI,,12,E0,6,389,0,0,
stock,arousal,AAOI,,12,E1,9,389,389,100,frozen_opening_raw_components_requires_even_completed_bar_count
stock,arousal,AAOI,,12,E2,12,389,0,0,
stock,arousal,APLD,,6,E0,2,390,0,0,
stock,arousal,APLD,,6,E1,4,390,0,0,
stock,arousal,APLD,,6,E2,6,390,0,0,
stock,arousal,APLD,,12,E0,6,390,0,0,
stock,arousal,APLD,,12,E1,9,390,390,100,frozen_opening_raw_components_requires_even_completed_bar_count
stock,arousal,APLD,,12,E2,12,390,0,0,
stock,arousal,ASTS,,6,E0,2,387,0,0,
stock,arousal,ASTS,,6,E1,4,387,0,0,
stock,arousal,ASTS,,6,E2,6,387,0,0,
stock,arousal,ASTS,,12,E0,6,387,0,0,
stock,arousal,ASTS,,12,E1,9,387,387,100,frozen_opening_raw_components_requires_even_completed_bar_count
stock,arousal,ASTS,,12,E2,12,387,0,0,
