statistic,confidence,lower,upper,draws,fixed_prediction,whole_session_resampling,shared_session_draws,coarse_quick_screen_diagnostic
A1_minus_A0_log_loss_improvement,0.8,-1.958079501194754e-05,0.00013825901625399428,10,True,True,True,True
A1_minus_A0_log_loss_improvement,0.9,-2.0067922698747963e-05,0.0001400558645761024,10,True,True,True,True
A1_minus_A0_log_loss_improvement,0.95,-2.0311486542148176e-05,0.0001409542887371565,10,True,True,True,True
A1_minus_A0_brier_improvement,0.8,-8.962840956518863e-06,8.375657591472644e-06,10,True,True,True,True
A1_minus_A0_brier_improvement,0.9,-9.214079997253017e-06,8.558011126168392e-06,10,True,True,True,True
A1_minus_A0_brier_improvement,0.95,-9.339699517620093e-06,8.649187893516267e-06,10,True,True,True,True
A1_minus_A0_auc_improvement,0.8,-0.0035301702164468375,0.0018227974308711256,10,True,True,True,True
A1_minus_A0_auc_improvement,0.9,-0.003583710158162323,0.002304896328246774,10,True,True,True,True
A1_minus_A0_auc_improvement,0.95,-0.003610480129020066,0.0025459457769346,10,True,True,True,True
A1_minus_A0_average_precision_improvement,0.8,-0.0025244790294268065,-0.00024066496854742436,10,True,True,True,True
A1_minus_A0_average_precision_improvement,0.9,-0.00412600832445554,-0.0002294821673089684,10,True,True,True,True
A1_minus_A0_average_precision_improvement,0.95,-0.004926772971969907,-0.00022389076668974037,10,True,True,True,True
B1_minus_B0_log_loss_improvement,0.8,0.0009757846389863905,0.0013391434392169832,10,True,True,True,True
B1_minus_B0_log_loss_improvement,0.9,0.0009621891971939953,0.0013702883883558031,10,True,True,True,True
B1_minus_B0_log_loss_improvement,0.95,0.0009553914762977976,0.001385860862925213,10,True,True,True,True
B1_minus_B0_brier_improvement,0.8,0.00020395933013695535,0.0002806166028941143,10,True,True,True,True
B1_minus_B0_brier_improvement,0.9,0.0002006046097173232,0.00029009021637341914,10,True,True,True,True
B1_minus_B0_brier_improvement,0.95,0.00019892724950750716,0.00029482702311307157,10,True,True,True,True
B1_minus_B0_auc_improvement,0.8,-0.011638735255845922,-0.005079465322387755,10,True,True,True,True
B1_minus_B0_auc_improvement,0.9,-0.011735634166939962,-0.004675912199908245,10,True,True,True,True
B1_minus_B0_auc_improvement,0.95,-0.011784083622486983,-0.0044741356386684885,10,True,True,True,True
B1_minus_B0_average_precision_improvement,0.8,-0.0028170215115330736,-0.0005098415171240437,10,True,True,True,True
B1_minus_B0_average_precision_improvement,0.9,-0.002892360927539357,-0.0005044743424445922,10,True,True,True,True
B1_minus_B0_average_precision_improvement,0.95,-0.0029300306355424985,-0.0005017907551048664,10,True,True,True,True
C1_minus_C0_log_loss_improvement,0.8,0.012452877295696496,0.015901543723983315,10,True,True,True,True
C1_minus_C0_log_loss_improvement,0.9,0.012211088847223356,0.015937442649550927,10,True,True,True,True
C1_minus_C0_log_loss_improvement,0.95,0.012090194622986786,0.01595539211233473,10,True,True,True,True
C1_minus_C0_brier_improvement,0.8,0.005178479058661442,0.006718982622180803,10,True,True,True,True
C1_minus_C0_brier_improvement,0.9,0.005098179882971908,0.006732242009451625,10,True,True,True,True
C1_minus_C0_brier_improvement,0.95,0.005058030295127141,0.006738871703087036,10,True,True,True,True
C1_minus_C0_auc_improvement,0.8,0.03367067593121732,0.047149090936777494,10,True,True,True,True
C1_minus_C0_auc_improvement,0.9,0.03264434491645175,0.04994110879016841,10,True,True,True,True
C1_minus_C0_auc_improvement,0.95,0.032131179409068955,0.051337117716863875,10,True,True,True,True
C1_minus_C0_average_precision_improvement,0.8,0.03992517317501261,0.059476374148550074,10,True,True,True,True
C1_minus_C0_average_precision_improvement,0.9,0.03986134373060619,0.05963864413244128,10,True,True,True,True
C1_minus_C0_average_precision_improvement,0.95,0.03982942900840297,0.059719779124386876,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_mean_iv_residual,0.8,-0.0005356841931198085,-2.0331095451263158e-05,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_mean_iv_residual,0.9,-0.0005621891670412415,2.8767277860326196e-05,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_mean_iv_residual,0.95,-0.000575441654001958,5.331646451612107e-05,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_median_iv_residual,0.8,-3.522617311279396e-05,0.00038965046963054426,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_median_iv_residual,0.9,-0.0001692544057055506,0.0003940208462794846,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_median_iv_residual,0.95,-0.0002362685220019288,0.00039620603460395476,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_exceed_iv_rate,0.8,-0.04010959485827019,-0.010571555589769478,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_exceed_iv_rate,0.9,-0.041845421373035756,-0.008795668028322056,10,True,True,True,True
BROAD_CONFLICT_minus_LOW_ROUTE_SUPPORT_exceed_iv_rate,0.95,-0.042713334630418535,-0.007907724247598337,10,True,True,True,True
