model,scope,group,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,top_decile_precision,top_decile_lift,top_quintile_precision,top_quintile_lift,rows,sessions,stocks,positive_outcomes
A0,subgroup,checkpoint_group=early_6_14,0.10090867575107014,0.01768229660287553,0.702190881347672,0.03174577872825626,0.03849707888555342,0.37005738141021227,1.5935257254408755,0.016470059214915,0.9307762733644883,0.04104551394973462,2.4921291061640214,0.033390751737145424,2.027360758175498,13013,159,20,124
A1,subgroup,checkpoint_group=early_6_14,0.1008533586229054,0.017682768696093632,0.7000381353621152,0.03130984486425043,0.038388156641883595,0.3123090076002788,1.5711815811174643,0.016470059214915,0.9308772381080856,0.03737539323033663,2.2692931909127636,0.03228374634313335,1.9601475575690552,13013,159,20,124
A0,subgroup,checkpoint_group=middle_16_24,0.11277185446963119,0.0208513407916214,0.7423566688222414,0.05718429650535159,0.04240090005388855,1.8257238379577339,2.189509657929399,0.019761538285183854,0.9214172846973615,0.061678159619603275,3.1211213787869068,0.04656073644338417,2.3561291520657033,10716,159,20,152
A1,subgroup,checkpoint_group=middle_16_24,0.11271718507290043,0.020852667669223925,0.7410532991859491,0.05416438526143067,0.04225531146615642,1.7576080959298683,2.1602016059865154,0.019761538285183854,0.9215458987949249,0.06338431697995363,3.20745865353386,0.046866666187956055,2.3716102214114665,10716,159,20,152
A0,subgroup,checkpoint_group=late_26_34,0.10967442514956709,0.01996948764182357,0.7164364633881688,0.04906288740939658,0.042041168980894314,1.1589184825516057,1.928834762853078,0.018727433052067508,0.9235539596785994,0.053632759793253104,2.8638607140732537,0.041758294593109646,2.2297927578761003,10000,159,20,157
A1,subgroup,checkpoint_group=late_26_34,0.10957905595187392,0.019963069344367868,0.7172687687937296,0.048580113461848436,0.04194455302723719,1.138844593332199,1.9202280975712016,0.018727433052067508,0.9236508118920524,0.05592055022492299,2.9860232349755678,0.041429878929620134,2.2122561492775583,10000,159,20,157
A0,subgroup,route_state=BROAD_CONFLICT,0.1956932864966926,0.04408594491763773,0.6384434665437382,0.067602384839616,0.05167606092342564,2.452440034727177,2.489524337335654,0.0436845556204273,0.8699075049980182,0.060411501478222294,1.382902964680115,0.046599420537324555,1.0667252962860456,6092,158,20,210
A1,subgroup,route_state=BROAD_CONFLICT,0.19582922244789322,0.044118208822072486,0.6335050165648075,0.06495625508036285,0.051651142789239164,2.1272813875511694,2.3412028400189344,0.0436845556204273,0.8699014039356596,0.06070676905755054,1.3896620486431936,0.046598788726703345,1.0667108332655975,6092,158,20,210
A0,subgroup,route_state=LOW_ROUTE_SUPPORT,0.07025377646105806,0.00836560395050669,0.5987004940003734,0.024301003060451003,0.04413627080510792,-1.0293702657489698,1.3765807251016429,0.006369969370571548,0.9438133434031661,0.14481707317073172,22.734343722242727,0.00789927939446401,1.2400812209486722,10286,159,20,39
A1,subgroup,route_state=LOW_ROUTE_SUPPORT,0.07023496151792295,0.008366598541666985,0.5885224998132408,0.012672525357042339,0.04408745179051066,-1.2761471386046677,1.2906572248758783,0.006369969370571548,0.9438588131381414,0.13025594149908593,20.448440788562014,0.007745656539748261,1.2159644872912911,10286,159,20,39
A0,subgroup,daily_stock_regime=0,0.10447190435974503,0.01864013416978856,0.7285267022350931,0.04999954912630683,0.04042558749432514,1.7640339845889166,2.143652224923225,0.01756825218627646,0.9271895518655284,0.06559328147367766,3.733625905308681,0.05235297098781555,2.9799760632256507,4944,123,20,56
A1,subgroup,daily_stock_regime=0,0.10476865534567582,0.01866938769617127,0.726094839982507,0.051203719590176805,0.04090557296555804,1.750130240826714,2.1464690954263457,0.01756825218627646,0.926748427164923,0.06776413533528494,3.857192771186384,0.052474655147027545,2.9869024300561,4944,123,20,56
A0,subgroup,daily_stock_regime=1,0.10181357178486429,0.017551449709478723,0.6913050767900661,0.031335110839980806,0.041877610500237805,0.1803784803760754,1.5684653140703682,0.01601254181667723,0.9283939725928172,0.039322819072960195,2.4557512182110317,0.03213182822699573,2.0066663116239356,9152,155,20,107
A1,subgroup,daily_stock_regime=1,0.10155504749643673,0.017526173565658044,0.6873033027410536,0.030967796646347898,0.04146137371605182,0.08662156644900357,1.5287011159789547,0.01601254181667723,0.9287894214627667,0.039094741922062984,2.4415075613632684,0.03137826457344039,1.9596054725527459,9152,155,20,107
A0,subgroup,daily_stock_regime=2,0.10076993878158468,0.017139386574727872,0.6641534652116178,0.02792239544810298,0.04204014925847742,-0.3459804756695364,1.377272468715482,0.015504541417733771,0.9290856176826181,0.027994656734375997,1.805577861358498,0.02842155355381133,1.833111524427504,4088,102,20,51
A1,subgroup,daily_stock_regime=2,0.10299782954461327,0.017416942912259214,0.6639463368952134,0.02771011626643023,0.044845747314059665,-0.45671323216535353,1.3620515012803331,0.015504541417733771,0.9263821034010838,0.030092734715726176,1.9408980830162919,0.025645903759438014,1.6540897965614618,4088,102,20,51
A0,subgroup,daily_stock_regime=3,0.11188187824363835,0.020930836685409064,0.7316053908332517,0.053960222394705465,0.039509229325328146,1.3949414222109082,1.976780040489757,0.020036185206114897,0.9236331494874447,0.061003630403950494,3.0446729143496154,0.045451676935178195,2.268479576706382,15545,158,20,219
A1,subgroup,daily_stock_regime=3,0.11121799698290287,0.02086175740439959,0.7344298140621536,0.052383262573810374,0.038621799484796854,1.4113325872556508,1.9714138715840408,0.020036185206114897,0.924476012506163,0.06195984887151174,3.0923974915445505,0.046098976930122285,2.3007861254972437,15545,158,20,219
