model,scope,group,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,top_decile_precision,top_decile_lift,top_quintile_precision,top_quintile_lift,rows,sessions,stocks,positive_outcomes
B0,month,2025-01,0.18187870215780524,0.03620048228827662,0.4817843829975447,0.03647325757132258,0.08441830528796826,-3.5311974360255225,-0.014086184438791914,0.0292571588781005,0.8636950772833307,0.03619136467996722,1.2370088575844969,0.025818547523536024,0.88246940282577,767,19,15,15
B1,month,2025-01,0.1803917444170946,0.03587639583898085,0.4770626583939003,0.045791192589910004,0.0825526746576402,-3.6246972992107906,-0.05853654652554846,0.0292571588781005,0.86545717676313,0.02175332206677453,0.7435213431833695,0.026395434607730427,0.9021872122890194,767,19,15,15
B0,month,2025-02,0.14766600989148732,0.023369451204719036,0.6524143745160957,0.036430374796591475,0.10303375430510896,-0.22799262317784705,2.072784798578684,0.012626573426573426,0.8750373588573492,0.03844130207872859,3.0444761836830905,0.03417453914109177,2.7065568770359563,988,19,14,10
B1,month,2025-02,0.14635463964548506,0.023091131063717928,0.6564046422806035,0.040182054546487794,0.10182302786097938,-0.007986678891884022,2.173711020153072,0.012626573426573426,0.8762366160484253,0.06063923405030722,4.802509121175195,0.03725415091329551,2.9504561257206787,988,19,14,10
B0,month,2025-03,0.16200093047152284,0.02930078018170848,0.6532612556465516,0.04701941435232013,0.09156625660877916,0.4501958701547147,2.1131260547967097,0.02135300091233073,0.8711432049907802,0.054982153040602735,2.5749145642967757,0.03941402635294444,1.8458307811050578,1510,20,18,22
B1,month,2025-03,0.1605736850521286,0.029024020922548157,0.6638443670735629,0.04475326530674081,0.09009098831777809,0.528977092643873,2.1377945864903083,0.02135300091233073,0.8725599334209092,0.04058458306978428,1.9006500883137172,0.0527004728342498,2.468059316375378,1510,20,18,22
B0,month,2025-04,0.1539146233443599,0.026131816927796602,0.7209523478932982,0.033066858963291375,0.09862122533119504,0.7105293962081788,2.423860768614594,0.016504548492013528,0.872780053476094,0.029233663379368238,1.7712489010841022,0.03790023016842352,2.2963506203616086,1299,19,18,16
B1,month,2025-04,0.15390227595540706,0.026158808995044934,0.6902979677767572,0.02964976282548324,0.09814815801790683,-0.03409895982813464,2.0297079094079686,0.016504548492013528,0.8731436711234335,0.019323953143009262,1.1708259182224845,0.03659848354559418,2.2174786279857344,1299,19,18,16
B0,month,2025-05,0.15037420390413037,0.023873603487453685,0.6803364042982718,0.02924154911012819,0.10777848796536507,0.09937896419674273,2.3276180917943705,0.01201917973786761,0.8715271815656491,0.03276088291098374,2.7257170310688794,0.02676986823476628,2.2272624936646195,1264,20,18,15
B1,month,2025-05,0.14893503766578362,0.023565229979777527,0.6649093909472699,0.026860082384078766,0.10620339919979269,-0.26180637154844316,2.1162804558299775,0.01201917973786761,0.873018269737296,0.03494297646281514,2.9072679854120036,0.017442745799680023,1.451242612232924,1264,20,18,15
B0,month,2025-06,0.1730222338085158,0.03303657674575693,0.7038894032746396,0.08245908058255293,0.09310336594041428,1.9038821666532064,2.875287494308193,0.02540072973245632,0.8633737592825362,0.07596016584043609,2.9904717951223416,0.06572479733669775,2.5875161079611226,1278,19,19,19
B1,month,2025-06,0.17175334429025044,0.03276829848746712,0.6930867746955941,0.07934074332291605,0.09123332033287199,1.5715240207014365,2.6661799299824946,0.02540072973245632,0.8650321518678054,0.05951301849990984,2.342964911904315,0.06957698054041336,2.739172506981557,1278,19,19,19
B0,month,2025-07,0.16153791920372398,0.028077120180894,0.7097854534819458,0.0329486552510285,0.10399868830934098,0.8751407564863978,2.566232199975859,0.01736424185924867,0.866181268120851,0.04640422265432316,2.6724013078409756,0.03419244818927445,1.9691299203519568,1667,22,20,26
B1,month,2025-07,0.1607789548720889,0.027897976730941625,0.7091184449515157,0.03458796316422212,0.10324113595790296,0.9046159287605688,2.5717185052315514,0.01736424185924867,0.8669151047555687,0.0422109642349713,2.4309131707059577,0.037234545023189916,2.144323105207025,1667,22,20,26
B0,month,2025-08,0.15968871733361414,0.02747058296680601,0.7560942837714093,0.039058733859058975,0.10481405127103306,1.3284835052872295,2.850776096353038,0.016652584195936796,0.866758159144692,0.043394424485346646,2.605867292112825,0.042876511530950054,2.5747662360663433,1492,16,20,19
B1,month,2025-08,0.15841846205919377,0.027189197926331184,0.7412179945714197,0.037117291756214164,0.10328327123856479,1.0298188512499573,2.6625714107589684,0.016652584195936796,0.8681772354761937,0.03219017215831035,1.9330436513369917,0.03627042699757095,2.1780659728728997,1492,16,20,19
