model,scope,group,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,top_decile_precision,top_decile_lift,top_quintile_precision,top_quintile_lift,rows,sessions,stocks,positive_outcomes
B0,subgroup,checkpoint_group=early_6_14,0.14310343390915015,0.023480668855091476,0.7029875896671105,0.0408611481821925,0.09103262059385267,1.1962465451757047,2.595735151495352,0.015409777226825346,0.8820662857481008,0.061700040730570505,4.003954101501419,0.04726995302934539,3.0675299411245116,3908,154,20,39
B1,subgroup,checkpoint_group=early_6_14,0.14227994635914257,0.02330859950244972,0.6867401464501872,0.038917196171092565,0.09000731567080147,1.0662390646032067,2.5137637907746444,0.015409777226825346,0.8830208350955597,0.05379028647999641,3.490659578540711,0.04474438023121868,2.9036357614130623,3908,154,20,39
B0,subgroup,checkpoint_group=middle_16_24,0.18071713159991176,0.034688723430771035,0.6632239297486834,0.04603888498611139,0.09879588901927105,0.48753305722395457,2.1554390014363882,0.02561676564684449,0.8570564733809083,0.06179299104921355,2.412208937736263,0.05118428740213284,1.9980776694359068,3283,153,20,59
B1,subgroup,checkpoint_group=middle_16_24,0.1796713824451334,0.034471248358694306,0.6571318670516695,0.044464920475227265,0.09739678210061277,0.14626767723293702,1.9594543388701045,0.02561676564684449,0.8583347511447977,0.04469578080404295,1.744786263036631,0.05341014582278226,2.0849683585781404,3283,153,20,59
B0,subgroup,checkpoint_group=late_26_34,0.1665547181444905,0.028626288771790215,0.6358460778273137,0.026277357385425904,0.11198145243883054,-0.7881427300727929,1.7674835053620999,0.01592719890551128,0.8606696981316151,0.02880746337248673,1.8086961519968523,0.027644267361822798,1.7356641005002496,3074,152,20,44
B1,subgroup,checkpoint_group=late_26_34,0.16499212726063503,0.028291393443225423,0.6311510838335886,0.024595417693901597,0.11031706339259537,-1.0249346056224538,1.625728038968821,0.01592719890551128,0.8622479452333365,0.02812118928098002,1.7656079670888807,0.027269413349879944,1.7121286367839559,3074,152,20,44
B0,subgroup,route_state=BROAD_CONFLICT,0.24168544086160354,0.05412527554830151,0.5426444341568322,0.04715741412480455,0.11153507091460518,-0.7009998920663063,1.4136686819016864,0.0435155362460925,0.8151791168382789,0.05241363857919877,1.2044810451785546,0.04569676210549526,1.0501252207273126,2132,146,20,75
B1,subgroup,route_state=BROAD_CONFLICT,0.2406965165000726,0.0538902079363228,0.5149962805010284,0.044258583790809124,0.1097158248028416,-1.9531624537301313,0.6647422043049287,0.0435155362460925,0.8167095774505044,0.040831829427629446,0.9383276169852086,0.044195991296028345,1.0156370599706661,2132,146,20,75
B0,subgroup,route_state=LOW_ROUTE_SUPPORT,0.1353284388219483,0.018473233507978477,0.5063258105589133,0.008971282693790338,0.10790474506551254,-4.307445559674332,0.34364030805002577,0.006611492398432685,0.8803993595356763,0.0,0.0,0.008291633129309596,1.2541242777916832,2883,152,20,14
B1,subgroup,route_state=LOW_ROUTE_SUPPORT,0.13419153417256496,0.018239303745996135,0.5194704777161712,0.009732558937134364,0.10687227075654257,-3.8816266795683623,0.5492168520817239,0.006611492398432685,0.881426386741988,0.02849735381714556,4.310275517204121,0.007418457895712535,1.1220549686287393,2883,152,20,14
B0,subgroup,daily_stock_regime=0,0.1724116268974718,0.032021385429617626,0.6995179749788271,0.06588599032125791,0.1000398555997106,1.0765994772395393,2.5439252980464606,0.022674330846226273,0.8612198308924016,0.07837870610681393,3.456715289124337,0.061891067512425374,2.729565336774911,1196,61,18,20
B1,subgroup,daily_stock_regime=0,0.17052448041109405,0.0315902234367809,0.6965009130125897,0.06337794740603354,0.09790015150388973,1.0615204692143698,2.505967381158284,0.022674330846226273,0.8632252748411077,0.06884576914641444,3.0362866985277566,0.06108901306484432,2.694192542180863,1196,61,18,20
B0,subgroup,daily_stock_regime=1,0.15105961628746242,0.024306601195682256,0.6972254228835358,0.025837065363877566,0.10586828670263589,0.3256874767348073,2.393674416794935,0.012955259421088649,0.8717816447708434,0.0272078178924636,2.1001368639654214,0.02815544679197,2.1732831336544596,2874,105,20,31
B1,subgroup,daily_stock_regime=1,0.14947386408652963,0.02397366852889688,0.6906274190061882,0.024943001451372834,0.10419310127217672,0.0972305722197633,2.252355893260886,0.012955259421088649,0.873382320806802,0.024177694414289613,1.8662454859786919,0.03310014704903285,2.554958258508682,2874,105,20,31
B0,subgroup,daily_stock_regime=2,0.1518611929355634,0.02414692722476332,0.6227134037086709,0.01868697440041413,0.109144258960558,-1.9240504715605025,1.2772412110874007,0.011723755954169301,0.8704594208640765,0.01234306563661476,1.0528251939793418,0.01676668586078322,1.430146271069427,1060,45,18,11
