model,scope,group,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,top_decile_precision,top_decile_lift,top_quintile_precision,top_quintile_lift,rows,sessions,stocks,positive_outcomes
C0,month,2025-01,0.6018114080442655,0.20706838334571434,0.6681995868132004,0.44869214699560483,0.08338017480698282,0.703989077205774,1.9683419637139277,0.32459071209175006,0.579066491688338,0.49148512514146303,1.514168788053732,0.4285424063324079,1.3202546787946121,767,19,15,258
C1,month,2025-01,0.5800934596766265,0.19777637032716341,0.698616855392411,0.5162700406117692,0.055070473339637396,0.04021278386767643,1.368915128879747,0.32459071209175006,0.5879784526625693,0.5184319674710408,1.5971866974570081,0.48423140591123726,1.4918215089726983,767,19,15,258
C0,month,2025-02,0.5814470061604851,0.19716412664625318,0.6446969278397998,0.4114131581593891,0.04257467107439627,0.31348376444699255,1.637632304426843,0.2899846188000034,0.5900530443867638,0.4642341353885596,1.6008922725268149,0.44168657417647494,1.5231379374679777,988,19,14,289
C1,month,2025-02,0.5619873078527183,0.18885672349219015,0.6951662670777179,0.4691979571767887,0.051173547050236246,0.04702220741698023,1.4188040046256658,0.2899846188000034,0.60112673768435,0.5500017137935391,1.896658229907236,0.49490072332839435,1.7066447364565824,988,19,14,289
C0,month,2025-03,0.6080690742954794,0.2089746272280404,0.59146789746506,0.41326352706811,0.051361358596720696,-0.026072238837793377,1.0152834413021505,0.31049408093245595,0.5789351229462202,0.5351904085200605,1.7236734655707797,0.42938319819833237,1.3829030070680775,1510,20,18,457
C1,month,2025-03,0.6045831719261161,0.20747887884421407,0.6085189072645414,0.4119157298757313,0.0370389839479137,-0.14852900252495366,0.8828472543533538,0.31049408093245595,0.5822227453118344,0.5181770429334089,1.6688789730781752,0.4213726141911574,1.357103532942458,1510,20,18,457
C0,month,2025-04,0.606826240090721,0.2086684269741913,0.5896785524647861,0.37639907483892865,0.03585127872332615,-0.04449050578880966,1.0373858312239,0.3070879826344449,0.5772802974430463,0.4180835640566181,1.3614455390600597,0.37414097557214293,1.218351080893704,1299,19,18,412
C1,month,2025-04,0.596645832882776,0.2041408890030854,0.6261387116082933,0.4176656385712989,0.04533906830705917,-0.00982025546317803,1.0971300743789403,0.3070879826344449,0.5848834990603111,0.4580416983659692,1.4915650376042828,0.4542626553043135,1.47925897785803,1299,19,18,412
C0,month,2025-05,0.5764616528032497,0.19426559356080045,0.605945885965256,0.3611708342629067,0.059638820528445574,-0.164195490467951,1.1858753892118952,0.2678015899772858,0.5902627629674025,0.43049290518515876,1.6075069054730853,0.39276482181223726,1.4666261759146033,1264,20,18,324
C1,month,2025-05,0.5635627804768504,0.1888291640959719,0.6512498732185079,0.41519169234959113,0.07100301045390937,-0.2699983375341431,1.1275860113903147,0.2678015899772858,0.5994689833197542,0.46833098079114593,1.7487983578845385,0.41236751701577573,1.5398247525369495,1264,20,18,324
C0,month,2025-06,0.5761554127551779,0.19416135757657046,0.6055100483650888,0.36202907862531075,0.06814925607047836,-0.20481766358558726,1.1938114642693398,0.26477786202620357,0.5884956206207266,0.3861542970572947,1.4584085470826833,0.3734777433072454,1.4105323626726938,1278,19,19,328
C1,month,2025-06,0.5688015813915852,0.19136469776271334,0.626002060901619,0.3667137720781338,0.060340011828455636,-0.3477337362657619,0.9309028255823066,0.26477786202620357,0.5995130964065217,0.3394252956898132,1.2819247541783618,0.38983535398075175,1.4723109817321962,1278,19,19,328
C0,month,2025-07,0.5724001003581326,0.19224837678900794,0.5982626430454562,0.35889835916451673,0.07066423495493748,-0.2791277371228623,1.0993053660871743,0.25941466739242497,0.5918435490992798,0.38111069690223437,1.4691177670602407,0.362906068735361,1.398941981127001,1667,22,20,438
C1,month,2025-07,0.5515009109556716,0.18371009864099383,0.656187831042341,0.4138968246288306,0.06765141248661884,-0.25057664814122166,1.1352868288400728,0.25941466739242497,0.6092121082539527,0.48877732037939675,1.8841545287029104,0.4187648629839188,1.6142682570466982,1667,22,20,438
C0,month,2025-08,0.5794797583809134,0.19642021102973892,0.6361375776217484,0.38750363349544603,0.0502892167664449,0.27741030364662483,1.6227586531477771,0.28521426978074377,0.5904833935689592,0.4977577598439734,1.745206367923389,0.3864519300815388,1.3549529985951287,1492,16,20,415
C1,month,2025-08,0.5572763525183616,0.18703825009791894,0.6906155178590007,0.46013461106718956,0.06521839297432876,0.05888005373914187,1.3386035766711855,0.28521426978074377,0.6079246579826262,0.47168998939242346,1.6538092212392859,0.4647661778183697,1.6295333966833254,1492,16,20,415
