period,coverage_type,group,rows,sessions,stocks,months,broad_conflict_rows,low_route_support_rows
assessment,overall,all,10422,154,20,8,2159,2915
development,overall,all,14044,233,20,12,2832,3552
assessment,stock,AAL,547,60,1,8,211,158
assessment,stock,AAOI,303,29,1,7,32,69
assessment,stock,APLD,362,32,1,7,54,95
assessment,stock,ASTS,766,65,1,8,88,193
assessment,stock,CIFR,580,50,1,8,65,120
assessment,stock,HIMS,348,29,1,7,66,114
assessment,stock,IONQ,751,62,1,8,121,189
assessment,stock,IREN,674,58,1,7,140,206
assessment,stock,MARA,757,61,1,8,164,189
assessment,stock,MP,206,22,1,7,40,76
assessment,stock,MRNA,305,29,1,7,92,99
assessment,stock,MSTR,492,51,1,8,154,142
assessment,stock,NVTS,170,18,1,4,27,50
assessment,stock,QBTS,352,33,1,4,47,102
assessment,stock,RGTI,679,55,1,7,114,190
assessment,stock,RIOT,858,72,1,8,202,228
assessment,stock,RIVN,360,37,1,6,101,127
assessment,stock,SMCI,597,52,1,7,154,190
assessment,stock,SOFI,721,65,1,8,226,216
assessment,stock,WULF,594,49,1,8,61,162
assessment,month,2025-01,895,19,15,1,126,190
assessment,month,2025-02,988,19,14,1,195,251
assessment,month,2025-03,1510,20,18,1,213,382
assessment,month,2025-04,1299,19,18,1,217,282
assessment,month,2025-05,1264,20,18,1,274,318
assessment,month,2025-06,1278,19,19,1,363,387
assessment,month,2025-07,1696,22,20,1,399,634
assessment,month,2025-08,1492,16,20,1,372,471
assessment,checkpoint,6,879,154,20,8,25,66
assessment,checkpoint,8,830,154,20,8,39,90
assessment,checkpoint,10,778,153,20,8,58,106
assessment,checkpoint,12,751,151,20,8,78,125
assessment,checkpoint,14,725,150,20,8,102,159
assessment,checkpoint,16,714,151,20,8,148,172
assessment,checkpoint,18,682,150,20,8,151,203
assessment,checkpoint,20,670,149,20,8,144,238
assessment,checkpoint,22,641,150,20,8,161,232
assessment,checkpoint,24,626,149,20,8,174,226
assessment,checkpoint,26,640,146,20,8,197,252
assessment,checkpoint,28,627,146,20,8,203,259
assessment,checkpoint,30,627,149,20,8,211,272
assessment,checkpoint,32,616,150,20,8,229,254
assessment,checkpoint,34,616,151,20,8,239,261
assessment,route_resolution_state,BROAD_CONFLICT,2159,146,20,8,2159,0
assessment,route_resolution_state,LOW_ROUTE_SUPPORT,2915,152,20,8,0,2915
assessment,route_resolution_state,NARROWING,259,93,20,8,0,0
assessment,route_resolution_state,OTHER,5089,154,20,8,0,0
assessment,front_options_regime,0,8082,151,20,8,1865,2275
assessment,front_options_regime,1,617,38,9,8,67,136
assessment,front_options_regime,2,1723,83,18,8,227,504
