diagnostic_type,period,regime,rows,posterior_mass,hard_top_regime_rows,stocks,sessions,months,maximum_stock_share,maximum_month_share,entropy_mean,entropy_q10,entropy_q50,entropy_q90,margin_mean,margin_q10,margin_q50,margin_q90,mahalanobis_mean,mahalanobis_q90,mean_daily_compression,mean_daily_directional_efficiency,mean_daily_trend_persistence,mean_daily_extension,mean_daily_rejection,mean_daily_volatility_acceleration,mean_daily_relative_strength,mean_daily_activity_acceleration,group,posterior_mass_regime_0,posterior_mass_regime_1,posterior_mass_regime_2,posterior_mass_regime_3,development_mean,assessment_mean,mean_difference
regime_summary,assessment,0.0,3072.0,0.14703547040082207,445.0,20.0,123.0,8.0,0.08955616662535335,0.26520759016847933,0.17817515653070415,8.935264388516228e-05,0.0378973494842247,0.6207292690258315,0.8571443622425413,0.45436290896726844,0.988208472585135,0.9999879043488005,2.6573785539127712,3.661761814881387,-0.526969252531397,0.6513926120483937,1.0191387727984673,1.2615555408005354,-0.43966788219336156,0.2302850150951397,1.2181953727302905,1.0117154188079558,,,,,,,,
regime_summary,assessment,1.0,3072.0,0.2743466153288346,835.0,20.0,155.0,8.0,0.06682658100665359,0.1686662808048223,0.17817515653070415,8.935264388516228e-05,0.0378973494842247,0.6207292690258315,0.8571443622425413,0.45436290896726844,0.988208472585135,0.9999879043488005,2.6573785539127712,3.661761814881387,-0.4449653518861008,-0.28120785272150317,-0.0009993066220119065,0.019794232658617423,0.17437114494959144,0.6390428953865906,0.12737785857751258,0.5648442079461494,,,,,,,,
regime_summary,assessment,2.0,3072.0,0.1227733091380294,370.0,20.0,102.0,8.0,0.08057565566766678,0.22423841069229045,0.17817515653070415,8.935264388516228e-05,0.0378973494842247,0.6207292690258315,0.8571443622425413,0.45436290896726844,0.988208472585135,0.9999879043488005,2.6573785539127712,3.661761814881387,-0.15698051153470502,0.6262793277440074,0.755131997760888,-0.8513683877896939,-0.5193330450722599,0.08083799869588769,-0.8050565340625196,0.19991817584491994,,,,,,,,
regime_summary,assessment,3.0,3072.0,0.45584460513231395,1422.0,20.0,158.0,8.0,0.05592282505227494,0.15577048569022112,0.17817515653070415,8.935264388516228e-05,0.0378973494842247,0.6207292690258315,0.8571443622425413,0.45436290896726844,0.988208472585135,0.9999879043488005,2.6573785539127712,3.661761814881387,0.3393197676982982,-0.11629677333602706,0.02061416163653789,0.03167652737490811,0.16624587738955385,-0.45681934600796187,-0.11050511851432859,-0.44004253253314246,,,,,,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,0.09698337165317451,0.24312120194379871,0.19260089126308888,0.46729453513993785,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAOI,0.10129369238095216,0.28401333318386923,0.17200923368650448,0.4426837407486743,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,APLD,0.1861710326831054,0.2360338987828322,0.10376392437889542,0.47403114415516684,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTS,0.2008818276979807,0.32020297520853047,0.08912553978497159,0.3897896573085173,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIFR,0.12954011343041857,0.2811755987952457,0.1762420761424448,0.41304221163189103,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIMS,0.2398199284488693,0.17485163499897463,0.10948442640823335,0.4758440101439227,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,IONQ,0.06978199053455404,0.28736434334935146,0.1484382626394932,0.49441540347660123,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,IREN,0.21682243024316042,0.26657080653299847,0.10975550442053489,0.40685125880330625,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARA,0.09953388445536207,0.3169908616565951,0.1372208873966081,0.44625436649143474,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP,0.27332358407721297,0.21892271320945558,0.05646319089692807,0.45129051181640334,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRNA,0.0633342256946514,0.23624289420653238,0.19733689947001415,0.5030859806288022,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSTR,0.1310071014237212,0.3058553553289532,0.10682413758537447,0.45631340566195105,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVTS,0.10707554576445978,0.2534792112749264,0.12760349907179339,0.5118417438888204,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,QBTS,0.1561392251492601,0.2408616305402859,0.12771394673369554,0.47528519757675847,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,RGTI,0.14217439778548394,0.26923612221241505,0.08743568155206048,0.5011537984500406,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIOT,0.1253031458365609,0.35377965711832554,0.10763830096210918,0.41327889608300433,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVN,0.1430967070089921,0.2557340082199732,0.10803289235588864,0.49313639241514595,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMCI,0.15690442447898498,0.2525560583086606,0.11768714202794726,0.47285237518440726,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOFI,0.2172626261615665,0.3264126408186423,0.09326998379776855,0.36305474922202274,,,
support_by_stock,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,WULF,0.09104033984189652,0.36103180432095694,0.08443373158316236,0.46349412425398423,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,0.0884969812374471,0.3896421387518427,0.11552147060138114,0.40633940940932894,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02,0.14052987999775937,0.19464014008939065,0.17287228707092506,0.491957692841925,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03,0.030975652913880526,0.280038609398922,0.20577535414410256,0.4832103835430949,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04,0.048088655039157636,0.3509894504971816,0.19962423276697452,0.40129766169668624,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05,0.2839506516782042,0.2790073512252794,0.03292540826896778,0.4041165888275486,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06,0.17866045700776959,0.2257268686877469,0.037725409902654265,0.5578872644018292,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07,0.2825292517986351,0.21622713482595654,0.030197668822151164,0.47104594455325716,,,
support_by_month,assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08,0.10845623509988468,0.26341025247518185,0.20664222218938588,0.4214912902355475,,,
regime_summary,development,0.0,4447.0,0.1778504001612765,792.0,20.0,209.0,12.0,0.07155416380122026,0.16896478659334396,0.18137146944125543,1.980375247931693e-05,0.03906982213420256,0.6280626278104257,0.8531903932868851,0.4181765439038101,0.9878888038756062,0.9999974860480947,2.5988271199920514,3.562707002052664,-0.5693664305085396,0.5745978917321259,0.984984657471637,1.2867392796852668,-0.42164323887238836,0.2877966569771103,1.3743684745230156,1.0000620618788176,,,,,,,,
regime_summary,development,1.0,4447.0,0.2611083171803863,1141.0,20.0,232.0,12.0,0.06225959721600283,0.119356906513509,0.18137146944125543,1.980375247931693e-05,0.03906982213420256,0.6280626278104257,0.8531903932868851,0.4181765439038101,0.9878888038756062,0.9999974860480947,2.5988271199920514,3.562707002052664,-0.44142389492285766,-0.31089494321289746,-0.01592152180053664,0.08007049172720017,0.18491004850006368,0.6410917539183422,-0.0014134477208427513,0.5063890163190782,,,,,,,,
regime_summary,development,2.0,4447.0,0.14874241031241855,649.0,20.0,193.0,12.0,0.10379662123048737,0.18253829388730508,0.18137146944125543,1.980375247931693e-05,0.03906982213420256,0.6280626278104257,0.8531903932868851,0.4181765439038101,0.9878888038756062,0.9999974860480947,2.5988271199920514,3.562707002052664,0.004139637267543205,0.6620748792347142,0.8166179048907241,-0.9050102844229019,-0.49587386600747824,-0.12164364574678067,-0.8119380700182306,0.27730817872049224,,,,,,,,
regime_summary,development,3.0,4447.0,0.41229887234591867,1865.0,20.0,231.0,12.0,0.06445637619677938,0.11876667329600105,0.18137146944125543,1.980375247931693e-05,0.03906982213420256,0.6280626278104257,0.8531903932868851,0.4181765439038101,0.9878888038756062,0.9999974860480947,2.5988271199920514,3.562707002052664,0.3251747626005711,-0.12789958745770882,0.03207229244471456,-0.03417822435815571,0.15736153021917482,-0.37870291978006926,-0.09654988547823881,-0.37355706694934737,,,,,,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,0.14219608050707563,0.24814545968744708,0.1420035050662214,0.4676549547392559,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAOI,0.17761806242038827,0.3079259157255164,0.15820008330665422,0.35625593854744103,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,APLD,0.1530493237900425,0.27014550077653904,0.14873697228117452,0.4280682031522438,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTS,0.17268394664005748,0.22785884644597082,0.07883905686230695,0.5206181500516647,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIFR,0.19603285390353592,0.25526525824647217,0.12503373098858062,0.4236681568614113,,,
