dimension,key,stocks,sessions,stock_sessions,expected_rows,materialised_rows,missing_bars,duplicate_bars,misaligned_timestamps,current_history_eligible_rows
overall,all,20,412,8238,280092,279906,186,0,33,271304
checkpoint,1,20,412,8238,8238,8237,1,0,0,8037
checkpoint,2,20,412,8238,8238,8237,1,0,1,8036
checkpoint,3,20,412,8238,8238,8236,2,0,1,8035
checkpoint,4,20,412,8238,8238,8237,1,0,1,8034
checkpoint,5,20,412,8238,8238,8237,1,0,1,8033
checkpoint,6,20,412,8238,8238,8237,1,0,1,8033
checkpoint,7,20,412,8238,8238,8237,1,0,1,8033
checkpoint,8,20,412,8238,8238,8238,0,0,1,8033
checkpoint,9,20,412,8238,8238,8236,2,0,1,8031
checkpoint,10,20,412,8238,8238,8232,6,0,1,8025
checkpoint,11,20,412,8238,8238,8238,0,0,1,8025
checkpoint,12,20,412,8238,8238,8238,0,0,1,8024
checkpoint,13,20,412,8238,8238,8209,29,0,1,7995
checkpoint,14,20,412,8238,8238,8238,0,0,1,7995
checkpoint,15,20,412,8238,8238,8237,1,0,1,7994
checkpoint,16,20,412,8238,8238,8237,1,0,1,7994
checkpoint,17,20,412,8238,8238,8237,1,0,1,7993
checkpoint,18,20,412,8238,8238,8228,10,0,1,7984
checkpoint,19,20,412,8238,8238,8221,17,0,1,7977
checkpoint,20,20,412,8238,8238,8205,33,0,1,7955
checkpoint,21,20,412,8238,8238,8208,30,0,1,7940
checkpoint,22,20,412,8238,8238,8210,28,0,1,7938
checkpoint,23,20,412,8238,8238,8236,2,0,1,7937
checkpoint,24,20,412,8238,8238,8232,6,0,1,7933
checkpoint,25,20,412,8238,8238,8233,5,0,1,7932
checkpoint,26,20,412,8238,8238,8236,2,0,1,7931
checkpoint,27,20,412,8238,8238,8237,1,0,1,7931
checkpoint,28,20,412,8238,8238,8237,1,0,1,7931
checkpoint,29,20,412,8238,8238,8238,0,0,1,7931
checkpoint,30,20,412,8238,8238,8237,1,0,1,7929
checkpoint,31,20,412,8238,8238,8238,0,0,1,7929
checkpoint,32,20,412,8238,8238,8238,0,0,1,7927
checkpoint,33,20,412,8238,8238,8237,1,0,1,7925
checkpoint,34,20,412,8238,8238,8237,1,0,1,7924
month,2024-01,20,21,420,14280,14280,0,0,0,7480
month,2024-02,20,20,400,13600,13599,1,0,0,13595
month,2024-03,20,20,400,13600,13480,120,0,0,12865
month,2024-04,20,22,440,14960,14960,0,0,0,14960
month,2024-05,20,22,440,14960,14925,35,0,0,14172
month,2024-06,20,19,378,12852,12851,1,0,0,12838
month,2024-07,20,22,440,14960,14960,0,0,0,14929
month,2024-08,20,22,440,14960,14959,1,0,0,14953
month,2024-09,20,20,400,13600,13600,0,0,0,13597
month,2024-10,20,23,460,15640,15637,3,0,0,15619
month,2024-11,20,20,400,13600,13600,0,0,0,13600
month,2024-12,20,21,420,14280,14280,0,0,0,14172
month,2025-01,20,20,400,13600,13600,0,0,0,13501
month,2025-02,20,19,380,12920,12920,0,0,0,12920
month,2025-03,20,21,420,14280,14266,14,0,0,14260
month,2025-04,20,21,420,14280,14272,8,0,33,14181
month,2025-05,20,21,420,14280,14277,3,0,0,14227
month,2025-06,20,20,400,13600,13600,0,0,0,13600
month,2025-07,20,22,440,14960,14960,0,0,0,14958
month,2025-08,20,16,320,10880,10880,0,0,0,10877
