stock,session,checkpoint,action,return_realised_before_signal,return_signal_to_entry,return_after_entry_10m,return_after_entry_30m,fraction_eventual_10m_move_after_entry,fraction_eventual_30m_move_after_entry,mean_absolute_remaining_fraction_10m,late_direction_problem,signal_timestamp,prospective_entry_timestamp,predicted_side,time_of_maximum_favourable_excursion_10m,time_of_maximum_adverse_excursion_10m,time_of_maximum_favourable_excursion_30m,time_of_maximum_adverse_excursion_30m
__SUMMARY__,__SUMMARY__,-1,ALL,0.01775127450504949,-0.00011956086869039819,0.003747027192720725,0.0023312392294816205,0.254789837522601,0.35001694154968777,0.21023473196920237,True,,,,,,,
AAL,2025-04-03,6,PUT,-0.020264117919055667,0.0,-0.0011060362023005287,-0.009771227138845729,0.051756117247428506,0.32532428443918315,,,2025-04-03 14:00:00+00:00,2025-04-03 14:00:00+00:00,-1.0,5.0,10.0,25.0,10.0
AAL,2025-04-15,6,CALL,0.025744984718802346,0.0004978384769398583,0.00910016391269139,-1.0157491912211134e-05,0.25748145975244674,0.00038690813942463074,,,2025-04-15 14:00:00+00:00,2025-04-15 14:00:00+00:00,1.0,10.0,5.0,15.0,30.0
AAL,2025-04-23,6,PUT,0.00213425559950514,0.0010146120106632284,-0.004574341351111512,-0.003556011220511404,0.5922850688159366,0.530361742592577,,,2025-04-23 14:00:00+00:00,2025-04-23 14:00:00+00:00,-1.0,5.0,5.0,25.0,5.0
AAL,2025-05-08,6,PUT,0.006936038902214896,-9.203824115451059e-06,0.0,0.009161860200119117,0.0,0.5688086952666349,,,2025-05-08 14:00:00+00:00,2025-05-08 14:00:00+00:00,-1.0,5.0,5.0,20.0,30.0
AAL,2025-05-08,14,PUT,0.02426312771777659,-3.627383744447618e-05,-0.004496825493540069,0.0013921159143395574,0.15616023189168218,0.05418581895713011,,,2025-05-08 14:40:00+00:00,2025-05-08 14:40:00+00:00,-1.0,10.0,5.0,25.0,15.0
AAL,2025-05-12,14,PUT,-0.019442943006250754,8.532459609534063e-06,-0.0004267121891076115,-0.00213546961935473,0.02146635279403698,0.09892412339610393,,,2025-05-12 14:40:00+00:00,2025-05-12 14:40:00+00:00,-1.0,10.0,5.0,30.0,25.0
AAL,2025-08-01,6,CALL,-0.023010355319162266,0.00031943782136112397,0.0008575051996508409,0.011477523482007427,0.03545270693695276,0.32974456510037353,,,2025-08-01 14:00:00+00:00,2025-08-01 14:00:00+00:00,1.0,10.0,5.0,30.0,5.0
AAL,2025-08-22,8,CALL,0.039740408140773086,0.0003818980378668175,0.0019072293367526538,0.01816167967430231,0.04537831107017981,0.31160668592787216,,,2025-08-22 14:10:00+00:00,2025-08-22 14:10:00+00:00,1.0,10.0,5.0,30.0,15.0
AAOI,2025-01-06,6,CALL,-0.08648334815117284,0.0002753132331861707,-0.0019291448993687607,-0.030825464837677535,0.02175208723955906,0.2621566858392873,,,2025-01-06 15:00:00+00:00,2025-01-06 15:00:00+00:00,1.0,5.0,10.0,5.0,25.0
AAOI,2025-04-15,6,CALL,0.020924913424248733,-0.0017272025765024822,0.01031823516561625,-0.019197710847746265,0.31295496713246174,0.4587285609865197,,,2025-04-15 14:00:00+00:00,2025-04-15 14:00:00+00:00,1.0,10.0,10.0,15.0,30.0
AAOI,2025-05-09,6,CALL,-0.01236590217928399,0.00022223868800470806,-0.0007408148761328294,-0.024723712666717284,0.05557936348452929,0.6626235452008332,,,2025-05-09 14:00:00+00:00,2025-05-09 14:00:00+00:00,1.0,10.0,5.0,10.0,30.0
AAOI,2025-05-12,6,CALL,0.013784872213156791,0.0006082725618369046,0.004550349260570127,0.011799975623905988,0.24020643984829135,0.45049904112996325,,,2025-05-12 14:00:00+00:00,2025-05-12 14:00:00+00:00,1.0,10.0,5.0,25.0,5.0
AAOI,2025-07-22,6,CALL,-0.09095491904202009,0.0015534372357595893,0.02377408795781687,-0.006228124452839878,0.20445122317560568,0.06307825037669638,,,2025-07-22 14:00:00+00:00,2025-07-22 14:00:00+00:00,1.0,10.0,5.0,15.0,30.0
AAOI,2025-08-12,6,CALL,0.06620735765666018,-0.0015369857353739404,0.00613368858683985,0.0275236803205544,0.08302452599974276,0.28890785436664285,,,2025-08-12 14:00:00+00:00,2025-08-12 14:00:00+00:00,1.0,10.0,5.0,25.0,5.0
AAOI,2025-08-18,18,CALL,0.09460822293314508,-0.002492890165689362,0.013902905168991434,0.024103131563492246,0.125246863905837,0.19886375787121344,,,2025-08-18 15:00:00+00:00,2025-08-18 15:00:00+00:00,1.0,5.0,5.0,15.0,5.0
AAOI,2025-08-22,6,CALL,0.011227784747934205,0.0014735293688210975,0.04885022206502093,0.055837015772436084,0.7936474878669914,0.8146830519901781,,,2025-08-22 14:00:00+00:00,2025-08-22 14:00:00+00:00,1.0,10.0,5.0,20.0,5.0
APLD,2025-01-03,6,CALL,0.04848681815637566,-0.0006069803654615742,-0.0007895041433874801,0.022145324611147384,0.015827022294132687,0.31085902853980835,,,2025-01-03 15:00:00+00:00,2025-01-03 15:00:00+00:00,1.0,10.0,5.0,30.0,25.0
APLD,2025-06-02,6,PUT,0.059841784716202426,-0.0011394873677108167,0.06509780028765355,0.10387698703889385,0.516325184371632,0.630098774496419,,,2025-06-02 14:00:00+00:00,2025-06-02 14:00:00+00:00,-1.0,5.0,10.0,5.0,25.0
APLD,2025-07-17,14,PUT,0.07854591413155063,-0.000682918004596357,0.018498249935393875,0.008163311379605579,0.18928478721847317,0.0934101287735794,,,2025-07-17 14:40:00+00:00,2025-07-17 14:40:00+00:00,-1.0,5.0,10.0,5.0,15.0
APLD,2025-08-11,6,CALL,0.004546187390944018,-0.0006980803563126065,-0.01300310055454123,-0.011589243782649096,0.7126014195296358,0.6884626396613758,,,2025-08-11 14:00:00+00:00,2025-08-11 14:00:00+00:00,1.0,5.0,10.0,20.0,30.0
APLD,2025-08-15,6,CALL,-0.0466444063659797,-0.0018021991470803971,0.01219090122684706,0.010050408003576075,0.20104555550309106,0.17181061731840047,,,2025-08-15 14:00:00+00:00,2025-08-15 14:00:00+00:00,1.0,10.0,5.0,25.0,5.0
APLD,2025-08-20,6,PUT,-0.0445332557169065,-0.0002707065627881011,-0.0014662402604604693,-0.002858098571168485,0.03168865014558796,0.05996590412050403,,,2025-08-20 14:00:00+00:00,2025-08-20 14:00:00+00:00,-1.0,10.0,5.0,20.0,5.0
APLD,2025-08-22,8,CALL,0.053281339580653814,-0.00029913082843160217,-0.008278508364140255,-0.010744539282977266,0.13382872669930707,0.1670351755003789,,,2025-08-22 14:10:00+00:00,2025-08-22 14:10:00+00:00,1.0,10.0,10.0,10.0,15.0
ASTS,2025-01-31,6,CALL,0.08944208773081676,8.09262049792687e-05,-0.002858553705888436,0.035058509797651106,0.030942901044673312,0.2814101862541174,,,2025-01-31 15:00:00+00:00,2025-01-31 15:00:00+00:00,1.0,5.0,5.0,30.0,5.0
