dimension,subgroup,model_id,primary_log_loss,primary_brier_score,primary_auc,primary_average_precision,primary_accuracy,primary_balanced_accuracy,primary_matthews_correlation_coefficient,primary_up_base_rate,primary_predicted_up_rate,primary_calibration_intercept,primary_calibration_slope,primary_expected_calibration_error,primary_episodes,selective_horizon_minutes,selective_total_episodes,selective_actions,selective_abstentions,selective_action_coverage,selective_call_count,selective_put_count,selective_call_put_balance,selective_directional_accuracy,selective_balanced_accuracy,selective_mean_aligned_return,selective_median_aligned_return,selective_positive_aligned_return_rate,selective_trimmed_mean_aligned_return,selective_mean_winning_aligned_return,selective_mean_losing_aligned_return,selective_payoff_ratio,selective_mean_maximum_favourable_excursion,selective_mean_maximum_adverse_excursion,selective_favourable_adverse_excursion_ratio
checkpoint,early_6_14,Q0,0.730490495589308,0.266389987566,0.501589275843007,0.546052162593869,0.545454545454545,0.541044776119403,0.081953754706223,0.553719008264463,0.545454545454545,0.222867774053586,-0.129253437951249,0.126137247708378,242,10,245,70,175,0.285714285714286,40,30,0.571428571428571,0.414285714285714,0.399074852817494,-0.00131568510466783,-0.00140079768045692,0.414285714285714,-0.00229749008232234,0.0105000740941398,-0.0096731733184586,1.08548392016333,0.00939312921490941,0.0120532943647031,0.779299744177516
checkpoint,early_6_14,QS,0.712226042762063,0.25916088841025,0.481205085682698,0.541202332069311,0.5,0.501796572692095,0.00357430105512618,0.553719008264463,0.483471074380165,0.216373290443326,-0.27108691022719,0.0838184819125043,242,10,245,68,177,0.277551020408163,37,31,0.544117647058823,0.470588235294118,0.469264069264069,-0.000154685047004975,-0.00113808289549019,0.470588235294118,-0.00136774792821742,0.0101496651603079,-0.00931410745350527,1.08970883264699,0.010926632126021,0.0118595480413014,0.921336301178475
checkpoint,early_6_14,Q1,0.735173609458599,0.268439001119134,0.496268656716418,0.540030870664769,0.528925619834711,0.52432283029298,0.048565187974058,0.553719008264463,0.545454545454545,0.222159607691075,-0.155178702279714,0.106101959355481,242,10,245,74,171,0.302040816326531,44,30,0.594594594594595,0.459459459459459,0.445684523809524,-0.000740851006374541,-0.000765159509760155,0.459459459459459,-0.000902774333414174,0.00963979643622615,-0.00956440133258513,1.00788288791105,0.0107422906790983,0.0109761360843163,0.978695106964634
checkpoint,middle_16_24,Q0,0.916181707902627,0.35409131427676,,,0.2,,,1,0.2,,,,5,10,5,2,3,0.4,0,2,0,0,,-0.0249934248557006,-0.0249934248557006,0,-0.0249934248557006,,-0.0249934248557006,,0.0065345937667219,0.0333539333843712,0.195916736158736
checkpoint,middle_16_24,QS,0.81245779759332,0.308550101922181,,,0.2,,,1,0.2,,,,5,10,5,2,3,0.4,0,2,0,0,,-0.0249934248557006,-0.0249934248557006,0,-0.0249934248557006,,-0.0249934248557006,,0.0065345937667219,0.0333539333843712,0.195916736158736
checkpoint,middle_16_24,Q1,0.971723718563921,0.372128899410177,,,0.2,,,1,0.2,,,,5,10,5,2,3,0.4,0,2,0,0,,-0.0249934248557006,-0.0249934248557006,0,-0.0249934248557006,,-0.0249934248557006,,0.0065345937667219,0.0333539333843712,0.195916736158736
checkpoint,late_26_34,Q0,0.614519098196673,0.210992100594899,1,1,1,1,1,0.666666666666667,0.666666666666667,7.04847766262571,41.6508640998972,0.457914671998882,3,10,3,0,3,0,0,0,,,,,,,,,,,,,
checkpoint,late_26_34,QS,0.767178054373263,0.286476082427848,0.5,0.833333333333333,0.333333333333333,0.5,0,0.666666666666667,0,-0.0999878774201152,-11.7112470834144,0.201984068270764,3,10,3,1,2,0.333333333333333,0,1,0,0,,-0.000237986782672524,-0.000237986782672524,0,-0.000237986782672524,,-0.000237986782672524,,0.00170778370712494,0.00520985289603563,0.327798834478505
checkpoint,late_26_34,Q1,0.54741601188662,0.178820831143198,1,1,0.666666666666667,0.75,0.5,0.666666666666667,0.333333333333333,7.89066223568044,36.8722575758174,0.417647296411493,3,10,3,1,2,0.333333333333333,1,0,1,1,,0.000237986782672524,0.000237986782672524,1,0.000237986782672524,0.000237986782672524,,,0.00520985289603563,0.00170778370712494,3.05065148139072
prior_close_atm_iv,high_prior_close_atm_iv,Q0,0.730576086149696,0.266640899912027,0.477644156645082,0.567994441624965,0.525862068965517,0.513259327782917,0.0262886332082537,0.594827586206897,0.568965517241379,0.398277389122214,-0.16123112837296,0.152335481691238,116,10,116,35,81,0.301724137931034,21,14,0.6,0.371428571428571,0.361842105263158,-0.00290103530745738,-0.00358849063927343,0.371428571428571,-0.00413885472995438,0.0137574614620996,-0.0127446924894683,1.07946594030952,0.0116956901826159,0.0156754268018405,0.746116219383752
