null_number,seed,model_id,log_loss,brier_score,auc,average_precision,accuracy,balanced_accuracy,matthews_correlation_coefficient,up_base_rate,predicted_up_rate,calibration_intercept,calibration_slope,expected_calibration_error,episodes,selective_accuracy,mean_aligned_return,quiet_score_prediction_monotonicity,confidence_boundary
1,2026072631,Q0,0.732905717184891,0.268794541682839,0.468540568677207,0.55372714126358,0.484,0.480089791138005,-0.0395549324872446,0.564,0.528,0.259710754013138,-0.145375357176332,0.12028659934477,250,0.455696202531646,0.000261122367782388,-0.00548215121996925,0.118350213093743
1,2026072631,QS,0.72830948912885,0.266955968920625,0.444010670830893,0.523047068871362,0.456,0.460472379465157,-0.0786570525115294,0.564,0.46,0.247180688906067,-0.646939281828618,0.112717125839443,250,0.422222222222222,-5.42595949871752e-05,0.00678415969123044,0.0817949786702669
1,2026072631,Q1,0.733693695827871,0.267983996819406,0.499056542390526,0.560675169536001,0.496,0.494892315700436,-0.0101326357519998,0.564,0.508,0.257754912728363,-0.0124616306985441,0.145582562051487,250,0.457831325301205,-0.00153133236818457,0.00849287719583951,0.13165323620813
2,2026072632,Q0,0.722325023089696,0.26315364649629,0.510963628082504,0.568820256398749,0.516,0.511581755481814,0.023032750272526,0.564,0.536,0.257491236240992,0.00128149068575077,0.091338563497411,250,0.396825396825397,-0.00208816857435113,-0.0047157805692075,0.132112199564909
2,2026072632,QS,0.721405974321736,0.26338470304597,0.483831088554883,0.539435771978386,0.492,0.489264103064611,-0.0213122271053391,0.564,0.52,0.254245366981382,-0.19010354798928,0.139494315934766,250,0.4375,-0.00178221461903838,-0.00442452861900798,0.0989779154977185
2,2026072632,Q1,0.726139228145646,0.26439510554847,0.513371071637712,0.558195157042487,0.516,0.515745982171904,0.0312339162321236,0.564,0.504,0.257506307220313,0.0817350776099188,0.114961277475606,250,0.476190476190476,-0.00130427397671858,-0.00182848383843163,0.140505218352774
3,2026072633,Q0,0.721006849783327,0.2629576876105,0.504391957837205,0.572578452424645,0.532,0.533053549352593,0.0655654109335486,0.564,0.496,0.255785532271423,-0.0686793305140478,0.115746775747063,250,0.358490566037736,-0.00195967578271098,0.00580007984406921,0.122506182733903
3,2026072633,QS,0.717844488406401,0.261813419066587,0.477910078729911,0.54394748052971,0.488,0.491964343808966,-0.0159718563899366,0.564,0.468,0.248691598033803,-0.391085975090298,0.0901822426630295,250,0.417910447761194,0.000382207285278123,0.00374959235296002,0.0870668284003767
3,2026072633,Q1,0.729205608891867,0.266343530271778,0.49769015550784,0.554188324587958,0.5,0.505725811698874,0.0114016572843132,0.564,0.456,0.25284465465097,-0.073640334561255,0.111445859172941,250,0.425,-0.00195028957139979,0.00937315623514912,0.139185259062223
4,2026072634,Q0,0.721093488852644,0.262887989334769,0.505107684299564,0.580943761505422,0.532,0.533053549352593,0.0655654109335486,0.564,0.496,0.257723661144736,0.0119188845288903,0.0966073095370573,250,0.466666666666667,0.00074749854952893,0.00265251038904795,0.122787446825339
4,2026072634,QS,0.718545066192156,0.262200337641456,0.474786908712343,0.559007202254489,0.484,0.485295074500618,-0.0291763344953597,0.564,0.488,0.257613176838364,-0.246057186046152,0.0918926088771044,250,0.481481481481481,0.00221704349075571,-0.000900955822918704,0.0963011667478427
4,2026072634,Q1,0.731395070296121,0.266705467048874,0.511939618712994,0.559854535599078,0.52,0.519292081462685,0.0382716751651965,0.564,0.508,0.257173926712625,-0.014208618068918,0.107095694572873,250,0.463768115942029,0.000481795920749078,0.00206932294745798,0.143455125812517
5,2026072635,Q0,0.723115105071225,0.263899489220675,0.499772268852886,0.568137826830871,0.52,0.519292081462685,0.0382716751651965,0.564,0.508,0.253994152509466,0.0967927579331807,0.108430124565059,250,0.527027027027027,0.00150214491847696,-0.0118658176111508,0.138161176713981
5,2026072635,QS,0.717051520911045,0.261574418220032,0.469646691391763,0.53843090878335,0.492,0.495510443099746,-0.0089192494824179,0.564,0.472,0.258391343214372,-0.373916001085435,0.104419404626123,250,0.415384615384615,-0.000441279374183504,-0.0064799397363641,0.0968153485154795
5,2026072635,Q1,0.722497664635745,0.262494569822112,0.52846639338929,0.586651448865313,0.516,0.514704925499382,0.0291763344953597,0.564,0.512,0.252282873935551,0.193156767822586,0.126937286356023,250,0.527472527472527,0.00121496189833368,0.00244064334075936,0.140923327018214
