row_type,group_id,permutation,seed,log_loss_deterioration,brier_deterioration,auc_deterioration,selective_accuracy_deterioration,mean_aligned_return_deterioration,median_aligned_return_deterioration
permutation,Group_P_persistent_pressure,1,2026072601,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,2,2026072602,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,3,2026072603,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,4,2026072604,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,5,2026072605,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,6,2026072606,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,7,2026072607,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,8,2026072608,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,9,2026072609,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,10,2026072610,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,11,2026072611,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,12,2026072612,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,13,2026072613,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,14,2026072614,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,15,2026072615,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,16,2026072616,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,17,2026072617,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,18,2026072618,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,19,2026072619,0,0,0,0,0,0
permutation,Group_P_persistent_pressure,20,2026072620,0,0,0,0,0,0
permutation,Group_A_absorption_response,1,2026072601,0.00414590565377271,0.00198840508442377,0.00611620795107037,-0.0113636363636364,-0.000872344575471775,-2.43446336273253e-05
permutation,Group_A_absorption_response,2,2026072602,0.00495910197851668,0.00235165342867732,0.00605114190903777,-0.0105708245243129,-0.000638500698038774,-2.43446336273253e-05
permutation,Group_A_absorption_response,3,2026072603,0.000676383496679644,0.000259776781267262,-0.00344850022773102,-0.0454545454545455,-0.000979918352720812,-0.000750843416586161
permutation,Group_A_absorption_response,4,2026072604,0.0032894551090169,0.00151124165215705,0.00540048148871114,-0.0167189132706374,-0.000374115255974465,-4.86892672546507e-05
permutation,Group_A_absorption_response,5,2026072605,0.00404565727854633,0.00225833167699541,0.0150302557095452,-0.0512016718913271,-0.00126603977342022,-0.00102749092606
permutation,Group_A_absorption_response,6,2026072606,0.000356391666685441,0.000220981910767304,0.000455462294228826,-0.0282131661442007,-0.00136396149845567,-0.000387008666027761
permutation,Group_A_absorption_response,7,2026072607,0.00312159465565065,0.00168809764992406,0.00956470817880167,-0.017364657814096,-4.52729432205482e-05,-4.86892672546507e-05
permutation,Group_A_absorption_response,8,2026072608,0.0026057422538045,0.00110023427344552,-0.00104105667252252,-0.0282131661442007,-0.000932494060852895,-0.000387008666027761
permutation,Group_A_absorption_response,9,2026072609,0.00434845570206999,0.00196858943840783,0.00364369835382922,-0.0286006128702758,-0.000916662625103904,-0.000387008666027761
permutation,Group_A_absorption_response,10,2026072610,0.00298322557282338,0.00148802297640355,0.00839351942221356,-0.00974025974025977,-0.000807239382561427,-2.43446336273253e-05
permutation,Group_A_absorption_response,11,2026072611,0.000282099914804546,0.000287439461286954,0.00338343418569864,-0.0338266384778013,-0.00103938378070484,-0.000430602286570039
permutation,Group_A_absorption_response,12,2026072612,0.00746718694906012,0.00331513562740443,0.00787299108595241,0.00399600399600397,-0.000265720629017121,0.000441729363911141
permutation,Group_A_absorption_response,13,2026072613,0.0136091432750572,0.00626830726150218,0.0208861994924849,0.0126849894291755,-0.000287889036805472,0.000611293537069437
permutation,Group_A_absorption_response,14,2026072614,0.00671814921270708,0.00307304541016645,0.0107358969353895,-0.0216450216450216,-0.000891215896494005,-0.000217848966641206
permutation,Group_A_absorption_response,15,2026072615,0.00493259532929557,0.00236008816503214,0.00897911380050759,-0.028971028971029,-0.000598015242051562,-0.000387008666027761
permutation,Group_A_absorption_response,16,2026072616,0.00313976343782196,0.00148829399228317,0.0054655475307438,-0.0340909090909091,-0.00119714881212265,-0.000430602286570039
permutation,Group_A_absorption_response,17,2026072617,0.00593829778279797,0.00271562305126793,0.0062463400351358,-0.0160427807486631,-0.000432287747249116,-4.86892672546507e-05
permutation,Group_A_absorption_response,18,2026072618,0.00422395695853295,0.0019704965340468,0.00520528336261317,-0.0340909090909091,-0.00126406526653304,-0.000430602286570039
permutation,Group_A_absorption_response,19,2026072619,0.00172151034659496,0.000841457795674017,0.00221224542911064,-0.0160427807486631,-0.00102959042034555,-4.86892672546507e-05
permutation,Group_A_absorption_response,20,2026072620,0.0053375601073824,0.00267259393528174,0.0109961611035202,-0.00699300699300703,-0.000115912303798078,0
permutation,Group_C_compression_context,1,2026072601,-0.000240447287601642,-0.000625446969560794,-0.0121022838180752,-0.0221987315010571,-0.00124402168700761,-0.000387008666027761
permutation,Group_C_compression_context,2,2026072602,0.00588632654423926,0.00189495723709027,-0.0071572646235929,-0.00378787878787878,0.000348905275951244,-2.43446336273253e-05
permutation,Group_C_compression_context,3,2026072603,0.00838500077879423,0.00353562521887585,0.00208211334504532,-0.018572825024438,-0.0003476574750612,-0.000392139489056632
permutation,Group_C_compression_context,4,2026072604,-0.00227540618723521,-0.00163381135983781,-0.0210813976185829,-0.0254545454545455,-0.000695635367174516,-0.000392139489056632
permutation,Group_C_compression_context,5,2026072605,0.00205476371018642,0.000637479783513584,-0.00156158500878389,-0.00328587075575026,-0.000162747320461943,-0.000217848966641206
permutation,Group_C_compression_context,6,2026072606,0.00451264204984059,0.00162679580437175,-0.00605114190903755,-0.0241779497098646,-0.000953186293327253,-0.000397270312085503
permutation,Group_C_compression_context,7,2026072607,0.00462536768290434,0.00170050656813953,-0.00221224542911047,0.00510725229826353,1.51877951973763e-05,-2.43446336273253e-05
permutation,Group_C_compression_context,8,2026072608,-3.27329410867438e-05,-0.000103862083223716,-0.00598607586700495,-0.00101010101010102,-0.000307408122923457,-4.86892672546507e-05
permutation,Group_C_compression_context,9,2026072609,0.00626045834259337,0.00241290592154242,-0.00227731147114307,0.0177638453500522,0.000432846009576835,0.000390428855113867
permutation,Group_C_compression_context,10,2026072610,0.00082015749442832,-0.000172656433962304,-0.00839351942221345,-0.00427807486631016,4.9946792495413e-06,-0.000217848966641206
