stock,episodes,actions,mean_quiet_absorption_score,call_count,put_count,direction_accuracy,mean_aligned_return,median_aligned_return,positive_aligned_return_rate,mean_remaining_fraction,contribution_to_positive_aligned_return,contribution_to_negative_aligned_return
AAL,15,7,-0.0329252807029807,4,3,0.857142857142857,0.00378513807972923,0.00457434135111151,0.857142857142857,0.472810713981069,0.085649830177165,0.00369059043266644
AAOI,10,5,0.0122801976463827,5,0,0.8,0.00880710921894205,0.00613368858683985,0.8,0.674175823443298,0.136517014227117,0.00171261768165883
APLD,12,3,-0.00130428704562752,2,1,0.333333333333333,0.00242479705876051,-0.00078950414338748,0.333333333333333,0.805762759575177,0.0386774980323207,0.0125102790390037
ASTS,18,8,-0.0019204809493903,8,0,0.125,-0.0141677554290392,-0.0100871496534211,0.125,0.572677198616109,0.0162550905337888,0.274349850787104
CIFR,12,5,0.00636297226696605,0,5,0.2,-0.00543083657495208,-0.00506338570293984,0.2,0.343045121379288,0.00244349031706755,0.0646278857313772
HIMS,10,3,-0.0188054404892595,3,0,0.333333333333333,0.00240261052295822,-0.00358849063927343,0.333333333333333,0.612094329934182,0.0515640546302845,0.0224353905271838
IONQ,28,6,-0.00789309302848947,3,3,0.333333333333333,-0.0030762886965204,-0.00404284293507125,0.333333333333333,0.34830547591813,0.0196432899354763,0.0575651670628325
IREN,7,3,0.00346734750721853,3,0,0.333333333333333,7.81392529302484e-05,-0.00248258319335186,0.333333333333333,0.631848855193916,0.0171207627777824,0.0124399004892027
MARA,14,4,0.00511281890801478,0,4,0.5,0.000341622748798714,-0.00260355272267319,0.5,0.647589380521061,0.0995341726341628,0.0723127853408579
MP,16,3,0.00851844718334836,1,2,0.333333333333333,0.00119142949401332,-0.0036920982922704,0.333333333333333,0.632800461719206,0.0449342170810106,0.025808346446495
MRNA,6,1,0.00060165542127639,0,1,0,-0.0121213926247716,-0.0121213926247716,0,0.949724098200662,0,0.0280222657567023
MSTR,12,4,-0.03993086481212,3,1,0.25,-0.0107580167357094,-0.013086254560368,0.25,0.592042238969219,0.0147062338105565,0.110632649975298
NVTS,9,1,-0.0386288785451582,1,0,1,0.00355438783890002,0.00355438783890002,1,0.18839359455045,0.0108368434738985,0
QBTS,8,3,0.00197459515650274,2,1,1,0.0144308925926586,0.00947888000897476,1,0.553503280686522,0.131993466641795,0
RGTI,17,7,-0.000534614891509334,4,3,0.571428571428571,-0.00375532487148535,0.000696449892554003,0.571428571428571,0.564548265239593,0.0936037981734112,0.131746118799502
RIOT,13,3,0.00438310675914304,2,1,0.666666666666667,0.00780173303809461,0.000571706250022069,0.666666666666667,0.532690662882816,0.0725864119104868,0.000930490050243494
RIVN,8,3,-0.0296891804917295,1,2,0,-0.00812199855348591,-0.0112019336757984,0,0.318765178702627,0,0.056329369649213
SMCI,12,3,0.0165833371286688,2,1,0.666666666666667,-0.00173331754762092,0.00776891539283286,0.666666666666667,0.595566542945807,0.0531290283683047,0.0523063792913009
SOFI,12,2,-0.0227478299724546,0,2,0.5,0.0102885461406838,0.0102885461406838,0.5,0.730642816112224,0.0868383071677607,0.018275022124269
WULF,14,3,-0.0264473737376349,1,2,0.333333333333333,-0.00520982886314836,-0.00951588484852919,0.333333333333333,0.455752091248562,0.0239664901076113,0.054304890815088
