archetype,metric,interval_level_percent,lower,median,upper,draws,seed,unit,models_refit
C1,log_loss_improvement_vs_B0,80,-0.008931147977647247,-0.00205692724913642,0.006106353843442761,100,20260726,whole_session,False
C1,log_loss_improvement_vs_B0,90,-0.009919352744669468,-0.00205692724913642,0.007879167264882409,100,20260726,whole_session,False
C1,log_loss_improvement_vs_B0,95,-0.010429088260401037,-0.00205692724913642,0.011679175122315779,100,20260726,whole_session,False
C1,brier_improvement_vs_B0,80,-0.00422752856983479,-0.0007910928325712274,0.0032230771850020865,100,20260726,whole_session,False
C1,brier_improvement_vs_B0,90,-0.004692871962153044,-0.0007910928325712274,0.003983634281788334,100,20260726,whole_session,False
C1,brier_improvement_vs_B0,95,-0.004943606830384841,-0.0007910928325712274,0.005938028228516518,100,20260726,whole_session,False
C1,auc_improvement_vs_B0,80,-0.015112050364624607,0.01457692360344609,0.044340588027002935,100,20260726,whole_session,False
C1,auc_improvement_vs_B0,90,-0.021777421228342288,0.01457692360344609,0.054437875707689105,100,20260726,whole_session,False
C1,auc_improvement_vs_B0,95,-0.02529713313741296,0.01457692360344609,0.062308201333455375,100,20260726,whole_session,False
C1,action_coverage,80,0.26057149165578025,0.28640290359349696,0.31755769145590645,100,20260726,whole_session,False
C1,action_coverage,90,0.25,0.28640290359349696,0.31973675726214656,100,20260726,whole_session,False
C1,action_coverage,95,0.24418179443646337,0.28640290359349696,0.322285413065116,100,20260726,whole_session,False
C1,directional_accuracy,80,0.4543083003952569,0.5154704944178629,0.59029203539823,100,20260726,whole_session,False
C1,directional_accuracy,90,0.42857142857142855,0.5154704944178629,0.6318181818181817,100,20260726,whole_session,False
C1,directional_accuracy,95,0.42587343289085544,0.5154704944178629,0.6461142150577028,100,20260726,whole_session,False
C1,balanced_accuracy,80,0.4605222911784333,0.5298233713548115,0.6106775686478326,100,20260726,whole_session,False
C1,balanced_accuracy,90,0.45331571650457103,0.5298233713548115,0.6399513509959897,100,20260726,whole_session,False
C1,balanced_accuracy,95,0.43964627278777124,0.5298233713548115,0.6549371431133965,100,20260726,whole_session,False
C1,mean_aligned_return,80,-0.0013299427083648125,0.0006228701602783789,0.0032525487090465065,100,20260726,whole_session,False
C1,mean_aligned_return,90,-0.0017124016464031076,0.0006228701602783789,0.003525593141225004,100,20260726,whole_session,False
C1,mean_aligned_return,95,-0.0020475615824682688,0.0006228701602783789,0.004528541930335403,100,20260726,whole_session,False
C1,median_aligned_return,80,-0.0012956198713690462,0.00033076979185719637,0.0019188138259001225,100,20260726,whole_session,False
C1,median_aligned_return,90,-0.002066949235808187,0.00033076979185719637,0.0028197400354659226,100,20260726,whole_session,False
C1,median_aligned_return,95,-0.0023234739609190144,0.00033076979185719637,0.0030065734503056446,100,20260726,whole_session,False
C1,positive_return_rate,80,0.4543083003952569,0.5154704944178629,0.59029203539823,100,20260726,whole_session,False
C1,positive_return_rate,90,0.42857142857142855,0.5154704944178629,0.6318181818181817,100,20260726,whole_session,False
