archetype,diagnostic,excluded_stock,value
C1,maximum_stock_share_of_actions,,0.14049586776859505
C1,maximum_month_share_of_actions,,0.1487603305785124
C1,maximum_session_share_of_actions,,0.049586776859504134
C1,leave_one_stock_out_accuracy,AAL,0.5087719298245614
C1,leave_one_stock_out_mean_return,AAL,0.0006291840175316717
C1,leave_one_stock_out_median_return,AAL,0.0002947928321443107
C1,leave_one_stock_out_accuracy,AAOI,0.49137931034482757
C1,leave_one_stock_out_mean_return,AAOI,-1.933997698887544e-05
C1,leave_one_stock_out_median_return,AAOI,-0.0005408937894294239
C1,leave_one_stock_out_accuracy,APLD,0.5042016806722689
C1,leave_one_stock_out_mean_return,APLD,9.43524900544979e-05
C1,leave_one_stock_out_median_return,APLD,0.0002866618533696571
C1,leave_one_stock_out_accuracy,ASTS,0.5217391304347826
C1,leave_one_stock_out_mean_return,ASTS,0.0008420893170152519
C1,leave_one_stock_out_median_return,ASTS,0.00035861577279542846
C1,leave_one_stock_out_accuracy,CIFR,0.5185185185185185
C1,leave_one_stock_out_mean_return,CIFR,0.0009925177792362257
C1,leave_one_stock_out_median_return,CIFR,0.00033076979185719637
C1,leave_one_stock_out_accuracy,HIMS,0.5130434782608696
C1,leave_one_stock_out_mean_return,HIMS,0.0007389686232920364
C1,leave_one_stock_out_median_return,HIMS,0.0003029238109189643
C1,leave_one_stock_out_accuracy,IONQ,0.5192307692307693
C1,leave_one_stock_out_mean_return,IONQ,0.0013113119192357892
C1,leave_one_stock_out_median_return,IONQ,0.00033076979185719637
C1,leave_one_stock_out_accuracy,IREN,0.5086206896551724
C1,leave_one_stock_out_mean_return,IREN,0.000492663369612787
C1,leave_one_stock_out_median_return,IREN,0.0002947928321443107
C1,leave_one_stock_out_accuracy,MARA,0.5135135135135135
C1,leave_one_stock_out_mean_return,MARA,0.0006108848372533689
C1,leave_one_stock_out_median_return,MARA,0.0003029238109189643
C1,leave_one_stock_out_accuracy,MP,0.5172413793103449
C1,leave_one_stock_out_mean_return,MP,0.0009145334665071425
C1,leave_one_stock_out_median_return,MP,0.00033076979185719637
C1,leave_one_stock_out_accuracy,MRNA,0.5128205128205128
C1,leave_one_stock_out_mean_return,MRNA,0.000811724107196635
C1,leave_one_stock_out_median_return,MRNA,0.00035861577279542846
C1,leave_one_stock_out_accuracy,MSTR,0.5084745762711864
C1,leave_one_stock_out_mean_return,MSTR,0.00027911736791757537
C1,leave_one_stock_out_median_return,MSTR,0.0002947928321443107
C1,leave_one_stock_out_accuracy,NVTS,0.5
C1,leave_one_stock_out_mean_return,NVTS,0.0005958516749192831
C1,leave_one_stock_out_median_return,NVTS,-1.4323191452752664e-05
C1,leave_one_stock_out_accuracy,QBTS,0.5350877192982456
C1,leave_one_stock_out_mean_return,QBTS,0.0013775357682387906
C1,leave_one_stock_out_median_return,QBTS,0.0007140258944621439
C1,leave_one_stock_out_accuracy,RGTI,0.5042735042735043
