archetype,month,episodes,actions,directional_accuracy,balanced_accuracy,mean_aligned_return,median_aligned_return,positive_return_rate,mean_remaining_fraction
C1,2025-01,51,17,0.4117647058823529,0.6153846153846154,-0.0014293592095423408,-0.0020603716787540634,0.4117647058823529,0.4355313079569461
C1,2025-02,37,10,0.2,0.3125,-0.006258226288386298,-0.007017394536914518,0.2,0.569716064463159
C1,2025-03,45,13,0.6923076923076923,0.675,0.001330681927597601,0.0027008796095011884,0.6923076923076923,0.5346703367813433
C1,2025-04,57,17,0.6470588235294118,0.6333333333333333,0.005572699475261255,0.002822013564009839,0.6470588235294118,0.5470999344007813
C1,2025-05,56,18,0.6111111111111112,0.5833333333333333,-0.0023800704357026807,0.001912753108202881,0.6111111111111112,0.563809377518106
C1,2025-06,50,12,0.5,0.5428571428571429,0.004474631313115201,-0.00015622099486726858,0.5,0.5015858878322663
C1,2025-07,69,17,0.47058823529411764,0.4772727272727273,0.0008642530201253832,-0.0007664793425836853,0.47058823529411764,0.6895922344384058
C1,2025-08,52,17,0.47058823529411764,0.45,0.002062470161432777,-0.0008575051996508409,0.47058823529411764,0.506222856487159
A1,2025-01,51,21,0.42857142857142855,0.4583333333333333,0.0005639679290529385,-0.00260078186915901,0.42857142857142855,0.4956746169473196
A1,2025-02,37,14,0.35714285714285715,0.4,-0.0046176674655046,-0.0056184537541322,0.35714285714285715,0.5723684409707188
A1,2025-03,45,20,0.6,0.5833333333333333,0.0007577340800522237,0.0008986608751037742,0.6,0.5473714112692843
A1,2025-04,57,24,0.6666666666666666,0.6888888888888889,0.008319311293323058,0.006930523690441687,0.6666666666666666,0.585355289341906
A1,2025-05,56,15,0.6,0.5833333333333333,0.00043985698981949587,0.001852145931230472,0.6,0.5350508775683619
A1,2025-06,50,9,0.3333333333333333,0.39285714285714285,-0.003887009315068384,-0.0023282423471252716,0.3333333333333333,0.5658690421580437
A1,2025-07,69,21,0.45,0.478021978021978,0.0008057878930240974,-0.0007664793425836853,0.42857142857142855,0.5710170993886093
A1,2025-08,52,16,0.625,0.75,0.00599604381225481,0.006113764727502137,0.625,0.5430235535337167
R1,2025-01,51,14,0.35714285714285715,0.475,-0.0015047737466636925,-0.0022206745248465037,0.35714285714285715,0.3516683394474517
R1,2025-02,37,12,0.5,0.5142857142857142,0.0006157814702874578,0.00029704846222036827,0.5,0.5463743757587572
R1,2025-03,45,11,0.36363636363636365,0.35,-0.002341092812833394,-0.0025500119382583166,0.36363636363636365,0.5620992755026919
R1,2025-04,57,16,0.625,0.6181818181818182,0.0015263794653158995,0.0019640248831551835,0.625,0.5012338615409887
R1,2025-05,56,14,0.42857142857142855,0.4583333333333333,-0.005741068757958497,-0.0048462874070211905,0.42857142857142855,0.6306466306307402
R1,2025-06,50,9,0.5555555555555556,0.525,0.0015246225530932025,0.0005717062500220685,0.5555555555555556,0.5447136063836803
R1,2025-07,69,16,0.7333333333333333,0.6590909090909092,0.007422875194777594,0.004158483316629254,0.6875,0.6702523564089744
R1,2025-08,52,11,0.45454545454545453,0.625,-0.0047283584792235525,-0.0023234739609190144,0.45454545454545453,0.5401373091409845
