stock,session,checkpoint,M1C_probability,m1_probability,episode_impact
AAL,2024-02-02,6,0.5364907469670831,0.5312575449363567,shared
AAL,2024-02-06,6,0.5150881687681671,0.49797714101442664,shared
AAL,2024-04-23,6,0.5344142314123066,0.5025328610786549,shared
AAL,2024-05-13,6,0.5889890353020422,0.5438783839769116,shared
AAL,2024-05-29,6,0.8749955319649964,0.6945844359474802,shared
AAL,2024-05-29,30,0.4912872469579778,,M1C_only
AAL,2024-05-30,6,0.596832620056822,,M1C_only
AAL,2024-06-03,6,0.6642597698496319,0.5965374143605771,shared
AAL,2024-06-26,6,0.6265264280529644,0.5837203892398447,shared
AAL,2024-07-29,6,0.5250858026034112,,M1C_only
AAL,2024-07-30,6,0.69248902264743,0.6020134430888462,shared
AAL,2024-07-30,14,0.5514509145228665,,M1C_only
AAL,2024-08-02,6,0.5405589555966016,,M1C_only
AAL,2024-08-05,6,0.6255340490095445,0.5448542696850863,shared
AAL,2024-08-05,22,0.5025600593472918,,M1C_only
AAL,2024-08-22,6,0.5001794101534899,,M1C_only
AAL,2024-09-12,6,0.5971066741753271,,M1C_only
AAL,2024-09-12,14,0.5121227356002394,,M1C_only
AAL,2024-10-08,6,0.5248974622620278,0.519170133807413,shared
AAL,2024-10-24,6,0.7774256437772614,0.5883451957593089,shared
AAL,2024-10-24,22,0.4891163151583983,,M1C_only
AAL,2024-10-25,6,0.5076679257552739,,M1C_only
AAL,2024-10-28,6,0.5551825827961938,,M1C_only
AAL,2024-10-29,6,0.49858681277213024,,M1C_only
AAL,2024-11-06,6,0.5688609314993739,,M1C_only
AAL,2024-11-25,6,0.5620576286531506,0.5286520889259265,shared
AAL,2024-12-04,6,0.5149648786945954,,M1C_only
AAL,2024-12-05,6,0.8058908332278035,0.6717753053161708,shared
AAL,2024-12-24,6,0.5694896942332317,0.5072148097454012,shared
AAL,2025-01-22,6,0.5193289101529014,,M1C_only
AAL,2025-01-23,6,0.8025003854093656,0.645373841802469,shared
AAL,2025-01-23,18,0.5160313146036195,,M1C_only
AAL,2025-01-23,26,,0.5324347671123406,archived_M1_only
AAL,2025-02-03,6,0.48990095323303984,,M1C_only
AAL,2025-02-18,6,0.5102278703220496,,M1C_only
AAL,2025-03-03,6,0.6049771248622784,0.5317313488931491,shared
AAL,2025-03-04,6,0.6348584125414761,,M1C_only
AAL,2025-03-17,6,0.5362314604462012,,M1C_only
AAL,2025-03-25,6,0.5891440816435501,,M1C_only
AAL,2025-03-27,6,0.4983810855471254,,M1C_only
AAL,2025-04-02,6,0.5242031656003739,,M1C_only
AAL,2025-04-03,6,0.6028493402211219,0.5070090444406562,shared
AAL,2025-04-04,6,0.5919912565703888,,M1C_only
AAL,2025-04-04,12,0.520168759984157,,M1C_only
AAL,2025-04-11,6,0.572039507214342,0.5108698493045125,shared
AAL,2025-04-14,6,0.5590461399811933,,M1C_only
AAL,2025-04-15,6,0.6214845507863428,0.5996807745656124,shared
AAL,2025-04-21,6,0.600362471097371,,M1C_only
AAL,2025-04-23,6,0.6348321304406116,0.5474643792884575,shared
AAL,2025-05-08,6,0.497436230217546,0.5055481305127975,shared
AAL,2025-05-08,14,0.49701278695008877,0.5131116417764348,shared
AAL,2025-05-12,6,0.6760900053561619,0.5646735422223493,shared
AAL,2025-05-12,14,,0.5114056385892932,archived_M1_only
AAL,2025-05-29,6,0.5352452085730587,,M1C_only
AAL,2025-06-02,6,0.5594737722803741,,M1C_only
AAL,2025-06-02,14,0.5011099567209173,,M1C_only
AAL,2025-06-25,6,0.5062651609767453,,M1C_only
AAL,2025-07-28,6,0.600109147357052,0.556403074992441,shared
AAL,2025-07-29,6,0.5600327185285641,,M1C_only
AAL,2025-08-01,6,0.6422053962501115,0.5217571679578306,shared
AAL,2025-08-01,14,0.4931369721045311,,M1C_only
AAL,2025-08-04,6,0.493886992163294,,M1C_only
AAL,2025-08-20,6,0.5145651338398322,,M1C_only
AAL,2025-08-22,8,0.5113955397017416,0.5104373285604707,shared
AAL,2025-08-22,14,,0.534655077668014,archived_M1_only
AAOI,2024-01-29,6,0.5742165037370162,0.5106705251853131,shared
AAOI,2024-02-09,6,0.652094261331757,0.5184664315855797,shared
AAOI,2024-02-12,6,0.6095889385130202,0.543566990013896,shared
AAOI,2024-03-22,6,0.528730330070913,0.5283368088902551,shared
AAOI,2024-04-18,6,0.5077285764621237,,M1C_only
AAOI,2024-04-18,8,,0.528377672662717,archived_M1_only
AAOI,2024-04-22,6,0.5700682192347356,,M1C_only
AAOI,2024-04-22,14,0.7105447641022867,0.5488283717805714,shared
AAOI,2024-05-15,6,0.5137606221254574,,M1C_only
AAOI,2024-05-16,6,0.5216909887443423,,M1C_only
AAOI,2024-05-16,10,,0.5060427267555729,archived_M1_only
AAOI,2024-06-27,6,0.5495594516384958,0.515107727108211,shared
AAOI,2024-07-29,6,0.5246271290262547,,M1C_only
AAOI,2024-08-08,6,0.5994213007985753,0.6227227690615528,shared
AAOI,2024-08-09,6,0.670975049443938,0.5411379619273216,shared
AAOI,2024-08-09,22,0.5254036405603907,0.5340759029786045,shared
AAOI,2024-08-12,6,,0.500468864252526,archived_M1_only
AAOI,2024-08-12,10,0.506049709758869,,M1C_only
AAOI,2024-08-14,6,0.5612971377757497,0.5006377881516967,shared
AAOI,2024-08-20,6,0.5403290275015747,0.5588836572699646,shared
AAOI,2024-08-22,6,0.5544057458489722,0.5719078306307717,shared
AAOI,2024-08-22,14,0.5560108004262853,,M1C_only
AAOI,2024-09-09,6,,0.5157176986344951,archived_M1_only
AAOI,2024-09-12,6,0.6616517318857894,0.6406296726386047,shared
AAOI,2024-10-11,6,0.677760618342576,0.6071573950760917,shared
AAOI,2024-10-14,6,0.6175844140142338,,M1C_only
AAOI,2024-12-11,6,0.6027011465182791,0.5109686245372531,shared
AAOI,2024-12-12,6,0.5128829568022852,0.5032011718520499,shared
AAOI,2024-12-13,6,0.7454420758552195,0.71788640897001,shared
AAOI,2025-01-06,6,0.7511975832390949,0.6067471377052903,shared
AAOI,2025-01-06,22,0.49721182862092855,,M1C_only
AAOI,2025-03-11,6,0.4960393802171965,0.5174605556850277,shared
AAOI,2025-04-15,6,,0.49956304574127053,archived_M1_only
AAOI,2025-05-09,6,0.5982121960079089,0.5506500654574167,shared
AAOI,2025-05-12,6,0.6055807358479123,0.5555789057088875,shared
AAOI,2025-06-09,6,0.4906170976077016,,M1C_only
AAOI,2025-07-16,6,0.5609685195924602,,M1C_only
AAOI,2025-07-22,6,0.6320682101566935,0.5023268743107742,shared
AAOI,2025-08-08,6,0.48928951071935073,,M1C_only
AAOI,2025-08-12,6,0.5540247127391935,0.5596145602816927,shared
AAOI,2025-08-15,6,0.531476926847331,0.5469339821436868,shared
AAOI,2025-08-18,18,0.5089493776194509,0.5124622350547086,shared
AAOI,2025-08-19,6,0.5660000410758628,,M1C_only
AAOI,2025-08-20,6,0.5103748023084882,,M1C_only
AAOI,2025-08-22,6,0.5155851101482903,0.5176041956689585,shared
APLD,2024-02-05,6,0.5393956732287678,,M1C_only
APLD,2024-02-12,6,0.5074552545099553,0.49672551399886195,shared
APLD,2024-02-13,6,0.5512738507134721,,M1C_only
APLD,2024-04-12,6,0.6666541288957525,0.5425586575436463,shared
APLD,2024-04-24,6,0.5104081522049754,0.5154357070276302,shared
APLD,2024-05-20,6,0.5673138623254503,0.5684967130813179,shared
APLD,2024-05-20,14,,0.5080410591676416,archived_M1_only
APLD,2024-06-07,6,0.5795865785548121,0.5497392069263435,shared
APLD,2024-07-09,6,0.7050040603032676,0.6189436495959354,shared
APLD,2024-07-09,18,0.5785998399600718,0.5480766137956096,shared
APLD,2024-07-09,30,0.4971277102054208,,M1C_only
APLD,2024-07-10,6,0.5580435285067188,0.5317670323635965,shared
APLD,2024-07-10,30,,0.5095800536739846,archived_M1_only
APLD,2024-07-24,6,0.6306679330186291,0.5628513796255541,shared
APLD,2024-08-05,6,0.6794004426149467,0.6301552784927478,shared
APLD,2024-08-29,6,0.6253614995181501,0.5817970174808061,shared
APLD,2024-09-06,6,0.5700265222924223,0.5441040773912039,shared
APLD,2024-09-16,6,0.5908934128508081,0.6241533015300796,shared
APLD,2024-09-17,6,0.48879795091453526,0.51051373877389,shared
APLD,2024-09-17,14,,0.5039092349792571,archived_M1_only
APLD,2024-09-18,6,0.49231147633317396,0.5676882801112398,shared
APLD,2024-09-18,18,0.503606280892907,,M1C_only
APLD,2024-11-15,6,0.6422031729172918,0.6017378720600974,shared
APLD,2024-11-18,6,0.49285277464340815,0.5300841445911196,shared
APLD,2024-12-11,6,0.5064932047681868,,M1C_only
APLD,2024-12-12,6,0.6012818602792865,0.5536525992548198,shared
APLD,2024-12-30,6,0.5686333814028443,,M1C_only
APLD,2024-12-31,6,0.49335835638809505,,M1C_only
APLD,2025-01-03,6,0.5146066877392127,0.516130181933207,shared
APLD,2025-01-06,6,0.701779837906151,0.6552595655455492,shared
APLD,2025-06-02,6,0.8898268721380062,0.7995196731113811,shared
APLD,2025-07-14,6,0.49512234133232086,0.51860183403111,shared
APLD,2025-07-17,6,0.637669093741846,,M1C_only
APLD,2025-07-17,14,,0.5289224037326744,archived_M1_only
APLD,2025-07-17,16,0.49703663447061247,,M1C_only
APLD,2025-07-18,6,0.6021531179785914,,M1C_only
APLD,2025-07-18,10,,0.5303396769874038,archived_M1_only
APLD,2025-08-06,6,0.5897708130005725,0.5792513859796077,shared
APLD,2025-08-07,6,0.5257690258907407,,M1C_only
APLD,2025-08-11,6,0.5203147876039075,0.5282181965622671,shared
APLD,2025-08-15,6,0.5694380256106351,0.5157650464101403,shared
APLD,2025-08-18,6,0.7907220442560607,0.6808460365480311,shared
APLD,2025-08-20,6,0.5546113070732019,0.5116383627589184,shared
APLD,2025-08-22,8,0.5148232175450904,0.5215495165384405,shared
ASTS,2024-02-09,6,0.5306105748019311,0.5317115394685296,shared
ASTS,2024-02-12,6,0.5077567787580715,0.5035981784704407,shared
ASTS,2024-03-13,6,0.49464993926406076,,M1C_only
ASTS,2024-03-13,10,,0.5037503999199973,archived_M1_only
ASTS,2024-04-18,6,0.5044651143920065,0.5406774250687303,shared
ASTS,2024-05-24,6,0.6661538629490072,0.6319137292286126,shared
ASTS,2024-05-24,24,,0.5190088890533612,archived_M1_only
ASTS,2024-05-28,6,0.7544125107917228,0.6593322769415532,shared
ASTS,2024-05-29,6,0.9300820854880328,0.8642206956002586,shared
ASTS,2024-06-06,6,0.6005494048245017,0.6073192042176855,shared
ASTS,2024-06-06,14,0.5224025999228367,,M1C_only
ASTS,2024-06-07,6,0.5559145335570479,0.5607081189278563,shared
ASTS,2024-06-10,6,0.6918917642069837,0.6275388480266098,shared
ASTS,2024-06-10,20,,0.5279189397670829,archived_M1_only
ASTS,2024-06-10,22,0.49167712225749804,,M1C_only
ASTS,2024-06-25,6,0.7290262277970919,0.6378874510320477,shared
ASTS,2024-06-26,6,0.7040961221918625,0.6801393340126926,shared
ASTS,2024-06-27,6,0.7132232975501939,0.6903530616771932,shared
ASTS,2024-06-27,14,0.5643116933132469,,M1C_only
ASTS,2024-07-01,6,0.6859671665922943,0.6113072217007832,shared
ASTS,2024-07-01,14,0.48859363422252705,,M1C_only
ASTS,2024-07-05,6,0.5267000597114397,,M1C_only
ASTS,2024-07-15,6,0.5557736553083412,0.549566394780665,shared
ASTS,2024-07-17,6,0.48898027909899416,0.49847571380684974,shared
ASTS,2024-07-30,6,0.5070882027143218,,M1C_only
ASTS,2024-08-30,6,0.5149916757478303,0.5501160731073721,shared
ASTS,2024-08-30,14,0.495770764065685,0.5631783493347634,shared
ASTS,2024-09-03,6,0.566263470564007,0.5182050406262566,shared
ASTS,2024-09-04,6,0.5942499181399709,0.5372305957211753,shared
ASTS,2024-09-04,14,0.5344681227282116,0.5564047640647928,shared
ASTS,2024-09-04,28,0.5044450504759966,,M1C_only
ASTS,2024-09-05,6,0.6884251997511495,0.5930925052963947,shared
ASTS,2024-09-05,14,0.497069713614868,0.51587822014628,shared
ASTS,2024-09-12,6,0.5799789844880345,0.531175762685755,shared
ASTS,2024-09-12,14,0.504695119747855,0.5413964306514185,shared
ASTS,2024-09-13,6,0.5803065653463125,0.5827661532873787,shared
ASTS,2024-09-16,6,0.556684442765278,,M1C_only
ASTS,2024-09-17,6,0.5463687785425889,,M1C_only
ASTS,2024-10-14,6,0.5761618498036515,0.5186102217547751,shared
ASTS,2024-10-22,10,0.5113664922644773,0.5391501199575242,shared
ASTS,2024-10-24,6,0.6909323771494872,0.6164987068427016,shared
ASTS,2024-11-20,6,0.5023475103784959,,M1C_only
ASTS,2024-11-22,6,0.5121871243305169,0.5026850693849578,shared
ASTS,2024-11-25,6,0.49366842015627105,,M1C_only
ASTS,2024-11-26,6,0.5637825740402802,0.5056780751663734,shared
ASTS,2024-12-30,6,0.5169130192577256,,M1C_only
ASTS,2025-01-06,6,0.48967752023474637,,M1C_only
ASTS,2025-01-31,6,0.7042083726426761,0.6742870225110182,shared
ASTS,2025-01-31,20,0.4893467624840959,,M1C_only
ASTS,2025-02-03,6,0.668002552266877,0.6418139506771531,shared
ASTS,2025-02-03,14,0.4895410358739675,,M1C_only
ASTS,2025-02-05,6,0.5046919942248308,0.5204975176670068,shared
ASTS,2025-02-06,6,0.6857908267731501,0.6483892253812756,shared
