archetype,null_index,seed,permutation_strata,log_loss,brier_score,auc,selective_accuracy,mean_aligned_return,confidence_boundary,actions,real_beats_log_loss,real_beats_brier,real_beats_auc,real_beats_selective_accuracy,real_beats_mean_aligned_return
C1,0,2026072601,session × checkpoint_group,0.7296406402716746,0.2668886191311165,0.48005698005698005,0.4672131147540984,-0.0001378293129127499,0.1226559146197217,123,True,True,True,True,True
C1,1,2026072602,session × checkpoint_group,0.7190940970892306,0.26199083799759365,0.4988129154795822,0.5038759689922481,0.00036159248213897674,0.11159674860147661,130,True,True,True,True,True
C1,2,2026072603,session × checkpoint_group,0.6978370437520212,0.2519341717527367,0.5405033238366572,0.6060606060606061,0.0029659105661746826,0.10457618845464567,99,False,False,False,False,False
C1,3,2026072604,session × checkpoint_group,0.7228538193948404,0.26379951268902674,0.4804843304843305,0.4796747967479675,0.00021539115168569807,0.09481440533781538,123,True,True,True,True,True
C1,4,2026072605,session × checkpoint_group,0.7214512188404091,0.26313507497362904,0.477730294396961,0.4090909090909091,-0.002892469604115287,0.08568043828903732,134,True,True,True,True,True
C1,5,2026072606,session × checkpoint_group,0.727504547201803,0.2657737997905411,0.4964624881291548,0.45864661654135336,-0.0006523936766910547,0.11390874579776322,133,True,True,True,True,True
C1,6,2026072607,session × checkpoint_group,0.7191995191010713,0.2622571005880648,0.4955128205128205,0.4453125,-0.00053080718877167,0.10800168453900755,129,True,True,True,True,True
C1,7,2026072608,session × checkpoint_group,0.7155468537936701,0.26030393871753005,0.5035375118708452,0.4608695652173913,0.0003139426412632859,0.11202596349801586,116,True,True,True,True,True
C1,8,2026072609,session × checkpoint_group,0.693605044535844,0.2497986399251367,0.5593304843304843,0.5370370370370371,0.001994564024262215,0.1079352761063414,108,False,False,False,False,False
C1,9,2026072610,session × checkpoint_group,0.7119550383990906,0.25865132110665445,0.5202516619183286,0.5106382978723404,0.0007120195229356274,0.10502380908092707,144,True,True,False,True,False
A1,0,2026072601,session × checkpoint_group,0.7297875745755626,0.2667296493774779,0.49026590693257355,0.44660194174757284,0.0007308749435458045,0.13028021974053733,103,True,True,True,True,True
A1,1,2026072602,session × checkpoint_group,0.7111460810005262,0.2570686370762673,0.5280864197530865,0.5327102803738317,0.0007460082781921111,0.1183951615352764,107,False,False,False,False,True
A1,2,2026072603,session × checkpoint_group,0.6991822895741714,0.2522690640153134,0.5498338081671414,0.5677966101694916,0.0022084587534124474,0.11001088899566241,120,False,False,False,False,False
A1,3,2026072604,session × checkpoint_group,0.7407686806325303,0.2715909786841721,0.4761870845204179,0.44537815126050423,-0.00010800282504987685,0.12570321263422646,119,True,True,True,True,True
A1,4,2026072605,session × checkpoint_group,0.7190946399175796,0.2618879290334714,0.5057454890788224,0.5,-0.0005524916241682174,0.09195422299741968,183,False,False,False,True,True
A1,5,2026072606,session × checkpoint_group,0.7227854703901189,0.26367986851170655,0.5007122507122507,0.49242424242424243,-7.307187352009608e-05,0.12251895648927402,132,True,True,True,True,True
A1,6,2026072607,session × checkpoint_group,0.7134284913968336,0.2593043523827785,0.5265194681861348,0.5384615384615384,0.0014600888090244846,0.12692637072540286,130,False,False,False,False,True
A1,7,2026072608,session × checkpoint_group,0.720626098089953,0.2628035204802259,0.49534662867996193,0.48360655737704916,0.0006408792148831586,0.11902241862132956,123,True,True,True,True,True
A1,8,2026072609,session × checkpoint_group,0.7230920315517992,0.2635451290698917,0.5102326685660019,0.4857142857142857,0.0005650603757364024,0.12460600919450582,141,True,True,False,True,True
A1,9,2026072610,session × checkpoint_group,0.712395052947612,0.2590345266174124,0.5102801519468185,0.49056603773584906,0.0016984486472877301,0.11338918855870889,108,False,False,False,True,True
R1,0,2026072601,session × checkpoint_group,0.7316487186169846,0.2654625357400792,0.4887939221272554,0.494949494949495,-0.00041029609403293795,0.12750850345381848,99,True,True,True,True,True
R1,1,2026072602,session × checkpoint_group,0.6996684408966579,0.252752931150293,0.543613485280152,0.5576923076923077,0.001724516751853405,0.10824731290396555,104,False,False,False,False,False
R1,2,2026072603,session × checkpoint_group,0.7038687130544495,0.2541339031867229,0.542687559354226,0.5544554455445545,0.0025716133713136738,0.11353882474386917,103,False,False,False,False,False
R1,3,2026072604,session × checkpoint_group,0.7135441349862899,0.25912287102680037,0.49933523266856594,0.46153846153846156,0.00010517047492674168,0.10823059027374538,104,True,True,True,True,False
R1,4,2026072605,session × checkpoint_group,0.7147354159182374,0.2580481568427579,0.5167853751187085,0.5238095238095238,-0.00043642517363326575,0.0896437975148624,129,True,True,False,False,True
R1,5,2026072606,session × checkpoint_group,0.738111433893521,0.26567610043031187,0.4731956315289649,0.4175824175824176,-0.0016169176909056394,0.11937476323095508,93,True,True,True,True,True
R1,6,2026072607,session × checkpoint_group,0.7221834347109645,0.26117476380434096,0.5062440645773979,0.5220588235294118,0.0011013004271085353,0.10148570688091257,138,True,True,True,False,False
R1,7,2026072608,session × checkpoint_group,0.7071426918241194,0.25649293993090305,0.5116571699905034,0.5,0.00040079713791633926,0.10728873216257073,97,False,False,False,True,False
R1,8,2026072609,session × checkpoint_group,0.7034629025642797,0.2544813318189299,0.5265432098765432,0.4883720930232558,-0.0008212885207079791,0.09880208110063193,87,False,False,False,True,True
R1,9,2026072610,session × checkpoint_group,0.7094370688322137,0.2575611218701375,0.511965811965812,0.4666666666666667,0.0003066695955265693,0.09717745043705828,107,True,True,False,True,False
