archetype,stock,eligible_episodes,actions,call_count,put_count,accuracy,mean_aligned_return,median_aligned_return,positive_return_rate,remaining_movement_fraction,contribution_to_positive_aligned_returns,contribution_to_negative_aligned_returns
C1,AAL,33,7,4,3,0.5714285714285714,0.002005001527819949,0.0011060362023005287,0.5714285714285714,0.5517944170096861,0.037999934052774395,0.017626810269513755
C1,AAOI,15,5,5,0,1.0,0.01760108520481196,0.0065465478048809716,1.0,0.5557700843417539,0.143168763976486,-0.0
C1,APLD,14,2,1,1,1.0,0.03726702118843252,0.03726702118843252,1.0,0.6283183724440622,0.12125328179593682,-0.0
C1,ASTS,26,6,5,1,0.3333333333333333,-0.0018463804605672884,-0.005287276747308033,0.3333333333333333,0.6006685571791736,0.05649436036641337,0.08659890570299988
C1,CIFR,24,13,0,13,0.46153846153846156,-0.0016484562664740086,-0.0007664793425836853,0.46153846153846156,0.4349735396255989,0.04646380409009962,0.09451272066163695
C1,HIMS,16,6,2,4,0.5,0.000130099502461012,0.00014733656899350707,0.5,0.5871094460247998,0.036779734611031845,0.041267442187533296
C1,IONQ,39,17,2,15,0.47058823529411764,-0.0029773206415983407,-0.0023234739609190144,0.47058823529411764,0.48835155433964783,0.08327351692556685,0.19246678197150316
C1,IREN,28,5,5,0,0.6,0.0057226075636533915,0.001353961029722991,0.6,0.665627930553129,0.055302158600806124,0.010173344918659259
C1,MARA,35,10,10,0,0.5,0.0017953771758226326,0.0022670938718258077,0.5,0.43055159407085536,0.06310264073669124,0.039390916561117796
C1,MP,18,5,4,1,0.4,-0.004064778684295652,-0.002671246130689552,0.4,0.6642407937850352,0.00910782113851343,0.04900874143523376
C1,MRNA,7,4,0,4,0.5,-0.002302432962164009,-0.004838306391650027,0.5,0.6061900680389294,0.020971625013020783,0.04178381839982478
C1,MSTR,14,3,1,2,0.6666666666666666,0.017608713093025453,0.02483990637966168,0.6666666666666666,0.5343871034013966,0.08802113732682765,0.0024203342548961486
C1,NVTS,15,5,5,0,0.8,0.0033286388805426814,0.007722562889909601,0.8,0.6985351253501408,0.05961267185973958,0.03781284696228263
C1,QBTS,20,7,1,6,0.14285714285714285,-0.010182441269410264,-0.011153415761685936,0.14285714285714285,0.7594050447842682,0.011525274520654648,0.14814981673461097
C1,RGTI,18,4,3,1,0.75,0.0018022203497911299,0.0011053808520129502,0.75,0.5167947571132263,0.035333424538174424,0.02743336942007115
C1,RIOT,26,5,5,0,1.0,0.009825514148306807,0.009584126234275172,1.0,0.6248351105140519,0.0799215900427538,-0.0
C1,RIVN,9,7,0,7,0.2857142857142857,-0.0048277342694855434,-0.005960090758350604,0.2857142857142857,0.3783430196149923,0.008821898313995593,0.07414318589747199
C1,SMCI,14,2,1,1,0.0,-0.017494142068176968,-0.017494142068176968,0.0,0.6557515460670043,0.0,0.06614853592756109
C1,SOFI,21,7,0,7,0.42857142857142855,0.001096686005176255,-0.0014344004932137619,0.42857142857142855,0.4561516407014451,0.042846362090513845,0.035279814466855935
C1,WULF,25,1,0,1,0.0,-0.018926681538799197,-0.018926681538799197,0.0,0.7321012137506907,0.0,0.03578261422822753
A1,AAL,33,7,3,4,0.8571428571428571,0.004198253504235419,0.0031018015905655578,0.8571428571428571,0.492450172231644,0.037203581385419154,0.003207069214437719
A1,AAOI,15,5,3,2,0.8,0.006641468846737826,0.0027008796095011884,0.8,0.4508627176939931,0.04211115130804652,0.0037259777633999232
A1,APLD,14,3,0,3,0.6666666666666666,0.0019315211472419604,0.006026064637479243,0.6666666666666666,0.6096228772308153,0.015817763327664408,0.012630101249647143
A1,ASTS,26,7,5,2,0.14285714285714285,-0.005131977636123829,-0.0035962021803525087,0.14285714285714285,0.37202201029489645,0.005697674578737334,0.0684663566601899
A1,CIFR,24,11,1,10,0.36363636363636365,0.0007302386843420685,-0.004872900737776174,0.36363636363636365,0.47614537657578987,0.06966053248060054,0.08502604670219154
A1,HIMS,16,5,2,3,0.2,-0.005839002867983395,-0.00842621112390983,0.2,0.5377584653697369,0.020105682179655127,0.07753139321746186
A1,IONQ,39,11,1,10,0.45454545454545453,-0.007397351026715292,-0.006914740825504302,0.45454545454545453,0.5732217493386426,0.03186267920482396,0.18189679931876251
