period,dimension,value,acted_rows,acted_share,sessions,stocks,mean_aligned_return,down_rate,up_rate
assessment,stock,AAL,5,0.0847457627118644,5,1,0.0024201427216016336,0.4,0.0
assessment,stock,AAOI,3,0.05084745762711865,3,1,0.016877059454882774,0.0,0.6666666666666666
assessment,stock,APLD,5,0.0847457627118644,4,1,0.0006383149755233222,0.0,0.0
assessment,stock,ASTS,6,0.1016949152542373,4,1,0.0004613936898684081,0.3333333333333333,0.16666666666666666
assessment,stock,CIFR,3,0.05084745762711865,3,1,-0.011537720722838788,0.3333333333333333,0.3333333333333333
assessment,stock,HIMS,1,0.01694915254237288,1,1,-0.004022264456767167,0.0,0.0
assessment,stock,IONQ,3,0.05084745762711865,3,1,-0.023875289612341827,0.0,0.6666666666666666
assessment,stock,IREN,3,0.05084745762711865,3,1,-0.010764581162228434,0.0,0.3333333333333333
assessment,stock,MARA,5,0.0847457627118644,5,1,0.0012283824550285323,0.4,0.6
assessment,stock,MP,3,0.05084745762711865,3,1,-0.0058842716317286416,0.3333333333333333,0.0
assessment,stock,MRNA,1,0.01694915254237288,1,1,-0.000578115086614564,0.0,0.0
assessment,stock,MSTR,3,0.05084745762711865,3,1,0.00252368604666795,0.3333333333333333,0.3333333333333333
assessment,stock,QBTS,2,0.03389830508474576,2,1,-0.02083786458349944,0.0,1.0
assessment,stock,RGTI,2,0.03389830508474576,2,1,-0.005206361052638516,0.5,0.0
assessment,stock,RIOT,3,0.05084745762711865,3,1,-0.013910476068196042,0.3333333333333333,0.6666666666666666
assessment,stock,RIVN,2,0.03389830508474576,2,1,0.006809626562404365,0.0,0.5
assessment,stock,SOFI,7,0.11864406779661017,6,1,0.00708892123054952,0.2857142857142857,0.42857142857142855
assessment,stock,WULF,2,0.03389830508474576,2,1,-0.02145953743300967,0.0,0.5
assessment,month,2025-01,10,0.1694915254237288,4,7,0.0017643644796694227,0.2,0.4
assessment,month,2025-02,9,0.15254237288135594,4,6,-0.007714876858373545,0.2222222222222222,0.3333333333333333
assessment,month,2025-03,4,0.06779661016949153,4,4,0.010377459263853849,0.5,0.25
assessment,month,2025-04,4,0.06779661016949153,1,3,0.017369100533676924,0.75,0.0
assessment,month,2025-05,7,0.11864406779661017,6,6,-0.012052254589113994,0.5714285714285714,0.14285714285714285
assessment,month,2025-06,4,0.06779661016949153,4,3,0.0014278930255140748,0.0,0.0
assessment,month,2025-07,11,0.1864406779661017,8,8,-0.008978096846367484,0.0,0.45454545454545453
assessment,month,2025-08,10,0.1694915254237288,8,7,-0.0033661139060064188,0.0,0.6
assessment,session,2025-01-02,4,0.06779661016949153,1,4,-0.003867072660217955,0.5,0.25
assessment,session,2025-01-03,3,0.05084745762711865,1,3,0.007121518473035382,0.0,0.6666666666666666
assessment,session,2025-01-06,1,0.01694915254237288,1,1,-0.002430106228703802,0.0,0.0
assessment,session,2025-01-31,2,0.03389830508474576,1,1,0.007088743123581853,0.0,0.5
assessment,session,2025-02-03,4,0.06779661016949153,1,3,-0.007038929398227285,0.5,0.0
assessment,session,2025-02-06,3,0.05084745762711865,1,3,-0.009752116776608845,0.0,0.6666666666666666
assessment,session,2025-02-20,1,0.01694915254237288,1,1,-0.011443708716011669,0.0,1.0
assessment,session,2025-02-25,1,0.01694915254237288,1,1,-0.000578115086614564,0.0,0.0
assessment,session,2025-03-04,1,0.01694915254237288,1,1,0.02185670244597976,1.0,0.0
assessment,session,2025-03-07,1,0.01694915254237288,1,1,0.018123473400092818,0.0,1.0
assessment,session,2025-03-18,1,0.01694915254237288,1,1,-0.004022264456767167,0.0,0.0
assessment,session,2025-03-25,1,0.01694915254237288,1,1,0.005551925666109987,1.0,0.0
assessment,session,2025-04-04,4,0.06779661016949153,1,3,0.017369100533676924,0.75,0.0
assessment,session,2025-05-08,1,0.01694915254237288,1,1,-0.0031619603482455094,0.0,0.0
assessment,session,2025-05-12,1,0.01694915254237288,1,1,-0.00925963549036415,0.0,0.0
assessment,session,2025-05-14,2,0.03389830508474576,1,2,-0.00010565898865592602,1.0,0.0
assessment,session,2025-05-16,1,0.01694915254237288,1,1,-0.011145180675987116,1.0,0.0
assessment,session,2025-05-22,1,0.01694915254237288,1,1,-0.04636943862961019,0.0,1.0
assessment,session,2025-05-30,1,0.01694915254237288,1,1,-0.014218249002279137,1.0,0.0
assessment,session,2025-06-03,1,0.01694915254237288,1,1,-0.0006540089725776973,0.0,0.0
assessment,session,2025-06-20,1,0.01694915254237288,1,1,-0.0028902719007715258,0.0,0.0
assessment,session,2025-06-23,1,0.01694915254237288,1,1,0.007014291748033118,0.0,0.0
assessment,session,2025-06-25,1,0.01694915254237288,1,1,0.0022415612273724043,0.0,0.0
assessment,session,2025-07-02,1,0.01694915254237288,1,1,-0.0282443222866887,0.0,1.0
assessment,session,2025-07-11,1,0.01694915254237288,1,1,-0.002174989228548262,0.0,0.0
assessment,session,2025-07-14,1,0.01694915254237288,1,1,-0.011226087301426454,0.0,1.0
assessment,session,2025-07-16,1,0.01694915254237288,1,1,-0.013431406880310182,0.0,1.0
