period,statistic,observed,null_mean,null_lower_95,null_upper_95,one_sided_p_value,draws_requested,draws_valid,seed,structure
assessment,roc_auc,0.5044948211842877,0.4778923197185851,0.4010137776040649,0.55125073285128,0.23976023976023977,1000,1000,2026072802,outcomes permuted within stock and checkpoint
assessment,log_loss_improvement_vs_constant,-0.013792639338868873,-0.01816782733805424,-0.03403039346610106,-0.0028846178261546763,0.2907092907092907,1000,1000,2026072802,outcomes permuted within stock and checkpoint
assessment,brier_improvement_vs_constant,-0.006466771216253331,-0.00871092859995732,-0.01643769175091972,-0.0012770193656452382,0.2827172827172827,1000,1000,2026072802,outcomes permuted within stock and checkpoint
assessment,down_rate_spread,0.041379310344827586,-0.003950574712643675,-0.16436781609195403,0.17701149425287357,0.2937062937062937,1000,1000,2026072802,outcomes permuted within stock and checkpoint
assessment,up_rate_spread,-0.2149425287356322,-0.10500114942528736,-0.3137931034482758,0.09310344827586206,0.8851148851148851,1000,1000,2026072802,outcomes permuted within stock and checkpoint
stress,roc_auc,0.49768628381585195,0.4892712980541054,0.4280360109159943,0.5529203251067869,0.4005994005994006,1000,1000,2026072802,outcomes permuted within stock and checkpoint
stress,log_loss_improvement_vs_constant,-0.007211846766910557,-0.011630871445995236,-0.023893766613057504,0.0015844714185419585,0.26073926073926074,1000,1000,2026072802,outcomes permuted within stock and checkpoint
stress,brier_improvement_vs_constant,-0.0037830041405135795,-0.005835872918528859,-0.011845672458254724,0.0005567000617712769,0.2707292707292707,1000,1000,2026072802,outcomes permuted within stock and checkpoint
stress,down_rate_spread,-0.004901960784313764,-0.02803267973856209,-0.23202614379084968,0.1633986928104575,0.3946053946053946,1000,1000,2026072802,outcomes permuted within stock and checkpoint
stress,up_rate_spread,0.04738562091503268,0.047493464052287576,-0.09640522875816993,0.19281045751633985,0.5464535464535465,1000,1000,2026072802,outcomes permuted within stock and checkpoint
