period,dimension,omitted,remaining_rows,remaining_sessions,down_rate_spread,up_rate_spread,mean_aligned_return,omitted_acted_share
assessment,stock,AAL,384,125,-0.021978021978021955,-0.25,-0.00303665066182224,0.0847457627118644
assessment,stock,AAOI,402,124,0.035714285714285726,-0.2857142857142857,-0.0036162428659828774,0.05084745762711865
assessment,stock,APLD,403,125,0.037037037037037035,-0.2222222222222222,-0.002871666611259433,0.0847457627118644
assessment,stock,ASTS,391,124,0.014285714285714263,-0.2242857142857143,-0.0029178638541434566,0.1016949152542373
assessment,stock,CIFR,393,125,0.07142857142857142,-0.17857142857142855,-0.002094022499319222,0.05084745762711865
assessment,stock,HIMS,401,124,0.04999999999999999,-0.23095238095238096,-0.002549244097821131,0.01694915254237288
assessment,stock,IONQ,378,124,0.05236270753512132,-0.1660280970625798,-0.00143308130881013,0.05084745762711865
assessment,stock,IREN,389,125,0.05236270753512132,-0.20306513409961682,-0.0021354406900662044,0.05084745762711865
assessment,stock,MARA,382,125,0.037037037037037035,-0.25925925925925924,-0.0029263024889913973,0.0847457627118644
assessment,stock,MP,399,122,0.07142857142857142,-0.2142857142857143,-0.002396885843485837,0.05084745762711865
assessment,stock,MRNA,410,122,0.03448275862068967,-0.20689655172413793,-0.0026086259835134172,0.01694915254237288
assessment,stock,MSTR,403,126,0.015325670498084282,-0.20306513409961682,-0.002847312147685654,0.05084745762711865
assessment,stock,NVTS,402,126,0.041379310344827586,-0.2149425287356322,-0.002574210544582928,0.0
assessment,stock,QBTS,397,126,0.059259259259259234,-0.17407407407407405,-0.0019333805783051559,0.03389830508474576
assessment,stock,RGTI,399,124,0.07758620689655171,-0.2229064039408867,-0.0024818543864055394,0.03389830508474576
assessment,stock,RIOT,391,124,0.08684546615581096,-0.1660280970625798,-0.00196691060581794,0.05084745762711865
assessment,stock,RIVN,408,125,0.027093596059113323,-0.23399014778325125,-0.0029034679869333595,0.03389830508474576
assessment,stock,SMCI,403,125,0.041379310344827586,-0.2149425287356322,-0.002574210544582928,0.0
assessment,stock,SOFI,396,125,-0.005952380952380931,-0.24404761904761904,-0.0038750167450815266,0.11864406779661017
assessment,stock,WULF,392,124,0.04310344827586207,-0.18719211822660095,-0.0019115674958662004,0.03389830508474576
assessment,month,2025-01,366,109,0.059523809523809534,-0.32142857142857145,-0.003459634018920143,0.1694915254237288
assessment,month,2025-02,380,113,0.03999999999999998,-0.12,-0.0016488906081006168,0.15254237288135594
assessment,month,2025-03,372,111,-0.01458885941644561,-0.2931034482758621,-0.003516150167014694,0.06779661016949153
assessment,month,2025-04,360,111,-0.04000000000000001,-0.2866666666666667,-0.004024633168456372,0.06779661016949153
assessment,month,2025-05,361,110,0.10222222222222221,-0.1644444444444444,-0.0012983200001268234,0.11864406779661017
assessment,month,2025-06,367,110,0.04497354497354497,-0.23148148148148145,-0.0028652726224081652,0.06779661016949153
assessment,month,2025-07,348,107,0.0874125874125874,-0.09440559440559443,-0.0011066532670906337,0.1864406779661017
assessment,month,2025-08,365,111,0.07357859531772576,-0.19899665551839466,-0.002412597613680175,0.1694915254237288
