period,score_bin,rows,sessions,mean_q_down,observed_down_rate
assessment,"(-0.001, 0.2]",0,0,,
assessment,"(0.2, 0.4]",4,4,0.3688599694608916,0.5
assessment,"(0.4, 0.6]",160,91,0.5310945681171821,0.44375
assessment,"(0.6, 0.8]",41,24,0.630120785320101,0.3170731707317073
assessment,"(0.8, 1.0]",0,0,,
stress,"(-0.001, 0.2]",0,0,,
stress,"(0.2, 0.4]",6,5,0.36934048524817875,0.3333333333333333
stress,"(0.4, 0.6]",225,63,0.5224821284621792,0.6355555555555555
stress,"(0.6, 0.8]",39,25,0.6331437604348353,0.6923076923076923
stress,"(0.8, 1.0]",0,0,,
