period,statistic,observed,lower_95,upper_95,draws_requested,draws_valid,cluster,seed
assessment,roc_auc,0.5044948211842877,0.40384186672926814,0.6085806740065564,1000,1000,session,2026072801
assessment,log_loss_improvement_vs_constant,-0.013792639338868873,-0.03834004697345501,0.010163139573665474,1000,1000,session,2026072801
assessment,brier_improvement_vs_constant,-0.006466771216253331,-0.018277056215421188,0.00499898111897015,1000,1000,session,2026072801
assessment,down_rate_spread,0.041379310344827586,-0.1753789962711657,0.26490740740740737,1000,1000,session,2026072801
assessment,up_rate_spread,-0.2149425287356322,-0.4785837438423646,0.06082865181667764,1000,1000,session,2026072801
assessment,mean_aligned_return,-0.002574210544582928,-0.007173314132682112,0.00215100292139294,1000,1000,session,2026072801
stress,roc_auc,0.49768628381585195,0.4064977057318379,0.5873170201199,1000,1000,session,2026072801
stress,log_loss_improvement_vs_constant,-0.007211846766910557,-0.027375579223050964,0.012657401996131882,1000,1000,session,2026072801
stress,brier_improvement_vs_constant,-0.0037830041405135795,-0.01367570564233254,0.006031935516341884,1000,1000,session,2026072801
stress,down_rate_spread,-0.004901960784313764,-0.2631313666607784,0.29612321651795337,1000,1000,session,2026072801
stress,up_rate_spread,0.04738562091503268,-0.18590116279069768,0.276195652173913,1000,1000,session,2026072801
stress,mean_aligned_return,0.00037745101932043084,-0.004139191752819044,0.0054518096711265295,1000,1000,session,2026072801
