period,phase,diagnostic,support_status,rows,sessions,conditional_mover_rows,conditional_mover_sessions,downside_auc,call_actions,put_actions,abstentions,mean_aligned_return,frozen_A1_mean_aligned_return,frozen_A1_actions,material_up_rate,material_down_rate,no_move_rate,acted_share_within_phase
assessment,FIRST_ENTRY,summary,supported,371,126,191.0,97.0,0.5203435804701627,17.0,25.0,329.0,-0.0025044136487378608,0.001349485482165794,119.0,,,,
assessment,FIRST_ENTRY,action_CALL,blocked_insufficient_support,17,13,,,,,,,0.004450139393353434,,,0.35294117647058826,0.17647058823529413,0.47058823529411764,
assessment,FIRST_ENTRY,action_ABSTAIN,supported,329,125,,,,,,,,,,0.2857142857142857,0.2127659574468085,0.5015197568389058,
assessment,FIRST_ENTRY,action_PUT,blocked_insufficient_support,25,20,,,,,,,-0.0072335097173599405,,,0.48,0.24,0.28,
assessment,FIRST_ENTRY,checkpoint_6,supported,40,30,,,,,,,,,,,,,0.9523809523809523
assessment,FIRST_ENTRY,checkpoint_8,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.023809523809523808
assessment,FIRST_ENTRY,checkpoint_18,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.023809523809523808
assessment,FIRST_ENTRY,time_of_day_14:00:00+0000,blocked_insufficient_support,25,21,,,,,,,,,,,,,0.5952380952380952
assessment,FIRST_ENTRY,time_of_day_14:10:00+0000,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.023809523809523808
assessment,FIRST_ENTRY,time_of_day_15:00:00+0000,blocked_insufficient_support,16,10,,,,,,,,,,,,,0.38095238095238093
assessment,PERSISTENT,summary,supported,462,79,260.0,68.0,0.5556740108978915,115.0,70.0,277.0,0.0025018043723037606,-0.0034563444737065567,181.0,,,,
assessment,PERSISTENT,action_CALL,supported,115,28,,,,,,,0.005075178964670251,,,0.41739130434782606,0.25217391304347825,0.33043478260869563,
assessment,PERSISTENT,action_ABSTAIN,supported,277,77,,,,,,,,,,0.23104693140794225,0.26353790613718414,0.5054151624548736,
assessment,PERSISTENT,action_PUT,supported,70,25,,,,,,,-0.0017258824580126154,,,0.3142857142857143,0.34285714285714286,0.34285714285714286,
assessment,PERSISTENT,checkpoint_8,supported,32,25,,,,,,,,,,,,,0.17297297297297298
assessment,PERSISTENT,checkpoint_10,supported,37,28,,,,,,,,,,,,,0.2
assessment,PERSISTENT,checkpoint_12,blocked_insufficient_support,18,13,,,,,,,,,,,,,0.0972972972972973
assessment,PERSISTENT,checkpoint_14,blocked_insufficient_support,19,14,,,,,,,,,,,,,0.10270270270270271
assessment,PERSISTENT,checkpoint_16,blocked_insufficient_support,17,14,,,,,,,,,,,,,0.0918918918918919
assessment,PERSISTENT,checkpoint_18,blocked_insufficient_support,11,10,,,,,,,,,,,,,0.05945945945945946
assessment,PERSISTENT,checkpoint_20,blocked_insufficient_support,10,9,,,,,,,,,,,,,0.05405405405405406
assessment,PERSISTENT,checkpoint_22,blocked_insufficient_support,12,10,,,,,,,,,,,,,0.06486486486486487
assessment,PERSISTENT,checkpoint_24,blocked_insufficient_support,8,7,,,,,,,,,,,,,0.043243243243243246
assessment,PERSISTENT,checkpoint_26,blocked_insufficient_support,4,4,,,,,,,,,,,,,0.021621621621621623
assessment,PERSISTENT,checkpoint_28,blocked_insufficient_support,4,4,,,,,,,,,,,,,0.021621621621621623
assessment,PERSISTENT,checkpoint_30,blocked_insufficient_support,5,5,,,,,,,,,,,,,0.02702702702702703
assessment,PERSISTENT,checkpoint_32,blocked_insufficient_support,4,4,,,,,,,,,,,,,0.021621621621621623
assessment,PERSISTENT,checkpoint_34,blocked_insufficient_support,4,4,,,,,,,,,,,,,0.021621621621621623
assessment,PERSISTENT,time_of_day_14:10:00+0000,blocked_insufficient_support,20,17,,,,,,,,,,,,,0.10810810810810811
assessment,PERSISTENT,time_of_day_14:20:00+0000,blocked_insufficient_support,21,16,,,,,,,,,,,,,0.11351351351351352
assessment,PERSISTENT,time_of_day_14:30:00+0000,blocked_insufficient_support,11,8,,,,,,,,,,,,,0.05945945945945946
assessment,PERSISTENT,time_of_day_14:40:00+0000,blocked_insufficient_support,13,10,,,,,,,,,,,,,0.07027027027027027
assessment,PERSISTENT,time_of_day_14:50:00+0000,blocked_insufficient_support,12,11,,,,,,,,,,,,,0.06486486486486487
assessment,PERSISTENT,time_of_day_15:00:00+0000,blocked_insufficient_support,9,8,,,,,,,,,,,,,0.04864864864864865
assessment,PERSISTENT,time_of_day_15:10:00+0000,blocked_insufficient_support,19,14,,,,,,,,,,,,,0.10270270270270271
assessment,PERSISTENT,time_of_day_15:20:00+0000,blocked_insufficient_support,24,19,,,,,,,,,,,,,0.12972972972972974
assessment,PERSISTENT,time_of_day_15:30:00+0000,blocked_insufficient_support,15,12,,,,,,,,,,,,,0.08108108108108109
assessment,PERSISTENT,time_of_day_15:40:00+0000,blocked_insufficient_support,10,8,,,,,,,,,,,,,0.05405405405405406
assessment,PERSISTENT,time_of_day_15:50:00+0000,blocked_insufficient_support,9,7,,,,,,,,,,,,,0.04864864864864865
assessment,PERSISTENT,time_of_day_16:00:00+0000,blocked_insufficient_support,7,7,,,,,,,,,,,,,0.03783783783783784
assessment,PERSISTENT,time_of_day_16:10:00+0000,blocked_insufficient_support,7,7,,,,,,,,,,,,,0.03783783783783784
assessment,PERSISTENT,time_of_day_16:20:00+0000,blocked_insufficient_support,8,7,,,,,,,,,,,,,0.043243243243243246
assessment,RE_ENTRY,summary,blocked_insufficient_support,65,43,22.0,17.0,,15.0,5.0,45.0,-0.004435706085315549,4.235430985615704e-06,27.0,,,,
assessment,RE_ENTRY,action_CALL,blocked_insufficient_support,15,13,,,,,,,-0.004728901764951043,,,0.06666666666666667,0.26666666666666666,0.6666666666666666,
assessment,RE_ENTRY,action_ABSTAIN,supported,45,33,,,,,,,,,,0.17777777777777778,0.13333333333333333,0.6888888888888889,
assessment,RE_ENTRY,action_PUT,blocked_insufficient_support,5,4,,,,,,,-0.0035561190464090684,,,0.4,0.2,0.4,
assessment,RE_ENTRY,checkpoint_10,blocked_insufficient_support,3,3,,,,,,,,,,,,,0.15
assessment,RE_ENTRY,checkpoint_14,blocked_insufficient_support,10,9,,,,,,,,,,,,,0.5
assessment,RE_ENTRY,checkpoint_16,blocked_insufficient_support,1,1,,,,,,,,,,,,,0.05
assessment,RE_ENTRY,checkpoint_20,blocked_insufficient_support,4,4,,,,,,,,,,,,,0.2
