period,stage,row_count
development,all_checkpoint_6_rows,1250
development,valid_checkpoint_6_m1c_probability,1250
development,high_m1c_checkpoint_6_rows,413
development,canonical_fresh_first_entry_rows,413
development,complete_market_transition_state,407
development,complete_stock_opening_response,407
development,complete_15m_outcome,413
development,final_eligible_rows,407
assessment,all_checkpoint_6_rows,929
assessment,valid_checkpoint_6_m1c_probability,929
assessment,high_m1c_checkpoint_6_rows,360
assessment,canonical_fresh_first_entry_rows,360
assessment,complete_market_transition_state,356
assessment,complete_stock_opening_response,356
assessment,complete_15m_outcome,360
assessment,final_eligible_rows,356
stress,all_checkpoint_6_rows,1214
stress,valid_checkpoint_6_m1c_probability,1214
stress,high_m1c_checkpoint_6_rows,442
stress,canonical_fresh_first_entry_rows,442
stress,complete_market_transition_state,437
stress,complete_stock_opening_response,437
stress,complete_15m_outcome,442
stress,final_eligible_rows,437
