period,cluster_type,statistic,valid_draw_count,mean,lower_95,upper_95
assessment,session,amplification_accuracy_including_no_move,5000,0.2291638281671937,0.10605614973262033,0.36
assessment,session,amplification_material_direction_accuracy,5000,0.4047758376347538,0.2,0.6122448979591837
assessment,session,amplification_mean_aligned_return,5000,-0.0015111317967165662,-0.00658116672889963,0.0031613138097319913
assessment,session,amplifying_minus_resisting_follow_rate,5000,-0.07270065304653806,-0.3963192294461644,0.23781720290607142
assessment,session,continuous_ranking_auc,5000,0.3630814138921115,0.2034579241896315,0.5384615384615384
assessment,session,market_follow_accuracy_including_no_move,5000,0.216235899441016,0.1328125,0.3083352803738318
assessment,session,market_follow_material_direction_accuracy,5000,0.42584252500529074,0.2631578947368421,0.59375
assessment,session,market_follow_mean_aligned_return,5000,-0.0013417187439181575,-0.004999874677576403,0.0022240536080347082
assessment,session,resistance_accuracy_including_no_move,5000,0.2138519387913157,0.09302325581395349,0.34615384615384615
assessment,session,resistance_material_direction_accuracy,5000,0.5225235093187082,0.2727272727272727,0.75
assessment,session,resistance_mean_aligned_return,5000,0.0010420895663667885,-0.003054154376023036,0.005546342707087547
assessment,session,severe_minus_normal_accuracy_including_no_move,5000,-0.009301813763272014,-0.13427146510778226,0.11254532472344152
assessment,session,severe_minus_normal_mean_market_aligned_return,5000,-0.001462705544978074,-0.006388271354147666,0.003369739977040592
stress,session,amplification_accuracy_including_no_move,5000,0.10281546486128436,0.0,0.25
stress,session,amplification_material_direction_accuracy,5000,0.18808844065429722,0.0,0.4782608695652174
stress,session,amplification_mean_aligned_return,5000,-0.010965893828902083,-0.02316619959651825,6.849965170877368e-05
stress,session,amplifying_minus_resisting_follow_rate,5000,0.01852251015821762,-0.19047619047619047,0.2500469924812023
stress,session,continuous_ranking_auc,4972,0.35593888352687764,0.13991452991452996,0.5728749451032055
stress,session,market_follow_accuracy_including_no_move,5000,0.09869738831533739,0.017387556221889058,0.21488874761602017
stress,session,market_follow_material_direction_accuracy,5000,0.17972570965493492,0.029411764705882353,0.40816326530612246
stress,session,market_follow_mean_aligned_return,5000,-0.010263047309665882,-0.019420366412284926,-0.0021171499174120804
