period,mechanism,dependency,omitted_value,remaining_episode_count,remaining_session_count,remaining_transition_event_count,mean_aligned_return,material_direction_accuracy,accuracy_counting_no_move_as_failure
assessment,market_following,month,2025-01,106,34,34,-0.0016144189668912902,0.44642857142857145,0.2358490566037736
assessment,market_following,month,2025-02,125,39,39,-0.0009715827698414121,0.4444444444444444,0.224
assessment,market_following,month,2025-03,110,36,36,-0.003111143251553578,0.32727272727272727,0.16363636363636364
assessment,market_following,month,2025-04,100,34,34,-0.0016827143334282634,0.39215686274509803,0.2
assessment,market_following,month,2025-05,111,38,38,-0.0017105696509770233,0.41379310344827586,0.21621621621621623
assessment,market_following,month,2025-06,123,40,40,-0.0009954504444251995,0.43548387096774194,0.21951219512195122
assessment,market_following,month,2025-07,120,41,41,-0.0004530556576837515,0.4576271186440678,0.225
assessment,market_following,month,2025-08,115,39,39,-0.0006269683463160279,0.46551724137931033,0.23478260869565218
assessment,amplification_continuation,month,2025-01,71,29,29,-0.0009103107313002774,0.4523809523809524,0.2676056338028169
assessment,amplification_continuation,month,2025-02,79,32,32,-0.0009034591202935887,0.4318181818181818,0.24050632911392406
assessment,amplification_continuation,month,2025-03,66,28,28,-0.004406252085557007,0.25,0.13636363636363635
assessment,amplification_continuation,month,2025-04,64,28,28,-0.0028152752078800694,0.34210526315789475,0.203125
assessment,amplification_continuation,month,2025-05,76,31,31,-0.0019775333140430004,0.3953488372093023,0.2236842105263158
assessment,amplification_continuation,month,2025-06,80,33,33,-0.0013521528195162807,0.4222222222222222,0.2375
assessment,amplification_continuation,month,2025-07,74,33,33,-3.401127238053141e-05,0.45,0.24324324324324326
assessment,amplification_continuation,month,2025-08,71,31,31,-0.0003859538445296751,0.4634146341463415,0.2676056338028169
assessment,resistance_reversal,month,2025-01,35,22,22,0.003042752816233059,0.5714285714285714,0.22857142857142856
assessment,resistance_reversal,month,2025-02,46,27,27,0.0010885777331952828,0.5263157894736842,0.21739130434782608
assessment,resistance_reversal,month,2025-03,44,25,25,0.001168480000548436,0.5263157894736842,0.22727272727272727
assessment,resistance_reversal,month,2025-04,36,21,21,-0.00033072722115272293,0.46153846153846156,0.16666666666666666
assessment,resistance_reversal,month,2025-05,35,23,23,0.0011308771254623297,0.5333333333333333,0.22857142857142856
assessment,resistance_reversal,month,2025-06,43,26,26,0.0003318181186743518,0.5294117647058824,0.20930232558139536
assessment,resistance_reversal,month,2025-07,46,27,27,0.0011271705383889324,0.5263157894736842,0.21739130434782608
assessment,resistance_reversal,month,2025-08,44,25,25,0.0010158781105621888,0.5294117647058824,0.20454545454545456
stress,market_following,month,2025-09,86,11,11,-0.011352555766008583,0.18,0.10465116279069768
stress,market_following,month,2025-10,94,12,12,-0.01024989595177441,0.17307692307692307,0.09574468085106383
stress,market_following,month,2025-11,43,7,7,-0.01022640102636829,0.08333333333333333,0.046511627906976744
stress,market_following,month,2025-12,80,9,9,-0.009296233775135785,0.2222222222222222,0.125
stress,amplification_continuation,month,2025-09,62,11,11,-0.012940189936481208,0.16216216216216217,0.0967741935483871
stress,amplification_continuation,month,2025-10,67,12,12,-0.010869966878689146,0.1891891891891892,0.1044776119402985
stress,amplification_continuation,month,2025-11,26,7,7,-0.009100585290596014,0.07692307692307693,0.038461538461538464
stress,amplification_continuation,month,2025-12,52,9,9,-0.01075459077772954,0.23333333333333334,0.1346153846153846
stress,resistance_reversal,month,2025-09,24,9,9,0.007251167492287633,0.7692307692307693,0.4166666666666667
stress,resistance_reversal,month,2025-10,27,10,10,0.008711201429430434,0.8666666666666667,0.48148148148148145
stress,resistance_reversal,month,2025-11,17,5,5,0.011948236857549421,0.9090909090909091,0.5882352941176471
stress,resistance_reversal,month,2025-12,28,9,9,0.006587856484604525,0.8,0.42857142857142855
