period,mechanism,dependency,omitted_value,remaining_episode_count,remaining_session_count,remaining_transition_event_count,mean_aligned_return,material_direction_accuracy,accuracy_counting_no_move_as_failure
assessment,market_following,transition_event,opening-transition-v1-04cedf0e092415f55f8fa212,129,42,42,-0.0013584696937375415,0.42424242424242425,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-1aa4e314f6ae9e29713d74bc,129,42,42,-0.001540940658052311,0.4153846153846154,0.20930232558139536
assessment,market_following,transition_event,opening-transition-v1-1c71e769da242b258b7156c8,128,42,42,-0.0016345093344966527,0.40625,0.203125
assessment,market_following,transition_event,opening-transition-v1-1dee32c928ea99ea2ec8b606,122,42,42,-0.0013915381182970702,0.42857142857142855,0.22131147540983606
assessment,market_following,transition_event,opening-transition-v1-226f84f7371b68663031bfbc,127,42,42,-0.0019366733775680784,0.40625,0.2047244094488189
assessment,market_following,transition_event,opening-transition-v1-283de66b8122f5b35538079c,128,42,42,-0.0015889311149616108,0.4153846153846154,0.2109375
assessment,market_following,transition_event,opening-transition-v1-287fb6c9a7251b548077c0ad,128,42,42,-0.0014810243680750028,0.4153846153846154,0.2109375
assessment,market_following,transition_event,opening-transition-v1-303d5afe8d29332d29f027e3,129,42,42,-0.0012763503540829087,0.4307692307692308,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-357caad24b2cb35ffbf8ba63,127,42,42,-0.0013023240573717375,0.42424242424242425,0.2204724409448819
assessment,market_following,transition_event,opening-transition-v1-3aaf98f8e151222c23fe2c4e,126,42,42,-0.0013799109780925122,0.4307692307692308,0.2222222222222222
assessment,market_following,transition_event,opening-transition-v1-3aeb06bdbeb416153e8ecf20,125,42,42,-0.001313200409648611,0.42857142857142855,0.216
assessment,market_following,transition_event,opening-transition-v1-3c7e554b0525876e422f3ec9,127,42,42,-0.00124108729806516,0.42424242424242425,0.2204724409448819
assessment,market_following,transition_event,opening-transition-v1-3ecbeb0586b74f036361230d,129,42,42,-0.001252029306945894,0.4307692307692308,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-40642ed31f06466c77401887,129,42,42,-0.0013948548099043895,0.42424242424242425,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-41606cab932b90aae12dfe91,123,42,42,-0.0010431361858131087,0.4375,0.22764227642276422
assessment,market_following,transition_event,opening-transition-v1-44486132973100cda7a44063,127,42,42,-0.0011208004842356083,0.4375,0.2204724409448819
assessment,market_following,transition_event,opening-transition-v1-4503d72569fdd39f7054de90,129,42,42,-0.0012666810805862605,0.4307692307692308,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-45ca1bd160f2afc1d7f6cee1,125,42,42,-0.0012627490530403788,0.42857142857142855,0.216
assessment,market_following,transition_event,opening-transition-v1-53e9ee41e0495ab4c7edd4a1,124,42,42,-0.0019079859283674563,0.3968253968253968,0.20161290322580644
assessment,market_following,transition_event,opening-transition-v1-568c4f0994370a24f4c2e708,128,42,42,-0.0015728621072517472,0.40625,0.203125
assessment,market_following,transition_event,opening-transition-v1-5ec585e4cb02ea08fdf7c085,128,42,42,-0.0015787221130856702,0.4153846153846154,0.2109375
assessment,market_following,transition_event,opening-transition-v1-63fc8f4f9ddeacfa913bc828,125,42,42,-0.0019212892350832832,0.3870967741935484,0.192
assessment,market_following,transition_event,opening-transition-v1-680b3a00b39a1dba52c2fd51,129,42,42,-0.0012876605515528049,0.4307692307692308,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-7b83466700634c8ba5fca992,128,42,42,-0.0011626957378440194,0.4375,0.21875
assessment,market_following,transition_event,opening-transition-v1-95d3cc1350219a3e0f273b78,125,42,42,-0.0010060535172297298,0.4375,0.224
assessment,market_following,transition_event,opening-transition-v1-972f5ca66576082b210ca123,124,42,42,-0.0011823845706653215,0.42857142857142855,0.21774193548387097
assessment,market_following,transition_event,opening-transition-v1-a41f0f4771e5664df1ce183d,129,42,42,-0.001379736354387395,0.42424242424242425,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-abb585cc4f1fe941c25a7435,126,42,42,-0.0009137173945035578,0.45161290322580644,0.2222222222222222
assessment,market_following,transition_event,opening-transition-v1-ac2a21d993b5e017ebad89e5,129,42,42,-0.0012006041481413582,0.4307692307692308,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-ac2e8e12502fc4cdab03ee70,125,42,42,-0.0013760270146168127,0.421875,0.216
assessment,market_following,transition_event,opening-transition-v1-ae46af0363851978997c5e7f,127,42,42,-0.0015488152426916424,0.42424242424242425,0.2204724409448819
assessment,market_following,transition_event,opening-transition-v1-b04edbe0916c06015da2f2b9,126,42,42,-0.0008656469229979423,0.4375,0.2222222222222222
assessment,market_following,transition_event,opening-transition-v1-b303b6fee2556361c62dd340,128,42,42,-0.001244498161687697,0.4307692307692308,0.21875
assessment,market_following,transition_event,opening-transition-v1-c0920ecb2ab4bcf800e99c05,124,42,42,-0.0003141191247698124,0.4666666666666667,0.22580645161290322
assessment,market_following,transition_event,opening-transition-v1-c6fb9de09de7ecbd29d2feb2,127,42,42,-0.0016905097206742015,0.40625,0.2047244094488189
assessment,market_following,transition_event,opening-transition-v1-d1c0e549ef42c1a5d8642e18,129,42,42,-0.001389201803816157,0.42424242424242425,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-d2eb49d3a18a3a7db9caf1b6,129,42,42,-0.001287048016044695,0.4307692307692308,0.21705426356589147
assessment,market_following,transition_event,opening-transition-v1-d336104487d03f6ac2d459bd,129,42,42,-0.0014636329424862966,0.4153846153846154,0.20930232558139536
assessment,market_following,transition_event,opening-transition-v1-dd84a2d4e0ab3e98b0042d7c,127,42,42,-0.0014344674385653538,0.42424242424242425,0.2204724409448819
assessment,market_following,transition_event,opening-transition-v1-e022aca4482bf710c059a68f,128,42,42,-0.0013700264273955333,0.42424242424242425,0.21875
assessment,market_following,transition_event,opening-transition-v1-ecc3128a49dccaf05fb89945,127,42,42,-0.0016263828169539784,0.4153846153846154,0.2125984251968504
assessment,market_following,transition_event,opening-transition-v1-f584e64ed71c4e86ffb1ca8d,126,42,42,-0.0016115876098322006,0.421875,0.21428571428571427
assessment,market_following,transition_event,opening-transition-v1-f949128cba6fc1727dc7ec19,126,42,42,-0.0015303474768250227,0.4153846153846154,0.21428571428571427
assessment,amplification_continuation,transition_event,opening-transition-v1-1aa4e314f6ae9e29713d74bc,82,34,34,-0.001820547368882679,0.391304347826087,0.21951219512195122
assessment,amplification_continuation,transition_event,opening-transition-v1-1c71e769da242b258b7156c8,81,34,34,-0.0019718609157432484,0.37777777777777777,0.20987654320987653
assessment,amplification_continuation,transition_event,opening-transition-v1-1dee32c928ea99ea2ec8b606,78,34,34,-0.0014428384097399049,0.41304347826086957,0.24358974358974358
assessment,amplification_continuation,transition_event,opening-transition-v1-226f84f7371b68663031bfbc,82,34,34,-0.002125376251446355,0.391304347826087,0.21951219512195122
assessment,amplification_continuation,transition_event,opening-transition-v1-283de66b8122f5b35538079c,82,34,34,-0.0018521992798055838,0.391304347826087,0.21951219512195122
assessment,amplification_continuation,transition_event,opening-transition-v1-287fb6c9a7251b548077c0ad,82,34,34,-0.0015598952925486703,0.40425531914893614,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-303d5afe8d29332d29f027e3,82,34,34,-0.0014043016467844734,0.41304347826086957,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-357caad24b2cb35ffbf8ba63,80,34,34,-0.0014487336830730278,0.40425531914893614,0.2375
assessment,amplification_continuation,transition_event,opening-transition-v1-3aaf98f8e151222c23fe2c4e,79,34,34,-0.0015743331974593438,0.41304347826086957,0.24050632911392406
assessment,amplification_continuation,transition_event,opening-transition-v1-3aeb06bdbeb416153e8ecf20,80,34,34,-0.00121922121661552,0.4222222222222222,0.2375
assessment,amplification_continuation,transition_event,opening-transition-v1-3c7e554b0525876e422f3ec9,81,34,34,-0.0014587832947603068,0.40425531914893614,0.2345679012345679
assessment,amplification_continuation,transition_event,opening-transition-v1-3ecbeb0586b74f036361230d,82,34,34,-0.001366040487264047,0.41304347826086957,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-40642ed31f06466c77401887,82,34,34,-0.0015907293882597294,0.40425531914893614,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-41606cab932b90aae12dfe91,81,34,34,-0.0014402236909460792,0.40425531914893614,0.2345679012345679
assessment,amplification_continuation,transition_event,opening-transition-v1-44486132973100cda7a44063,81,34,34,-0.0013989856273908684,0.41304347826086957,0.2345679012345679
assessment,amplification_continuation,transition_event,opening-transition-v1-4503d72569fdd39f7054de90,82,34,34,-0.0013890902287226727,0.41304347826086957,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-45ca1bd160f2afc1d7f6cee1,80,34,34,-0.001660324565299634,0.4,0.225
assessment,amplification_continuation,transition_event,opening-transition-v1-53e9ee41e0495ab4c7edd4a1,78,34,34,-0.0024399949195651124,0.36363636363636365,0.20512820512820512
assessment,amplification_continuation,transition_event,opening-transition-v1-568c4f0994370a24f4c2e708,81,34,34,-0.0018744430751587065,0.37777777777777777,0.20987654320987653
assessment,amplification_continuation,transition_event,opening-transition-v1-63fc8f4f9ddeacfa913bc828,78,34,34,-0.0024444191505774613,0.3488372093023256,0.19230769230769232
assessment,amplification_continuation,transition_event,opening-transition-v1-680b3a00b39a1dba52c2fd51,82,34,34,-0.0014220945184139433,0.41304347826086957,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-95d3cc1350219a3e0f273b78,79,34,34,-0.0008919947257294008,0.4222222222222222,0.24050632911392406
assessment,amplification_continuation,transition_event,opening-transition-v1-972f5ca66576082b210ca123,80,34,34,-0.0011400932663118684,0.4222222222222222,0.2375
assessment,amplification_continuation,transition_event,opening-transition-v1-abb585cc4f1fe941c25a7435,80,34,34,-0.0011048205625959757,0.4318181818181818,0.2375
assessment,amplification_continuation,transition_event,opening-transition-v1-ac2a21d993b5e017ebad89e5,82,34,34,-0.0012851399325593507,0.41304347826086957,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-ac2e8e12502fc4cdab03ee70,81,34,34,-0.0013396352154159106,0.41304347826086957,0.2345679012345679
assessment,amplification_continuation,transition_event,opening-transition-v1-ae46af0363851978997c5e7f,82,34,34,-0.001641610914017518,0.40425531914893614,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-b04edbe0916c06015da2f2b9,81,34,34,-0.0014749615930907411,0.41304347826086957,0.2345679012345679
assessment,amplification_continuation,transition_event,opening-transition-v1-b303b6fee2556361c62dd340,81,34,34,-0.0013555469636500836,0.41304347826086957,0.2345679012345679
assessment,amplification_continuation,transition_event,opening-transition-v1-c0920ecb2ab4bcf800e99c05,77,34,34,0.00013695700219365872,0.4634146341463415,0.24675324675324675
assessment,amplification_continuation,transition_event,opening-transition-v1-c6fb9de09de7ecbd29d2feb2,81,34,34,-0.002052454420688197,0.37777777777777777,0.20987654320987653
assessment,amplification_continuation,transition_event,opening-transition-v1-dd84a2d4e0ab3e98b0042d7c,80,34,34,-0.0016585113007178951,0.40425531914893614,0.2375
assessment,amplification_continuation,transition_event,opening-transition-v1-e022aca4482bf710c059a68f,82,34,34,-0.00152110030570201,0.40425531914893614,0.23170731707317074
assessment,amplification_continuation,transition_event,opening-transition-v1-f584e64ed71c4e86ffb1ca8d,80,34,34,-0.0018966635202866552,0.4,0.225
assessment,amplification_continuation,transition_event,opening-transition-v1-f949128cba6fc1727dc7ec19,80,34,34,-0.001762174216425775,0.391304347826087,0.225
assessment,resistance_reversal,transition_event,opening-transition-v1-04cedf0e092415f55f8fa212,46,27,27,0.001028938619633737,0.5263157894736842,0.21739130434782608
assessment,resistance_reversal,transition_event,opening-transition-v1-1dee32c928ea99ea2ec8b606,44,27,27,0.0013005966925575014,0.5294117647058824,0.20454545454545456
assessment,resistance_reversal,transition_event,opening-transition-v1-226f84f7371b68663031bfbc,45,27,27,0.001592814807389884,0.5555555555555556,0.2222222222222222
assessment,resistance_reversal,transition_event,opening-transition-v1-283de66b8122f5b35538079c,46,27,27,0.001119626995022355,0.5263157894736842,0.21739130434782608
assessment,resistance_reversal,transition_event,opening-transition-v1-287fb6c9a7251b548077c0ad,46,27,27,0.001340428372274117,0.5555555555555556,0.21739130434782608
