period,stock,session,checkpoint,fresh_episode_id,prior_canonical_fresh_episode_id_v1,minutes_since_prior_canonical_fresh_episode_v1,tail_phase_v1,market_shock_state_v1,included_in_primary_signed_shock_population_v1,included_in_tail_phase_diagnostics_v1,inclusion_exclusion_reason_v1
stress,AAL,2025-11-21,14,m1c-53f1c3d8f599deffe64f62bd,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
assessment,CIFR,2025-05-12,14,m1c-99a9c2a3735e08a1f51e705a,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,CIFR,2025-09-09,14,m1c-a32a051fd97c2c790c282207,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,CIFR,2025-10-10,20,m1c-852b84e3d5fdeb529aa98126,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,CIFR,2025-10-10,30,m1c-0ab2271d67630645986cfbcc,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,CIFR,2025-11-07,16,m1c-ef7b015e3253e19ffb20a5a1,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,CIFR,2025-11-13,14,m1c-77cca660ae23857f0ea5b633,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
stress,CIFR,2025-12-16,10,,m1c-4ed9c5a5fa25a133d2b14398,20.0,RE_ENTRY,NEGATIVE_SHOCK_ONSET,False,True,different_population_definition:tail_phase_re_entry_not_frozen_fresh_episode;minimum_episode_spacing_not_met:20<30
stress,CIFR,2025-12-17,14,m1c-374b3ea513117710308dc334,,,RE_ENTRY,NEGATIVE_SHOCK_ONSET,True,True,included:canonical_fresh_episode;complete_stock_response;complete_directional_outcome;valid_response_class
assessment,HIMS,2025-04-15,10,,m1c-55e237e7119ea6281a158d55,20.0,RE_ENTRY,NEGATIVE_SHOCK_ONSET,False,True,different_population_definition:tail_phase_re_entry_not_frozen_fresh_episode;minimum_episode_spacing_not_met:20<30
