period,response_quintile_v1,episode_count,material_episode_count,followed_transition_count,followed_transition_rate_among_material,mean_market_follow_aligned_return,no_material_move_rate
assessment,Q1,33,14,6,0.42857142857142855,-0.0022161237314472166,0.5757575757575758
assessment,Q2,30,11,7,0.6363636363636364,0.0010026277118783994,0.6333333333333333
assessment,Q3,25,13,9,0.6923076923076923,0.004175834027312827,0.48
assessment,Q4,28,18,4,0.2222222222222222,-0.0057259822550773725,0.35714285714285715
assessment,Q5,14,10,2,0.2,-0.005601640742043394,0.2857142857142857
stress,Q1,23,12,3,0.25,-0.007411715278629746,0.4782608695652174
stress,Q2,21,11,1,0.09090909090909091,-0.008174773972543296,0.47619047619047616
stress,Q3,16,6,4,0.6666666666666666,0.005676972965793699,0.625
stress,Q4,24,12,1,0.08333333333333333,-0.011968712152638098,0.5
stress,Q5,17,16,1,0.0625,-0.02956024067373934,0.058823529411764705
