period,mechanism,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_session_count,unique_transition_event_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_prediction_following_rate,material_prediction_opposing_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,mean_raw_signed_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_month_share,maximum_session_share,maximum_transition_event_share,transition_sign
assessment,market_following,market_following,negative_severe_opening_transition,62,62,0,23,23,18,0,62,28,5,29,0.15151515151515152,0.08064516129032258,0.15151515151515152,0.8484848484848485,-0.696969696969697,-0.006803811505371727,-0.005663873938056359,0.006803811505371727,0.30434782608695654,0.25,0.12903225806451613,0.20967741935483872,0.11290322580645161,0.11290322580645161,-1
assessment,market_following,market_following,positive_severe_opening_transition,68,68,0,20,20,19,68,0,23,10,35,0.696969696969697,0.3382352941176471,0.696969696969697,0.30303030303030304,0.393939393939394,0.0035945358632895235,0.003124043679168192,0.0035945358632895235,0.6,0.8571428571428571,0.16176470588235295,0.3235294117647059,0.11764705882352941,0.11764705882352941,1
assessment,amplification_continuation,amplification_continuation,negative_severe_opening_transition,42,42,0,18,18,16,0,42,20,4,18,0.16666666666666666,0.09523809523809523,0.16666666666666666,0.8333333333333334,-0.6666666666666667,-0.006548356659296291,-0.006252638921280763,0.006548356659296291,0.2777777777777778,0.125,0.16666666666666666,0.2619047619047619,0.14285714285714285,0.14285714285714285,-1
assessment,amplification_continuation,amplification_continuation,positive_severe_opening_transition,41,41,0,17,17,17,41,0,15,8,18,0.6521739130434783,0.36585365853658536,0.6521739130434783,0.34782608695652173,0.30434782608695654,0.0035882820902793464,0.00389470323281395,0.0035882820902793464,0.5294117647058824,0.6666666666666666,0.17073170731707318,0.34146341463414637,0.12195121951219512,0.12195121951219512,1
assessment,resistance_reversal,resistance_reversal,negative_severe_opening_transition,20,20,0,12,12,13,20,0,8,1,11,0.8888888888888888,0.4,0.8888888888888888,0.1111111111111111,0.7777777777777777,0.007340266682130145,0.0016079091638526374,0.007340266682130145,0.6666666666666666,0.5714285714285714,0.15,0.3,0.25,0.25,-1
assessment,resistance_reversal,resistance_reversal,positive_severe_opening_transition,27,27,0,16,16,14,0,27,8,2,17,0.2,0.07407407407407407,0.2,0.8,-0.6000000000000001,-0.00360403233341609,-0.0023533841255224345,0.00360403233341609,0.1875,0.14285714285714285,0.14814814814814814,0.2962962962962963,0.1111111111111111,0.1111111111111111,1
stress,market_following,market_following,negative_severe_opening_transition,38,38,0,5,5,17,0,38,11,2,25,0.15384615384615385,0.05263157894736842,0.15384615384615385,0.8461538461538461,-0.6923076923076923,-0.005012151649176382,-0.006838177516348876,0.005012151649176382,0.4,0.3333333333333333,0.10526315789473684,0.5,0.2631578947368421,0.2631578947368421,-1
stress,market_following,market_following,positive_severe_opening_transition,63,63,0,8,8,19,63,0,8,36,19,0.18181818181818182,0.12698412698412698,0.18181818181818182,0.8181818181818182,-0.6363636363636365,-0.013501897743291667,-0.013994071864357242,-0.013501897743291667,0.125,0.0,0.07936507936507936,0.6190476190476191,0.2222222222222222,0.2222222222222222,1
stress,amplification_continuation,amplification_continuation,negative_severe_opening_transition,24,24,0,5,5,16,0,24,5,1,18,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.8333333333333334,-0.6666666666666667,-0.00211472233850593,-0.0022159281980223228,0.00211472233850593,0.4,0.6666666666666666,0.16666666666666666,0.5,0.375,0.375,-1
stress,amplification_continuation,amplification_continuation,positive_severe_opening_transition,45,45,0,8,8,18,45,0,6,27,12,0.18181818181818182,0.13333333333333333,0.18181818181818182,0.8181818181818182,-0.6363636363636365,-0.016104988789326022,-0.01843161091490276,-0.016104988789326022,0.125,0.0,0.1111111111111111,0.6888888888888889,0.26666666666666666,0.26666666666666666,1
stress,resistance_reversal,resistance_reversal,negative_severe_opening_transition,14,14,0,4,4,10,14,0,6,1,7,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.00997917332461144,0.008032096825205053,0.00997917332461144,0.75,1.0,0.21428571428571427,0.5,0.42857142857142855,0.42857142857142855,-1
stress,resistance_reversal,resistance_reversal,positive_severe_opening_transition,18,18,0,7,7,12,0,18,2,9,7,0.8181818181818182,0.5,0.8181818181818182,0.18181818181818182,0.6363636363636365,0.0069941701282057655,0.006887594747898313,-0.0069941701282057655,0.8571428571428571,1.0,0.2222222222222222,0.4444444444444444,0.2777777777777778,0.2777777777777778,1
