opening_transition_event_id_v1,period,session,checkpoint,market_proxy_v1,opening_transition_sign_v1,opening_market_transition_state_v1,stock_episode_count,stock_count,stocks_json,amplifying_count,resisting_count,material_up_count,material_down_count,no_material_move_count
opening-transition-v1-0339ecd1558f94de91ff574a,development,2024-12-30,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""APLD"",""ASTS""]",2,0,0,1,1
opening-transition-v1-037f221681e8a5afe4c4cd51,development,2024-11-20,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,4,4,"[""ASTS"",""CIFR"",""IREN"",""RIVN""]",3,1,0,3,1
opening-transition-v1-04cedf0e092415f55f8fa212,assessment,2025-05-30,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""MP""]",0,1,0,0,1
opening-transition-v1-0a25543a40ea52f3e054546d,stress,2025-11-04,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,9,9,"[""AAL"",""APLD"",""HIMS"",""IREN"",""MP"",""NVTS"",""RIOT"",""SOFI"",""WULF""]",8,1,2,4,3
opening-transition-v1-1aa4e314f6ae9e29713d74bc,assessment,2025-03-28,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""IONQ""]",1,0,0,1,0
opening-transition-v1-1c71e769da242b258b7156c8,assessment,2025-03-07,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""MARA"",""NVTS""]",2,0,2,0,0
opening-transition-v1-1dee32c928ea99ea2ec8b606,assessment,2025-01-06,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,8,8,"[""AAOI"",""APLD"",""ASTS"",""CIFR"",""MARA"",""RIOT"",""RIVN"",""SMCI""]",5,3,1,2,5
opening-transition-v1-226f84f7371b68663031bfbc,assessment,2025-05-22,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,3,3,"[""IONQ"",""MARA"",""RIOT""]",1,2,2,0,1
opening-transition-v1-23a3c773bc96bd9c8b4fcdff,stress,2025-11-06,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,10,10,"[""AAL"",""CIFR"",""HIMS"",""IONQ"",""MP"",""MRNA"",""NVTS"",""RIOT"",""RIVN"",""SOFI""]",9,1,0,1,9
opening-transition-v1-283de66b8122f5b35538079c,assessment,2025-05-19,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""ASTS"",""WULF""]",1,1,1,0,1
opening-transition-v1-284ed2beff1a3bc54bc0654b,development,2024-07-17,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,5,5,"[""ASTS"",""MARA"",""RIOT"",""RIVN"",""SOFI""]",5,0,0,5,0
opening-transition-v1-287fb6c9a7251b548077c0ad,assessment,2025-08-04,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""AAL"",""MP""]",1,1,1,0,1
opening-transition-v1-2e5f9d7349b42bc2b3d923e1,stress,2025-12-16,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,4,4,"[""CIFR"",""IONQ"",""IREN"",""QBTS""]",3,1,0,4,0
opening-transition-v1-303d5afe8d29332d29f027e3,assessment,2025-01-16,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""HIMS""]",1,0,1,0,0
opening-transition-v1-357caad24b2cb35ffbf8ba63,assessment,2025-03-18,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""HIMS"",""MSTR"",""SMCI""]",3,0,0,0,3
opening-transition-v1-3aaf98f8e151222c23fe2c4e,assessment,2025-08-20,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,4,4,"[""AAL"",""AAOI"",""APLD"",""RIOT""]",4,0,1,0,3
opening-transition-v1-3aeb06bdbeb416153e8ecf20,assessment,2025-01-02,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,5,5,"[""IONQ"",""MARA"",""RIOT"",""RIVN"",""SOFI""]",3,2,1,2,2
opening-transition-v1-3c7e554b0525876e422f3ec9,assessment,2025-04-11,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAL"",""MARA"",""QBTS""]",2,1,0,0,3
opening-transition-v1-3ecbeb0586b74f036361230d,assessment,2025-02-24,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""ASTS""]",1,0,1,0,0
opening-transition-v1-40642ed31f06466c77401887,assessment,2025-01-08,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,1,1,"[""MP""]",1,0,0,0,1
opening-transition-v1-41606cab932b90aae12dfe91,assessment,2025-05-12,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,7,7,"[""AAL"",""AAOI"",""CIFR"",""MARA"",""NVTS"",""SOFI"",""WULF""]",2,5,2,0,5
opening-transition-v1-44486132973100cda7a44063,assessment,2025-04-21,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAL"",""IREN"",""MARA""]",2,1,2,0,1
opening-transition-v1-44b702454f63aeb5e0ec2614,development,2024-07-24,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,2,2,"[""APLD"",""HIMS""]",2,0,0,0,2
opening-transition-v1-4503d72569fdd39f7054de90,assessment,2025-01-27,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,1,1,"[""SOFI""]",1,0,0,1,0
opening-transition-v1-45a0905af007a59289c4810d,development,2024-05-23,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,4,4,"[""MARA"",""MSTR"",""RIOT"",""SMCI""]",4,0,2,0,2
opening-transition-v1-45ca1bd160f2afc1d7f6cee1,assessment,2025-04-15,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,5,5,"[""AAL"",""HIMS"",""MARA"",""SMCI"",""WULF""]",3,2,1,2,2
opening-transition-v1-46612ea91ff6240895ec23da,development,2024-11-22,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,2,2,"[""ASTS"",""MRNA""]",2,0,1,1,0
opening-transition-v1-46cf484f36b52129d3824731,development,2024-06-11,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,4,4,"[""CIFR"",""IREN"",""MARA"",""NVTS""]",3,1,2,0,2
opening-transition-v1-4b3149a89bdacb4e94638db0,development,2024-08-13,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,1,1,"[""SMCI""]",0,1,1,0,0
opening-transition-v1-4efb3aea6c22a7ca0a83fc8c,stress,2025-10-23,6,VTI,1,POSITIVE_SEVERE_OPENING_TRANSITION,7,7,"[""AAL"",""AAOI"",""IONQ"",""MP"",""NVTS"",""RGTI"",""SMCI""]",2,5,1,4,2
opening-transition-v1-52c2cf486919f8425e0b31a6,development,2024-09-12,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""AAL"",""AAOI"",""ASTS""]",2,1,1,0,2
opening-transition-v1-53bfd434ee01ac435b628081,development,2024-09-03,6,VTI,-1,NEGATIVE_SEVERE_OPENING_TRANSITION,3,3,"[""ASTS"",""MARA"",""RIOT""]",3,0,0,2,1
