period,group_type,group_value,episode_count,unique_shock_event_count,session_count,stock_count,material_up_count,material_up_rate,material_down_count,material_down_rate,no_material_move_count,no_material_move_rate,mean_signed_15m_return,median_signed_15m_return,mean_absolute_15m_movement,median_absolute_15m_movement,mean_iv_residual,median_iv_residual,exceed_iv_rate,mean_post_entry_remaining_range_share,tail_phase_composition_json,checkpoint_distribution_json,time_of_day_distribution_json,stock_distribution_json,session_distribution_json,shock_event_distribution_json,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share
assessment,population,ALL_SIGNED_SHOCK_ONSETS,9,9,9,7,2,0.2222222222222222,2,0.2222222222222222,5,0.5555555555555556,-0.0021927648344397146,-0.0013550137574595356,0.01436534300467334,0.009011507572991117,0.005038908153140841,-0.0005006609094672116,0.4444444444444444,0.37439152328699354,"{""FIRST_ENTRY"":{""count"":1,""rate"":0.1111111111111111},""RE_ENTRY"":{""count"":8,""rate"":0.8888888888888888}}","{""14"":{""count"":2,""rate"":0.2222222222222222},""20"":{""count"":3,""rate"":0.3333333333333333},""22"":{""count"":1,""rate"":0.1111111111111111},""24"":{""count"":1,""rate"":0.1111111111111111},""30"":{""count"":1,""rate"":0.1111111111111111},""8"":{""count"":1,""rate"":0.1111111111111111}}","{""14:10:00+0000"":{""count"":1,""rate"":0.1111111111111111},""14:40:00+0000"":{""count"":2,""rate"":0.2222222222222222},""15:10:00+0000"":{""count"":2,""rate"":0.2222222222222222},""15:30:00+0000"":{""count"":1,""rate"":0.1111111111111111},""16:10:00+0000"":{""count"":1,""rate"":0.1111111111111111},""16:20:00+0000"":{""count"":1,""rate"":0.1111111111111111},""17:00:00+0000"":{""count"":1,""rate"":0.1111111111111111}}","{""CIFR"":{""count"":1,""rate"":0.1111111111111111},""IONQ"":{""count"":1,""rate"":0.1111111111111111},""MARA"":{""count"":2,""rate"":0.2222222222222222},""MRNA"":{""count"":1,""rate"":0.1111111111111111},""QBTS"":{""count"":1,""rate"":0.1111111111111111},""RGTI"":{""count"":2,""rate"":0.2222222222222222},""RIVN"":{""count"":1,""rate"":0.1111111111111111}}","{""2025-01-02"":{""count"":1,""rate"":0.1111111111111111},""2025-01-07"":{""count"":1,""rate"":0.1111111111111111},""2025-03-05"":{""count"":1,""rate"":0.1111111111111111},""2025-04-04"":{""count"":1,""rate"":0.1111111111111111},""2025-04-11"":{""count"":1,""rate"":0.1111111111111111},""2025-04-25"":{""count"":1,""rate"":0.1111111111111111},""2025-05-12"":{""count"":1,""rate"":0.1111111111111111},""2025-05-14"":{""count"":1,""rate"":0.1111111111111111},""2025-05-21"":{""count"":1,""rate"":0.1111111111111111}}","{""market-shock-v1-08442c4d2099371281d0af32"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-188da2aef2ba4991464caa81"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-6b0d7ac8a9fe5d54328070c2"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-74d2429f8aad0c31cbadc160"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-7e8cf0c1e40ccd5938041fd5"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-8210618121317d2922634b07"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-b3c675a93bccd5bf41bc7c1b"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-da5fd2bda08d5e277e5bfdab"":{""count"":1,""rate"":0.1111111111111111},""market-shock-v1-fc8a67cf44f242d0d6eff366"":{""count"":1,""rate"":0.1111111111111111}}",0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333
assessment,shock_sign,NEGATIVE_SHOCK_ONSET,3,3,3,3,0,0.0,0,0.0,3,1.0,-0.003585743837310891,-0.006841466881649569,0.007148324410698257,0.006841466881649569,-0.002530778785503132,-0.0013733151014028774,0.0,0.3713307744826775,"{""RE_ENTRY"":{""count"":3,""rate"":1.0}}","{""14"":{""count"":1,""rate"":0.3333333333333333},""20"":{""count"":1,""rate"":0.3333333333333333},""22"":{""count"":1,""rate"":0.3333333333333333}}","{""14:40:00+0000"":{""count"":1,""rate"":0.3333333333333333},""16:10:00+0000"":{""count"":1,""rate"":0.3333333333333333},""16:20:00+0000"":{""count"":1,""rate"":0.3333333333333333}}","{""CIFR"":{""count"":1,""rate"":0.3333333333333333},""IONQ"":{""count"":1,""rate"":0.3333333333333333},""RIVN"":{""count"":1,""rate"":0.3333333333333333}}","{""2025-01-02"":{""count"":1,""rate"":0.3333333333333333},""2025-01-07"":{""count"":1,""rate"":0.3333333333333333},""2025-05-12"":{""count"":1,""rate"":0.3333333333333333}}","{""market-shock-v1-8210618121317d2922634b07"":{""count"":1,""rate"":0.3333333333333333},""market-shock-v1-b3c675a93bccd5bf41bc7c1b"":{""count"":1,""rate"":0.3333333333333333},""market-shock-v1-fc8a67cf44f242d0d6eff366"":{""count"":1,""rate"":0.3333333333333333}}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
assessment,shock_sign,POSITIVE_SHOCK_ONSET,6,6,6,4,2,0.3333333333333333,2,0.3333333333333333,2,0.3333333333333333,-0.0014962753330041267,0.0016868118484891972,0.017973852301660882,0.010033021427438095,0.008823751622462829,0.0011201504484117221,0.6666666666666666,0.3759218976891517,"{""FIRST_ENTRY"":{""count"":1,""rate"":0.16666666666666666},""RE_ENTRY"":{""count"":5,""rate"":0.8333333333333334}}","{""14"":{""count"":1,""rate"":0.16666666666666666},""20"":{""count"":2,""rate"":0.3333333333333333},""24"":{""count"":1,""rate"":0.16666666666666666},""30"":{""count"":1,""rate"":0.16666666666666666},""8"":{""count"":1,""rate"":0.16666666666666666}}","{""14:10:00+0000"":{""count"":1,""rate"":0.16666666666666666},""14:40:00+0000"":{""count"":1,""rate"":0.16666666666666666},""15:10:00+0000"":{""count"":2,""rate"":0.3333333333333333},""15:30:00+0000"":{""count"":1,""rate"":0.16666666666666666},""17:00:00+0000"":{""count"":1,""rate"":0.16666666666666666}}","{""MARA"":{""count"":2,""rate"":0.3333333333333333},""MRNA"":{""count"":1,""rate"":0.16666666666666666},""QBTS"":{""count"":1,""rate"":0.16666666666666666},""RGTI"":{""count"":2,""rate"":0.3333333333333333}}","{""2025-03-05"":{""count"":1,""rate"":0.16666666666666666},""2025-04-04"":{""count"":1,""rate"":0.16666666666666666},""2025-04-11"":{""count"":1,""rate"":0.16666666666666666},""2025-04-25"":{""count"":1,""rate"":0.16666666666666666},""2025-05-14"":{""count"":1,""rate"":0.16666666666666666},""2025-05-21"":{""count"":1,""rate"":0.16666666666666666}}","{""market-shock-v1-08442c4d2099371281d0af32"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-188da2aef2ba4991464caa81"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-6b0d7ac8a9fe5d54328070c2"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-74d2429f8aad0c31cbadc160"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-7e8cf0c1e40ccd5938041fd5"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-da5fd2bda08d5e277e5bfdab"":{""count"":1,""rate"":0.16666666666666666}}",0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333
assessment,response_class,AMPLIFYING,7,7,7,5,2,0.2857142857142857,2,0.2857142857142857,3,0.42857142857142855,-0.0022598741256677616,-0.0013550137574595356,0.01638351152737355,0.009011507572991117,0.007491692689329967,0.0006975860033371743,0.5714285714285714,0.3886159175237815,"{""FIRST_ENTRY"":{""count"":1,""rate"":0.14285714285714285},""RE_ENTRY"":{""count"":6,""rate"":0.8571428571428571}}","{""14"":{""count"":1,""rate"":0.14285714285714285},""20"":{""count"":2,""rate"":0.2857142857142857},""22"":{""count"":1,""rate"":0.14285714285714285},""24"":{""count"":1,""rate"":0.14285714285714285},""30"":{""count"":1,""rate"":0.14285714285714285},""8"":{""count"":1,""rate"":0.14285714285714285}}","{""14:10:00+0000"":{""count"":1,""rate"":0.14285714285714285},""14:40:00+0000"":{""count"":1,""rate"":0.14285714285714285},""15:10:00+0000"":{""count"":2,""rate"":0.2857142857142857},""15:30:00+0000"":{""count"":1,""rate"":0.14285714285714285},""16:20:00+0000"":{""count"":1,""rate"":0.14285714285714285},""17:00:00+0000"":{""count"":1,""rate"":0.14285714285714285}}","{""MARA"":{""count"":2,""rate"":0.2857142857142857},""MRNA"":{""count"":1,""rate"":0.14285714285714285},""QBTS"":{""count"":1,""rate"":0.14285714285714285},""RGTI"":{""count"":2,""rate"":0.2857142857142857},""RIVN"":{""count"":1,""rate"":0.14285714285714285}}","{""2025-01-07"":{""count"":1,""rate"":0.14285714285714285},""2025-03-05"":{""count"":1,""rate"":0.14285714285714285},""2025-04-04"":{""count"":1,""rate"":0.14285714285714285},""2025-04-11"":{""count"":1,""rate"":0.14285714285714285},""2025-04-25"":{""count"":1,""rate"":0.14285714285714285},""2025-05-14"":{""count"":1,""rate"":0.14285714285714285},""2025-05-21"":{""count"":1,""rate"":0.14285714285714285}}","{""market-shock-v1-08442c4d2099371281d0af32"":{""count"":1,""rate"":0.14285714285714285},""market-shock-v1-188da2aef2ba4991464caa81"":{""count"":1,""rate"":0.14285714285714285},""market-shock-v1-6b0d7ac8a9fe5d54328070c2"":{""count"":1,""rate"":0.14285714285714285},""market-shock-v1-74d2429f8aad0c31cbadc160"":{""count"":1,""rate"":0.14285714285714285},""market-shock-v1-7e8cf0c1e40ccd5938041fd5"":{""count"":1,""rate"":0.14285714285714285},""market-shock-v1-da5fd2bda08d5e277e5bfdab"":{""count"":1,""rate"":0.14285714285714285},""market-shock-v1-fc8a67cf44f242d0d6eff366"":{""count"":1,""rate"":0.14285714285714285}}",0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857
assessment,response_class,RESISTING,2,2,2,2,0,0.0,0,0.0,2,1.0,-0.001957882315141551,-0.001957882315141551,0.0073017531752226,0.0073017531752226,-0.0035458377235210925,-0.0035458377235210925,0.0,0.324606143458236,"{""RE_ENTRY"":{""count"":2,""rate"":1.0}}","{""14"":{""count"":1,""rate"":0.5},""20"":{""count"":1,""rate"":0.5}}","{""14:40:00+0000"":{""count"":1,""rate"":0.5},""16:10:00+0000"":{""count"":1,""rate"":0.5}}","{""CIFR"":{""count"":1,""rate"":0.5},""IONQ"":{""count"":1,""rate"":0.5}}","{""2025-01-02"":{""count"":1,""rate"":0.5},""2025-05-12"":{""count"":1,""rate"":0.5}}","{""market-shock-v1-8210618121317d2922634b07"":{""count"":1,""rate"":0.5},""market-shock-v1-b3c675a93bccd5bf41bc7c1b"":{""count"":1,""rate"":0.5}}",0.5,0.5,0.5,0.5
assessment,response_class,NEUTRAL_EXACT,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,response_class,NOT_SHOCK_ONSET,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,response_class,UNKNOWN_INCOMPLETE,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,resisting_descriptive_subtype,RESISTING_BUT_STILL_WITH_SHOCK,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,resisting_descriptive_subtype,ABSOLUTELY_OPPOSING_SHOCK,2,2,2,2,0,0.0,0,0.0,2,1.0,-0.001957882315141551,-0.001957882315141551,0.0073017531752226,0.0073017531752226,-0.0035458377235210925,-0.0035458377235210925,0.0,0.324606143458236,"{""RE_ENTRY"":{""count"":2,""rate"":1.0}}","{""14"":{""count"":1,""rate"":0.5},""20"":{""count"":1,""rate"":0.5}}","{""14:40:00+0000"":{""count"":1,""rate"":0.5},""16:10:00+0000"":{""count"":1,""rate"":0.5}}","{""CIFR"":{""count"":1,""rate"":0.5},""IONQ"":{""count"":1,""rate"":0.5}}","{""2025-01-02"":{""count"":1,""rate"":0.5},""2025-05-12"":{""count"":1,""rate"":0.5}}","{""market-shock-v1-8210618121317d2922634b07"":{""count"":1,""rate"":0.5},""market-shock-v1-b3c675a93bccd5bf41bc7c1b"":{""count"":1,""rate"":0.5}}",0.5,0.5,0.5,0.5
