period,arm,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_shock_event_count,session_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_following_prediction_rate,material_opposing_prediction_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share,status
assessment,all,follow_market_shock,all_signed_shock_onsets,9.0,9.0,0.0,9.0,9.0,7.0,6.0,3.0,2.0,2.0,5.0,0.5,0.2222222222222222,0.5,0.5,0.0,0.00019773105710087986,0.00472863745443793,0.5555555555555556,0.75,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,
assessment,all,oppose_market_shock,all_signed_shock_onsets,9.0,9.0,0.0,9.0,9.0,7.0,3.0,6.0,2.0,2.0,5.0,0.5,0.2222222222222222,0.5,0.5,0.0,-0.00019773105710087986,-0.00472863745443793,0.4444444444444444,0.25,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,
assessment,all,recent_stock_momentum_5m,all_signed_shock_onsets,9.0,9.0,0.0,9.0,9.0,7.0,7.0,2.0,2.0,2.0,5.0,0.25,0.1111111111111111,0.25,0.75,-0.5,-0.008066753809590174,-0.0013550137574595356,0.4444444444444444,0.5,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,
assessment,all,trailing_stock_momentum_15m,all_signed_shock_onsets,9.0,8.0,1.0,8.0,8.0,6.0,7.0,1.0,2.0,2.0,4.0,0.5,0.25,0.5,0.5,0.0,0.00040096071796323195,0.005036254157259489,0.625,0.5,0.25,0.125,0.125,0.375,
assessment,all,frozen_A1,all_signed_shock_onsets,9.0,7.0,2.0,7.0,7.0,6.0,1.0,6.0,2.0,2.0,3.0,0.5,0.2857142857142857,0.5,0.5,0.0,0.001346510491948098,-0.005343870860081049,0.42857142857142855,0.5,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,
assessment,all,always_CALL,all_signed_shock_onsets,9.0,9.0,0.0,9.0,9.0,7.0,9.0,0.0,2.0,2.0,5.0,0.5,0.2222222222222222,0.5,0.5,0.0,-0.0021927648344397146,-0.0013550137574595356,0.4444444444444444,0.25,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,
assessment,all,always_PUT,all_signed_shock_onsets,9.0,9.0,0.0,9.0,9.0,7.0,0.0,9.0,2.0,2.0,5.0,0.5,0.2222222222222222,0.5,0.5,0.0,0.0021927648344397146,0.0013550137574595356,0.5555555555555556,0.75,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,
assessment,continuation,follow_market_shock,continuation_amplifying_acted,7.0,7.0,0.0,7.0,7.0,5.0,6.0,1.0,2.0,2.0,3.0,0.5,0.2857142857142857,0.5,0.5,0.0,-0.0003051693023393129,0.00472863745443793,0.5714285714285714,0.5,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,
assessment,continuation,oppose_market_shock,continuation_amplifying_acted,7.0,7.0,0.0,7.0,7.0,5.0,1.0,6.0,2.0,2.0,3.0,0.5,0.2857142857142857,0.5,0.5,0.0,0.0003051693023393129,-0.00472863745443793,0.42857142857142855,0.5,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,
assessment,continuation,recent_stock_momentum_5m,continuation_amplifying_acted,7.0,7.0,0.0,7.0,7.0,5.0,6.0,1.0,2.0,2.0,3.0,0.25,0.14285714285714285,0.25,0.75,-0.5,-0.012457755805250966,-0.006841466881649569,0.2857142857142857,0.25,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,
