period,cluster_type,statistic,valid_draw_count,lower_95,median,upper_95
assessment,session,continuation_mean_aligned_return,5000,-0.01821105422700505,0.0002482949428554719,0.016016763303846764
assessment,session,resistance_mean_aligned_return,4487,-0.00925963549036415,-0.001957882315141551,0.005343870860081049
assessment,session,continuous_ranking_auc,4038,0.0,0.0,0.0
stress,session,continuation_mean_aligned_return,5000,-0.007557116672064865,-0.0021295904837975673,0.003334664946959873
stress,session,resistance_mean_aligned_return,4807,-0.029542681309103216,-0.0029262909939572015,0.008785202780316208
stress,session,continuous_ranking_auc,4912,0.0,0.3,1.0
assessment,market_shock_event_id_v1,continuation_mean_aligned_return,5000,-0.01866504164288966,0.00021138359945041126,0.01578874043584567
assessment,market_shock_event_id_v1,resistance_mean_aligned_return,4511,-0.00925963549036415,-0.001957882315141551,0.005343870860081049
assessment,market_shock_event_id_v1,continuous_ranking_auc,3992,0.0,0.0,0.0
stress,market_shock_event_id_v1,continuation_mean_aligned_return,5000,-0.007616503671929624,-0.002178589866153367,0.0030868013439292593
stress,market_shock_event_id_v1,resistance_mean_aligned_return,4830,-0.029542681309103216,-0.0029262909939572015,0.008785202780316208
stress,market_shock_event_id_v1,continuous_ranking_auc,4944,0.013733766233766242,0.33333333333333337,0.9468055555555567
