period,arm,dimension,value,episode_count,share
assessment,continuation,stock,MARA,2,0.2857142857142857
assessment,continuation,stock,RGTI,2,0.2857142857142857
assessment,continuation,stock,MRNA,1,0.14285714285714285
assessment,continuation,stock,QBTS,1,0.14285714285714285
assessment,continuation,stock,RIVN,1,0.14285714285714285
assessment,continuation,month,2025-04,3,0.42857142857142855
assessment,continuation,month,2025-05,2,0.2857142857142857
assessment,continuation,month,2025-03,1,0.14285714285714285
assessment,continuation,month,2025-01,1,0.14285714285714285
assessment,continuation,checkpoint,20,2,0.2857142857142857
assessment,continuation,checkpoint,30,1,0.14285714285714285
assessment,continuation,checkpoint,14,1,0.14285714285714285
assessment,continuation,checkpoint,8,1,0.14285714285714285
assessment,continuation,checkpoint,24,1,0.14285714285714285
assessment,continuation,checkpoint,22,1,0.14285714285714285
assessment,continuation,session,2025-04-04,1,0.14285714285714285
assessment,continuation,session,2025-05-21,1,0.14285714285714285
assessment,continuation,session,2025-03-05,1,0.14285714285714285
assessment,continuation,session,2025-04-11,1,0.14285714285714285
assessment,continuation,session,2025-04-25,1,0.14285714285714285
assessment,continuation,session,2025-05-14,1,0.14285714285714285
assessment,continuation,session,2025-01-07,1,0.14285714285714285
assessment,continuation,market_shock_event,market-shock-v1-74d2429f8aad0c31cbadc160,1,0.14285714285714285
assessment,continuation,market_shock_event,market-shock-v1-6b0d7ac8a9fe5d54328070c2,1,0.14285714285714285
assessment,continuation,market_shock_event,market-shock-v1-7e8cf0c1e40ccd5938041fd5,1,0.14285714285714285
assessment,continuation,market_shock_event,market-shock-v1-da5fd2bda08d5e277e5bfdab,1,0.14285714285714285
assessment,continuation,market_shock_event,market-shock-v1-08442c4d2099371281d0af32,1,0.14285714285714285
assessment,continuation,market_shock_event,market-shock-v1-188da2aef2ba4991464caa81,1,0.14285714285714285
assessment,continuation,market_shock_event,market-shock-v1-fc8a67cf44f242d0d6eff366,1,0.14285714285714285
assessment,resistance,stock,CIFR,1,0.5
assessment,resistance,stock,IONQ,1,0.5
assessment,resistance,month,2025-05,1,0.5
assessment,resistance,month,2025-01,1,0.5
assessment,resistance,checkpoint,14,1,0.5
assessment,resistance,checkpoint,20,1,0.5
assessment,resistance,session,2025-05-12,1,0.5
assessment,resistance,session,2025-01-02,1,0.5
