period,arm,omitted_dimension,omitted_value,retained_episode_count,retained_session_count,retained_shock_event_count,mean_aligned_return
assessment,continuation,checkpoint,20,5,5,5,-0.008511481689870868
assessment,continuation,checkpoint,30,6,6,6,-0.0018579487815610508
assessment,continuation,checkpoint,14,6,6,6,-0.0001301952264859426
assessment,continuation,checkpoint,8,6,6,6,0.007310774791379205
assessment,continuation,checkpoint,24,6,6,6,0.001486391694251647
assessment,continuation,checkpoint,22,6,6,6,-0.0014962753330041267
assessment,resistance,checkpoint,14,1,1,1,0.005343870860081049
assessment,resistance,checkpoint,20,1,1,1,-0.00925963549036415
stress,continuation,checkpoint,14,11,8,9,-0.005629175348399859
stress,continuation,checkpoint,20,21,15,17,-0.001472688717427943
stress,continuation,checkpoint,16,23,15,17,-0.0025468882968829815
stress,continuation,checkpoint,8,24,15,18,-0.0026809250113602116
stress,continuation,checkpoint,28,24,16,18,-0.001994358511907539
stress,continuation,checkpoint,18,24,15,18,-0.0021371498123820393
stress,continuation,checkpoint,32,24,15,18,-0.0022451751667454107
stress,continuation,checkpoint,10,24,16,18,-0.0014993557731042514
stress,resistance,checkpoint,30,3,2,2,-0.0039907585828236
stress,resistance,checkpoint,14,3,2,2,0.00594583911109147
stress,resistance,checkpoint,20,2,2,2,-0.014637784768230612
