period,regime,aggregation,checkpoint,episode_count,session_count,checkpoint_count,material_mover_count,conditional_direction_accuracy_among_material_movers,accuracy_counting_no_move_as_failure,mean_market_aligned_15m_return,material_following_rate,no_move_rate,iv_excess_rate,mean_absolute_15m_movement
assessment,SIGNED_SHOCK_ONSET,raw,,9,9.0,6,4,0.5,0.2222222222222222,0.00019773105710087986,0.5,0.5555555555555556,0.4444444444444444,0.01436534300467334
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,6.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,8.0,1,1.0,1,1,0.0,0.0,-0.04600083386465042,0.0,0.0,1.0,0.04600083386465042
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,10.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,12.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,14.0,2,2.0,1,0,,0.0,0.003952310866452308,,1.0,0.0,0.005307324623911843
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,16.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,18.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,20.0,3,3.0,1,1,1.0,0.3333333333333333,0.011692450824299367,1.0,0.6666666666666666,0.3333333333333333,0.015255031397686733
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,22.0,1,1.0,1,0,,0.0,0.006841466881649569,,1.0,0.0,0.006841466881649569
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,24.0,1,1.0,1,1,0.0,0.0,-0.011054535281885072,0.0,0.0,1.0,0.011054535281885072
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,26.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,28.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,30.0,1,1.0,1,1,1.0,1.0,0.009011507572991117,1.0,0.0,1.0,0.009011507572991117
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,32.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,checkpoint_stratum,34.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,raw,,25,20.0,6,9,0.3333333333333333,0.12,-0.0012607852520531487,0.3333333333333333,0.64,0.36,0.007526800201915863
assessment,NORMAL_OTHER,checkpoint_stratum,6.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,8.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,10.0,2,1.0,1,1,0.0,0.0,-0.008248979771281452,0.0,0.5,0.5,0.008248979771281452
assessment,NORMAL_OTHER,checkpoint_stratum,12.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,14.0,15,12.0,1,5,0.2,0.06666666666666667,-0.0018396130851640808,0.2,0.6666666666666666,0.3333333333333333,0.006835015404959779
assessment,NORMAL_OTHER,checkpoint_stratum,16.0,1,1.0,1,0,,0.0,-0.005831010279308274,,1.0,0.0,0.005831010279308274
assessment,NORMAL_OTHER,checkpoint_stratum,18.0,2,2.0,1,2,1.0,1.0,0.01921478162305619,1.0,0.0,1.0,0.01921478162305619
assessment,NORMAL_OTHER,checkpoint_stratum,20.0,4,4.0,1,1,0.0,0.0,-0.005614033669203127,0.0,0.75,0.25,0.005614033669203127
assessment,NORMAL_OTHER,checkpoint_stratum,22.0,1,1.0,1,0,,0.0,0.002430106228703802,,1.0,0.0,0.002430106228703802
assessment,NORMAL_OTHER,checkpoint_stratum,24.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,26.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,28.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,30.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,32.0,0,0.0,0,0,,,,,,,
assessment,NORMAL_OTHER,checkpoint_stratum,34.0,0,0.0,0,0,,,,,,,
assessment,SIGNED_SHOCK_ONSET,equal_weight_common_checkpoint_standardised,,6,,3,1,1.0,0.1111111111111111,0.007495409524133748,1.0,0.8888888888888888,0.1111111111111111,0.009134607634416049
assessment,NORMAL_OTHER,equal_weight_common_checkpoint_standardised,,20,,3,6,0.1,0.022222222222222223,-0.0016745135085544686,0.1,0.8055555555555555,0.19444444444444442,0.004959718434288903
stress,SIGNED_SHOCK_ONSET,raw,,29,16.0,9,12,0.4166666666666667,0.1724137931034483,-0.0015904276724526057,0.4166666666666667,0.5862068965517241,0.41379310344827586,0.009436009603769342
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,6.0,0,0.0,0,0,,,,,,,
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,8.0,1,1.0,1,0,,0.0,0.006514633795690698,,1.0,0.0,0.006514633795690698
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,10.0,1,1.0,1,1,0.0,0.0,-0.021843027922452348,0.0,0.0,1.0,0.021843027922452348
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,12.0,0,0.0,0,0,,,,,,,
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,14.0,15,10.0,1,6,0.6666666666666666,0.26666666666666666,0.0022424029109698192,0.6666666666666666,0.6,0.4,0.008900449850251516
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,16.0,2,2.0,1,0,,0.0,0.0003754321756771007,,1.0,0.0,0.0007944558566458206
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,18.0,1,1.0,1,0,,0.0,-0.006535970979785449,,1.0,0.0,0.006535970979785449
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,20.0,6,3.0,1,5,0.2,0.16666666666666666,-0.007411918161933332,0.2,0.16666666666666666,0.8333333333333334,0.014913591650906355
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,22.0,0,0.0,0,0,,,,,,,
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,24.0,0,0.0,0,0,,,,,,,
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,26.0,0,0.0,0,0,,,,,,,
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,28.0,1,1.0,1,0,,0.0,-0.009962962191173453,,1.0,0.0,0.009962962191173453
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,30.0,1,1.0,1,0,,0.0,-0.00026711177264199227,,1.0,0.0,0.00026711177264199227
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,32.0,1,1.0,1,0,,0.0,-0.0039433624750645204,,1.0,0.0,0.0039433624750645204
stress,SIGNED_SHOCK_ONSET,checkpoint_stratum,34.0,0,0.0,0,0,,,,,,,
stress,NORMAL_OTHER,raw,,34,22.0,8,13,0.38461538461538464,0.14705882352941177,-0.0007503183464522051,0.38461538461538464,0.6176470588235294,0.38235294117647056,0.008934415394421283
stress,NORMAL_OTHER,checkpoint_stratum,6.0,0,0.0,0,0,,,,,,,
stress,NORMAL_OTHER,checkpoint_stratum,8.0,2,2.0,1,2,0.0,0.0,-0.01728713051999973,0.0,0.0,1.0,0.01728713051999973
stress,NORMAL_OTHER,checkpoint_stratum,10.0,1,1.0,1,0,,0.0,0.004416424826538774,,1.0,0.0,0.004416424826538774
stress,NORMAL_OTHER,checkpoint_stratum,12.0,0,0.0,0,0,,,,,,,
stress,NORMAL_OTHER,checkpoint_stratum,14.0,14,13.0,1,6,0.6666666666666666,0.2857142857142857,0.0027436662171592503,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.008821021601046227
stress,NORMAL_OTHER,checkpoint_stratum,16.0,4,4.0,1,1,0.0,0.0,-0.005909340888445721,0.0,0.75,0.25,0.007695887201152558
stress,NORMAL_OTHER,checkpoint_stratum,18.0,3,3.0,1,1,1.0,0.3333333333333333,0.006672272651155889,1.0,0.6666666666666666,0.3333333333333333,0.008767213193335392
