checkpoint,market_return_w0_q10_v1,market_return_w0_q90_v1,market_range_w0_q75_v1,market_return_w1_q10_v1,market_return_w1_q90_v1,market_range_w1_q75_v1,market_return_w0_support_v1,market_range_w0_support_v1,market_return_w1_support_v1,market_range_w1_support_v1,calibration_complete_v1,calibration_missing_reason_v1
6,,,,,,,0,0,0,0,False,"insufficient_predictor_support:market_return_w0_v1=0,market_range_w0_v1=0,market_return_w1_v1=0,market_range_w1_v1=0"
8,-0.0019019260101866208,0.002024097697330223,0.002957513217830829,-0.0021343797855377868,0.0015334050253822836,0.002653695731249102,251,251,251,251,True,
10,-0.0018382773796856734,0.0013776302433168787,0.002683152478117394,-0.0022999112725904445,0.002271970997216133,0.0031077918608962115,250,250,250,250,True,
12,-0.0015301681097224433,0.0015754157321484115,0.0023736636195431267,-0.002288752631591663,0.0019490148770214936,0.003012198670776354,250,250,250,250,True,
14,-0.001698670111308167,0.001552966873541048,0.0024114046392644845,-0.001335594693535831,0.0015757587469594242,0.002402886785951289,250,250,250,250,True,
16,-0.0014582405216798618,0.0014410447409297325,0.002150251121708515,-0.0016754907330254838,0.001557112373619548,0.0023736636195431267,250,250,250,250,True,
18,-0.0014593803823118845,0.0011479102474708093,0.0020476287577002096,-0.0015260923861112618,0.0016191390466682046,0.0022570172658797853,252,252,252,252,True,
20,-0.0013053483377191448,0.0013196936386801982,0.0020536563497907585,-0.001762450647983623,0.0012560647031787991,0.002059357586727436,252,252,252,252,True,
22,-0.00125397701803508,0.0013369046596884296,0.00191556398140056,-0.001648586152927562,0.001402611433263073,0.0020928907201355025,251,251,251,251,True,
24,-0.0011495208992484416,0.0011569897103845884,0.0017020665798152786,-0.0014720333871939423,0.001438775752833281,0.002004582597023351,251,251,251,251,True,
26,-0.001123157288939563,0.0011978098959626489,0.0017444335817851419,-0.001149700369729043,0.0011681638165863156,0.0017185646896768928,251,251,251,251,True,
28,-0.0012971032047628416,0.0011054738246568845,0.001695764572275152,-0.0012374815191052288,0.001225486654361437,0.001748961595579193,251,251,251,251,True,
30,-0.0010989028152306975,0.0011786284676794077,0.0016858757558552966,-0.0011537093772403812,0.0010277684009754873,0.001705786095548006,251,251,251,251,True,
32,-0.0012226396248791727,0.0011497198444369895,0.0016847017694674121,-0.00104763499025586,0.0011453294018143156,0.0016972019478529944,251,251,251,251,True,
34,-0.0009986399039653958,0.0008979492652330118,0.001532963459172921,-0.0011502081028750923,0.0011896856439737727,0.0016861216394780784,251,251,251,251,True,
