period,group_type,group_value,episode_count,unique_shock_event_count,session_count,stock_count,material_up_count,material_up_rate,material_down_count,material_down_rate,no_material_move_count,no_material_move_rate,mean_signed_15m_return,median_signed_15m_return,mean_absolute_15m_movement,median_absolute_15m_movement,mean_iv_residual,median_iv_residual,exceed_iv_rate,mean_post_entry_remaining_range_share,tail_phase_composition_json,checkpoint_distribution_json,time_of_day_distribution_json,stock_distribution_json,session_distribution_json,shock_event_distribution_json,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share
stress,population,ALL_SIGNED_SHOCK_ONSETS,29,21,16,11,6,0.20689655172413793,6,0.20689655172413793,17,0.5862068965517241,0.0014996000530968254,0.0014278671663324862,0.009436009603769342,0.006535970979785449,-0.0014588533179250266,-0.0035185067993126137,0.41379310344827586,0.39975855179599123,"{""FIRST_ENTRY"":{""count"":2,""rate"":0.06896551724137931},""RE_ENTRY"":{""count"":27,""rate"":0.9310344827586207}}","{""10"":{""count"":1,""rate"":0.034482758620689655},""14"":{""count"":15,""rate"":0.5172413793103449},""16"":{""count"":2,""rate"":0.06896551724137931},""18"":{""count"":1,""rate"":0.034482758620689655},""20"":{""count"":6,""rate"":0.20689655172413793},""28"":{""count"":1,""rate"":0.034482758620689655},""30"":{""count"":1,""rate"":0.034482758620689655},""32"":{""count"":1,""rate"":0.034482758620689655},""8"":{""count"":1,""rate"":0.034482758620689655}}","{""14:40:00+0000"":{""count"":4,""rate"":0.13793103448275862},""15:10:00+0000"":{""count"":5,""rate"":0.1724137931034483},""15:20:00+0000"":{""count"":1,""rate"":0.034482758620689655},""15:40:00+0000"":{""count"":11,""rate"":0.3793103448275862},""15:50:00+0000"":{""count"":3,""rate"":0.10344827586206896},""16:00:00+0000"":{""count"":2,""rate"":0.06896551724137931},""16:10:00+0000"":{""count"":2,""rate"":0.06896551724137931},""17:10:00+0000"":{""count"":1,""rate"":0.034482758620689655}}","{""AAL"":{""count"":1,""rate"":0.034482758620689655},""CIFR"":{""count"":6,""rate"":0.20689655172413793},""IREN"":{""count"":4,""rate"":0.13793103448275862},""MP"":{""count"":3,""rate"":0.10344827586206896},""MRNA"":{""count"":1,""rate"":0.034482758620689655},""NVTS"":{""count"":8,""rate"":0.27586206896551724},""RGTI"":{""count"":1,""rate"":0.034482758620689655},""RIOT"":{""count"":1,""rate"":0.034482758620689655},""RIVN"":{""count"":1,""rate"":0.034482758620689655},""SOFI"":{""count"":1,""rate"":0.034482758620689655},""WULF"":{""count"":2,""rate"":0.06896551724137931}}","{""2025-09-09"":{""count"":1,""rate"":0.034482758620689655},""2025-10-07"":{""count"":4,""rate"":0.13793103448275862},""2025-10-10"":{""count"":2,""rate"":0.06896551724137931},""2025-10-17"":{""count"":2,""rate"":0.06896551724137931},""2025-10-22"":{""count"":1,""rate"":0.034482758620689655},""2025-11-06"":{""count"":3,""rate"":0.10344827586206896},""2025-11-07"":{""count"":1,""rate"":0.034482758620689655},""2025-11-13"":{""count"":3,""rate"":0.10344827586206896},""2025-11-14"":{""count"":3,""rate"":0.10344827586206896},""2025-11-18"":{""count"":1,""rate"":0.034482758620689655},""2025-11-21"":{""count"":3,""rate"":0.10344827586206896},""2025-11-25"":{""count"":1,""rate"":0.034482758620689655},""2025-12-11"":{""count"":1,""rate"":0.034482758620689655},""2025-12-12"":{""count"":1,""rate"":0.034482758620689655},""2025-12-17"":{""count"":1,""rate"":0.034482758620689655},""2025-12-18"":{""count"":1,""rate"":0.034482758620689655}}","{""market-shock-v1-01084782cc5e4b5a35da9856"":{""count"":2,""rate"":0.06896551724137931},""market-shock-v1-1230ca526aa6cefdba878360"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-2423245724875c8fc6d1c694"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-2b511ac0dcaa63eb327e94e3"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-2d8606103f79fc350f8a3818"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-308f5ca7c71aa5009adead48"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-4ecf5f2f37252dd345f19818"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-66002120ad7ed8c40a7ac2f0"":{""count"":2,""rate"":0.06896551724137931},""market-shock-v1-6edccdb23c5f1ed2233e741e"":{""count"":2,""rate"":0.06896551724137931},""market-shock-v1-7ce41425393158f7b2b1700b"":{""count"":3,""rate"":0.10344827586206896},""market-shock-v1-7e7dbe30d146ec57ab21686f"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-8cdd46f076481ed3efc29e52"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-91df7bcecddd311ef7b1eef1"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-92dbb971bd4b2ede4179db14"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-94f58939c7fde6b8dd0bc649"":{""count"":2,""rate"":0.06896551724137931},""market-shock-v1-9671dab7cf31647bd7f04602"":{""count"":3,""rate"":0.10344827586206896},""market-shock-v1-a62f02a0507aa7599acc3aab"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-af2bd5c3e1bbac5ae0c2d7c1"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-b4927eb9e03bdcad4dbf81a7"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-b6c6f3383aac0450dcb54e36"":{""count"":1,""rate"":0.034482758620689655},""market-shock-v1-b7e390811d7f4b9663d100a6"":{""count"":1,""rate"":0.034482758620689655}}",0.27586206896551724,0.13793103448275862,0.10344827586206896,0.5172413793103449
stress,shock_sign,NEGATIVE_SHOCK_ONSET,21,15,11,8,6,0.2857142857142857,5,0.23809523809523808,10,0.47619047619047616,0.002133590572403179,0.0010270297366060332,0.010637547533092193,0.00864102656354718,-0.00036737115503623127,0.0002707062957286229,0.5238095238095238,0.4076607086997851,"{""RE_ENTRY"":{""count"":21,""rate"":1.0}}","{""14"":{""count"":10,""rate"":0.47619047619047616},""16"":{""count"":2,""rate"":0.09523809523809523},""18"":{""count"":1,""rate"":0.047619047619047616},""20"":{""count"":6,""rate"":0.2857142857142857},""28"":{""count"":1,""rate"":0.047619047619047616},""30"":{""count"":1,""rate"":0.047619047619047616}}","{""14:40:00+0000"":{""count"":4,""rate"":0.19047619047619047},""15:10:00+0000"":{""count"":4,""rate"":0.19047619047619047},""15:40:00+0000"":{""count"":6,""rate"":0.2857142857142857},""15:50:00+0000"":{""count"":3,""rate"":0.14285714285714285},""16:00:00+0000"":{""count"":2,""rate"":0.09523809523809523},""16:10:00+0000"":{""count"":2,""rate"":0.09523809523809523}}","{""AAL"":{""count"":1,""rate"":0.047619047619047616},""CIFR"":{""count"":6,""rate"":0.2857142857142857},""IREN"":{""count"":1,""rate"":0.047619047619047616},""MP"":{""count"":3,""rate"":0.14285714285714285},""MRNA"":{""count"":1,""rate"":0.047619047619047616},""NVTS"":{""count"":7,""rate"":0.3333333333333333},""SOFI"":{""count"":1,""rate"":0.047619047619047616},""WULF"":{""count"":1,""rate"":0.047619047619047616}}","{""2025-09-09"":{""count"":1,""rate"":0.047619047619047616},""2025-10-07"":{""count"":4,""rate"":0.19047619047619047},""2025-10-10"":{""count"":2,""rate"":0.09523809523809523},""2025-10-17"":{""count"":2,""rate"":0.09523809523809523},""2025-10-22"":{""count"":1,""rate"":0.047619047619047616},""2025-11-06"":{""count"":3,""rate"":0.14285714285714285},""2025-11-07"":{""count"":1,""rate"":0.047619047619047616},""2025-11-13"":{""count"":2,""rate"":0.09523809523809523},""2025-11-18"":{""count"":1,""rate"":0.047619047619047616},""2025-11-21"":{""count"":3,""rate"":0.14285714285714285},""2025-12-17"":{""count"":1,""rate"":0.047619047619047616}}","{""market-shock-v1-01084782cc5e4b5a35da9856"":{""count"":2,""rate"":0.09523809523809523},""market-shock-v1-1230ca526aa6cefdba878360"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-2423245724875c8fc6d1c694"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-2b511ac0dcaa63eb327e94e3"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-2d8606103f79fc350f8a3818"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-4ecf5f2f37252dd345f19818"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-66002120ad7ed8c40a7ac2f0"":{""count"":2,""rate"":0.09523809523809523},""market-shock-v1-6edccdb23c5f1ed2233e741e"":{""count"":2,""rate"":0.09523809523809523},""market-shock-v1-7ce41425393158f7b2b1700b"":{""count"":3,""rate"":0.14285714285714285},""market-shock-v1-7e7dbe30d146ec57ab21686f"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-91df7bcecddd311ef7b1eef1"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-92dbb971bd4b2ede4179db14"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-94f58939c7fde6b8dd0bc649"":{""count"":2,""rate"":0.09523809523809523},""market-shock-v1-af2bd5c3e1bbac5ae0c2d7c1"":{""count"":1,""rate"":0.047619047619047616},""market-shock-v1-b4927eb9e03bdcad4dbf81a7"":{""count"":1,""rate"":0.047619047619047616}}",0.3333333333333333,0.19047619047619047,0.14285714285714285,0.47619047619047616
stress,shock_sign,POSITIVE_SHOCK_ONSET,8,6,6,6,0,0.0,1,0.125,7,0.875,-0.0001646250600823517,0.002423082068995987,0.006281972539296866,0.004070458252612274,-0.004323993995508115,-0.006101707471874917,0.125,0.3790153899235323,"{""FIRST_ENTRY"":{""count"":2,""rate"":0.25},""RE_ENTRY"":{""count"":6,""rate"":0.75}}","{""10"":{""count"":1,""rate"":0.125},""14"":{""count"":5,""rate"":0.625},""32"":{""count"":1,""rate"":0.125},""8"":{""count"":1,""rate"":0.125}}","{""15:10:00+0000"":{""count"":1,""rate"":0.125},""15:20:00+0000"":{""count"":1,""rate"":0.125},""15:40:00+0000"":{""count"":5,""rate"":0.625},""17:10:00+0000"":{""count"":1,""rate"":0.125}}","{""IREN"":{""count"":3,""rate"":0.375},""NVTS"":{""count"":1,""rate"":0.125},""RGTI"":{""count"":1,""rate"":0.125},""RIOT"":{""count"":1,""rate"":0.125},""RIVN"":{""count"":1,""rate"":0.125},""WULF"":{""count"":1,""rate"":0.125}}","{""2025-11-13"":{""count"":1,""rate"":0.125},""2025-11-14"":{""count"":3,""rate"":0.375},""2025-11-25"":{""count"":1,""rate"":0.125},""2025-12-11"":{""count"":1,""rate"":0.125},""2025-12-12"":{""count"":1,""rate"":0.125},""2025-12-18"":{""count"":1,""rate"":0.125}}","{""market-shock-v1-308f5ca7c71aa5009adead48"":{""count"":1,""rate"":0.125},""market-shock-v1-8cdd46f076481ed3efc29e52"":{""count"":1,""rate"":0.125},""market-shock-v1-9671dab7cf31647bd7f04602"":{""count"":3,""rate"":0.375},""market-shock-v1-a62f02a0507aa7599acc3aab"":{""count"":1,""rate"":0.125},""market-shock-v1-b6c6f3383aac0450dcb54e36"":{""count"":1,""rate"":0.125},""market-shock-v1-b7e390811d7f4b9663d100a6"":{""count"":1,""rate"":0.125}}",0.375,0.375,0.375,0.625
stress,response_class,AMPLIFYING,25,19,16,11,5,0.2,5,0.2,15,0.6,0.002207742620625469,0.003418296971659488,0.009050563194677334,0.006535970979785449,-0.0016777458508069045,-0.0035185067993126137,0.4,0.38867524886360777,"{""FIRST_ENTRY"":{""count"":2,""rate"":0.08},""RE_ENTRY"":{""count"":23,""rate"":0.92}}","{""10"":{""count"":1,""rate"":0.04},""14"":{""count"":14,""rate"":0.56},""16"":{""count"":2,""rate"":0.08},""18"":{""count"":1,""rate"":0.04},""20"":{""count"":4,""rate"":0.16},""28"":{""count"":1,""rate"":0.04},""32"":{""count"":1,""rate"":0.04},""8"":{""count"":1,""rate"":0.04}}","{""14:40:00+0000"":{""count"":4,""rate"":0.16},""15:10:00+0000"":{""count"":5,""rate"":0.2},""15:20:00+0000"":{""count"":1,""rate"":0.04},""15:40:00+0000"":{""count"":10,""rate"":0.4},""15:50:00+0000"":{""count"":3,""rate"":0.12},""16:00:00+0000"":{""count"":1,""rate"":0.04},""17:10:00+0000"":{""count"":1,""rate"":0.04}}","{""AAL"":{""count"":1,""rate"":0.04},""CIFR"":{""count"":4,""rate"":0.16},""IREN"":{""count"":4,""rate"":0.16},""MP"":{""count"":3,""rate"":0.12},""MRNA"":{""count"":1,""rate"":0.04},""NVTS"":{""count"":7,""rate"":0.28},""RGTI"":{""count"":1,""rate"":0.04},""RIOT"":{""count"":1,""rate"":0.04},""RIVN"":{""count"":1,""rate"":0.04},""SOFI"":{""count"":1,""rate"":0.04},""WULF"":{""count"":1,""rate"":0.04}}","{""2025-09-09"":{""count"":1,""rate"":0.04},""2025-10-07"":{""count"":4,""rate"":0.16},""2025-10-10"":{""count"":1,""rate"":0.04},""2025-10-17"":{""count"":2,""rate"":0.08},""2025-10-22"":{""count"":1,""rate"":0.04},""2025-11-06"":{""count"":3,""rate"":0.12},""2025-11-07"":{""count"":1,""rate"":0.04},""2025-11-13"":{""count"":2,""rate"":0.08},""2025-11-14"":{""count"":3,""rate"":0.12},""2025-11-18"":{""count"":1,""rate"":0.04},""2025-11-21"":{""count"":1,""rate"":0.04},""2025-11-25"":{""count"":1,""rate"":0.04},""2025-12-11"":{""count"":1,""rate"":0.04},""2025-12-12"":{""count"":1,""rate"":0.04},""2025-12-17"":{""count"":1,""rate"":0.04},""2025-12-18"":{""count"":1,""rate"":0.04}}","{""market-shock-v1-01084782cc5e4b5a35da9856"":{""count"":2,""rate"":0.08},""market-shock-v1-1230ca526aa6cefdba878360"":{""count"":1,""rate"":0.04},""market-shock-v1-2423245724875c8fc6d1c694"":{""count"":1,""rate"":0.04},""market-shock-v1-2b511ac0dcaa63eb327e94e3"":{""count"":1,""rate"":0.04},""market-shock-v1-2d8606103f79fc350f8a3818"":{""count"":1,""rate"":0.04},""market-shock-v1-308f5ca7c71aa5009adead48"":{""count"":1,""rate"":0.04},""market-shock-v1-6edccdb23c5f1ed2233e741e"":{""count"":2,""rate"":0.08},""market-shock-v1-7ce41425393158f7b2b1700b"":{""count"":3,""rate"":0.12},""market-shock-v1-7e7dbe30d146ec57ab21686f"":{""count"":1,""rate"":0.04},""market-shock-v1-8cdd46f076481ed3efc29e52"":{""count"":1,""rate"":0.04},""market-shock-v1-91df7bcecddd311ef7b1eef1"":{""count"":1,""rate"":0.04},""market-shock-v1-92dbb971bd4b2ede4179db14"":{""count"":1,""rate"":0.04},""market-shock-v1-94f58939c7fde6b8dd0bc649"":{""count"":1,""rate"":0.04},""market-shock-v1-9671dab7cf31647bd7f04602"":{""count"":3,""rate"":0.12},""market-shock-v1-a62f02a0507aa7599acc3aab"":{""count"":1,""rate"":0.04},""market-shock-v1-af2bd5c3e1bbac5ae0c2d7c1"":{""count"":1,""rate"":0.04},""market-shock-v1-b4927eb9e03bdcad4dbf81a7"":{""count"":1,""rate"":0.04},""market-shock-v1-b6c6f3383aac0450dcb54e36"":{""count"":1,""rate"":0.04},""market-shock-v1-b7e390811d7f4b9663d100a6"":{""count"":1,""rate"":0.04}}",0.28,0.16,0.12,0.56
stress,response_class,RESISTING,4,3,3,3,1,0.25,1,0.25,2,0.5,-0.0029262909939572015,0.0006470707546240127,0.011845049660594407,0.008785202780316208,-9.077498741328792e-05,-0.0018332084565580251,0.5,0.46902919512338787,"{""RE_ENTRY"":{""count"":4,""rate"":1.0}}","{""14"":{""count"":1,""rate"":0.25},""20"":{""count"":2,""rate"":0.5},""30"":{""count"":1,""rate"":0.25}}","{""15:40:00+0000"":{""count"":1,""rate"":0.25},""16:00:00+0000"":{""count"":1,""rate"":0.25},""16:10:00+0000"":{""count"":2,""rate"":0.5}}","{""CIFR"":{""count"":2,""rate"":0.5},""NVTS"":{""count"":1,""rate"":0.25},""WULF"":{""count"":1,""rate"":0.25}}","{""2025-10-10"":{""count"":1,""rate"":0.25},""2025-11-13"":{""count"":1,""rate"":0.25},""2025-11-21"":{""count"":2,""rate"":0.5}}","{""market-shock-v1-4ecf5f2f37252dd345f19818"":{""count"":1,""rate"":0.25},""market-shock-v1-66002120ad7ed8c40a7ac2f0"":{""count"":2,""rate"":0.5},""market-shock-v1-94f58939c7fde6b8dd0bc649"":{""count"":1,""rate"":0.25}}",0.5,0.5,0.5,0.5
stress,response_class,NEUTRAL_EXACT,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
stress,response_class,NOT_SHOCK_ONSET,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
stress,response_class,UNKNOWN_INCOMPLETE,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
stress,resisting_descriptive_subtype,RESISTING_BUT_STILL_WITH_SHOCK,1,1,1,1,0,0.0,0,0.0,1,1.0,0.0010270297366060332,0.0010270297366060332,0.0010270297366060332,0.0010270297366060332,-0.009953386794124365,-0.009953386794124365,0.0,0.4892925989161487,"{""RE_ENTRY"":{""count"":1,""rate"":1.0}}","{""20"":{""count"":1,""rate"":1.0}}","{""16:10:00+0000"":{""count"":1,""rate"":1.0}}","{""WULF"":{""count"":1,""rate"":1.0}}","{""2025-11-21"":{""count"":1,""rate"":1.0}}","{""market-shock-v1-66002120ad7ed8c40a7ac2f0"":{""count"":1,""rate"":1.0}}",1.0,1.0,1.0,1.0
stress,resisting_descriptive_subtype,ABSOLUTELY_OPPOSING_SHOCK,3,3,3,2,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,-0.004244064570811613,0.00026711177264199227,0.015451056301923866,0.016543375824026384,0.0031967622814904045,0.006286969881008315,0.6666666666666666,0.4622747271924676,"{""RE_ENTRY"":{""count"":3,""rate"":1.0}}","{""14"":{""count"":1,""rate"":0.3333333333333333},""20"":{""count"":1,""rate"":0.3333333333333333},""30"":{""count"":1,""rate"":0.3333333333333333}}","{""15:40:00+0000"":{""count"":1,""rate"":0.3333333333333333},""16:00:00+0000"":{""count"":1,""rate"":0.3333333333333333},""16:10:00+0000"":{""count"":1,""rate"":0.3333333333333333}}","{""CIFR"":{""count"":2,""rate"":0.6666666666666666},""NVTS"":{""count"":1,""rate"":0.3333333333333333}}","{""2025-10-10"":{""count"":1,""rate"":0.3333333333333333},""2025-11-13"":{""count"":1,""rate"":0.3333333333333333},""2025-11-21"":{""count"":1,""rate"":0.3333333333333333}}","{""market-shock-v1-4ecf5f2f37252dd345f19818"":{""count"":1,""rate"":0.3333333333333333},""market-shock-v1-66002120ad7ed8c40a7ac2f0"":{""count"":1,""rate"":0.3333333333333333},""market-shock-v1-94f58939c7fde6b8dd0bc649"":{""count"":1,""rate"":0.3333333333333333}}",0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
