period,arm,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_shock_event_count,session_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_following_prediction_rate,material_opposing_prediction_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share,market_shock_state_v1,tail_phase_v1,phase_population,support_status,checkpoint_distribution_json
assessment,continuation_v1,continuation_v1,NEGATIVE_SHOCK_ONSET|FIRST_ENTRY,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,NEGATIVE_SHOCK_ONSET,FIRST_ENTRY,fresh_tail_entries,blocked_insufficient_support,{}
assessment,resistance_v1,resistance_v1,NEGATIVE_SHOCK_ONSET|FIRST_ENTRY,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,NEGATIVE_SHOCK_ONSET,FIRST_ENTRY,fresh_tail_entries,blocked_insufficient_support,{}
assessment,frozen_A1,frozen_A1,NEGATIVE_SHOCK_ONSET|FIRST_ENTRY,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,NEGATIVE_SHOCK_ONSET,FIRST_ENTRY,fresh_tail_entries,blocked_insufficient_support,{}
assessment,continuation_v1,continuation_v1,NEGATIVE_SHOCK_ONSET|PERSISTENT,47,35,12,20,11,14,0,35,6,13,16,0.6842105263157895,0.37142857142857144,0.6842105263157895,0.3157894736842105,0.3684210526315789,0.00182691367044794,0.0014751207710758947,0.5454545454545454,0.6666666666666666,0.14285714285714285,0.2,0.11428571428571428,0.3142857142857143,NEGATIVE_SHOCK_ONSET,PERSISTENT,persistent_checkpoint_rows_descriptive_not_independent,reported_descriptive,"{""10"":{""count"":11,""rate"":0.23404255319148937},""12"":{""count"":6,""rate"":0.1276595744680851},""14"":{""count"":3,""rate"":0.06382978723404255},""16"":{""count"":1,""rate"":0.02127659574468085},""18"":{""count"":2,""rate"":0.0425531914893617},""20"":{""count"":3,""rate"":0.06382978723404255},""22"":{""count"":2,""rate"":0.0425531914893617},""24"":{""count"":4,""rate"":0.0851063829787234},""26"":{""count"":1,""rate"":0.02127659574468085},""8"":{""count"":14,""rate"":0.2978723404255319}}"
assessment,resistance_v1,resistance_v1,NEGATIVE_SHOCK_ONSET|PERSISTENT,47,12,35,11,9,10,12,0,6,1,5,0.8571428571428571,0.5,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.007771564457249132,0.009335392964625837,0.8888888888888888,0.8333333333333334,0.16666666666666666,0.25,0.16666666666666666,0.25,NEGATIVE_SHOCK_ONSET,PERSISTENT,persistent_checkpoint_rows_descriptive_not_independent,reported_descriptive,"{""10"":{""count"":11,""rate"":0.23404255319148937},""12"":{""count"":6,""rate"":0.1276595744680851},""14"":{""count"":3,""rate"":0.06382978723404255},""16"":{""count"":1,""rate"":0.02127659574468085},""18"":{""count"":2,""rate"":0.0425531914893617},""20"":{""count"":3,""rate"":0.06382978723404255},""22"":{""count"":2,""rate"":0.0425531914893617},""24"":{""count"":4,""rate"":0.0851063829787234},""26"":{""count"":1,""rate"":0.02127659574468085},""8"":{""count"":14,""rate"":0.2978723404255319}}"
assessment,frozen_A1,frozen_A1,NEGATIVE_SHOCK_ONSET|PERSISTENT,47,20,27,15,11,13,8,12,6,5,9,0.45454545454545453,0.25,0.45454545454545453,0.5454545454545454,-0.09090909090909091,-0.003325989634908477,-0.0018643130848747993,0.45454545454545453,0.5714285714285714,0.15,0.2,0.1,0.25,NEGATIVE_SHOCK_ONSET,PERSISTENT,persistent_checkpoint_rows_descriptive_not_independent,reported_descriptive,"{""10"":{""count"":11,""rate"":0.23404255319148937},""12"":{""count"":6,""rate"":0.1276595744680851},""14"":{""count"":3,""rate"":0.06382978723404255},""16"":{""count"":1,""rate"":0.02127659574468085},""18"":{""count"":2,""rate"":0.0425531914893617},""20"":{""count"":3,""rate"":0.06382978723404255},""22"":{""count"":2,""rate"":0.0425531914893617},""24"":{""count"":4,""rate"":0.0851063829787234},""26"":{""count"":1,""rate"":0.02127659574468085},""8"":{""count"":14,""rate"":0.2978723404255319}}"
assessment,continuation_v1,continuation_v1,NEGATIVE_SHOCK_ONSET|RE_ENTRY,6,4,2,3,3,3,0,4,1,0,3,0.0,0.0,0.0,1.0,-1.0,-0.009023211157396056,0.0007828527283957121,0.6666666666666666,0.5,0.5,0.5,0.5,0.75,NEGATIVE_SHOCK_ONSET,RE_ENTRY,fresh_tail_entries,blocked_insufficient_support,"{""10"":{""count"":3,""rate"":0.5},""14"":{""count"":1,""rate"":0.16666666666666666},""20"":{""count"":1,""rate"":0.16666666666666666},""22"":{""count"":1,""rate"":0.16666666666666666}}"
assessment,resistance_v1,resistance_v1,NEGATIVE_SHOCK_ONSET|RE_ENTRY,6,2,4,2,2,2,2,0,0,0,2,,0.0,,,,-0.001957882315141551,-0.001957882315141551,0.5,0.5,0.5,0.5,0.5,0.5,NEGATIVE_SHOCK_ONSET,RE_ENTRY,fresh_tail_entries,blocked_insufficient_support,"{""10"":{""count"":3,""rate"":0.5},""14"":{""count"":1,""rate"":0.16666666666666666},""20"":{""count"":1,""rate"":0.16666666666666666},""22"":{""count"":1,""rate"":0.16666666666666666}}"
assessment,frozen_A1,frozen_A1,NEGATIVE_SHOCK_ONSET|RE_ENTRY,6,4,2,4,4,4,2,2,0,0,4,,0.0,,,,-5.5419842836475436e-05,-0.0013199239900302414,0.5,0.6666666666666666,0.25,0.25,0.25,0.25,NEGATIVE_SHOCK_ONSET,RE_ENTRY,fresh_tail_entries,blocked_insufficient_support,"{""10"":{""count"":3,""rate"":0.5},""14"":{""count"":1,""rate"":0.16666666666666666},""20"":{""count"":1,""rate"":0.16666666666666666},""22"":{""count"":1,""rate"":0.16666666666666666}}"
assessment,continuation_v1,continuation_v1,POSITIVE_SHOCK_ONSET|FIRST_ENTRY,1,1,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,1.0,-1.0,-0.04600083386465042,-0.04600083386465042,0.0,0.0,1.0,1.0,1.0,1.0,POSITIVE_SHOCK_ONSET,FIRST_ENTRY,fresh_tail_entries,blocked_insufficient_support,"{""8"":{""count"":1,""rate"":1.0}}"
assessment,resistance_v1,resistance_v1,POSITIVE_SHOCK_ONSET|FIRST_ENTRY,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,POSITIVE_SHOCK_ONSET,FIRST_ENTRY,fresh_tail_entries,blocked_insufficient_support,"{""8"":{""count"":1,""rate"":1.0}}"
assessment,frozen_A1,frozen_A1,POSITIVE_SHOCK_ONSET|FIRST_ENTRY,1,1,0,1,1,1,0,1,0,1,0,1.0,1.0,1.0,0.0,1.0,0.04600083386465042,0.04600083386465042,1.0,1.0,1.0,1.0,1.0,1.0,POSITIVE_SHOCK_ONSET,FIRST_ENTRY,fresh_tail_entries,blocked_insufficient_support,"{""8"":{""count"":1,""rate"":1.0}}"
