partition,session,checkpoint,market_proxy_v1,market_shock_state_v1,market_shock_event_id_v1,shock_sign_v1,market_return_w0_v1,market_range_w0_v1,market_return_w1_v1,market_range_w1_v1,fresh_high_m1c_episode_count,represented_stock_count,amplifying_episode_count,resisting_episode_count,neutral_exact_episode_count
development,2024-01-02,8,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-1d0069c7d2675a0a9fecae4f,1.0,0.002291666264739355,0.0032449958395483194,-0.0011252493461868995,0.0018893661445190933,0,0,0,0,0
development,2024-01-02,14,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-8c475d1a594a38d32d48318f,-1.0,-0.001860476716730984,0.002547256704679722,-0.00043118954800834075,0.001272223547513865,0,0,0,0,0
development,2024-01-03,10,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-efce4836a54bf219d85a0021,-1.0,-0.0027157307247752884,0.0039698178906695455,0.0008531931912951941,0.0026459940556647393,0,0,0,0,0
development,2024-01-03,20,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-1732afbd1713f1b64fdb6931,1.0,0.0019245863160426131,0.0023521501469799416,0.00021408602045884772,0.001241647739836052,0,0,0,0,0
development,2024-01-04,30,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-48df2ff397f075e74d17480e,-1.0,-0.0011749635397327364,0.0020939987834937205,-0.0007896153455440399,0.0012588865991479338,0,0,0,0,0
development,2024-01-05,22,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-3317528a086f755d0648a95e,-1.0,-0.0012819959048163715,0.0022215756657858335,8.752038163369833e-05,0.0015988451052714942,0,0,0,0,0
development,2024-01-05,24,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-1e172565061cb4d6cda84af5,-1.0,-0.002585420962953716,0.002991698070846938,0.00010630185058636778,0.0018339647368025025,0,0,0,0,0
development,2024-01-05,32,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-a9a56a84baa39648397b4f05,-1.0,-0.0029580198747245555,0.0031725257116768353,-0.0001284066350151198,0.001070457624926343,0,0,0,0,0
development,2024-01-05,34,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-13abcac9bb791e13d2b71389,-1.0,-0.002080095122649848,0.0027457179307028958,-0.00023564841992109253,0.0009421524642485845,0,0,0,0,0
development,2024-01-09,10,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-9672fe37d2fdec61eb614a90,1.0,0.0024228350211797896,0.0031633639579685415,0.0005746565417517221,0.0019785639313088777,0,0,0,0,0
development,2024-01-11,12,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-510606358b0e55a2464994ce,1.0,0.0027174333941044787,0.003136616704662812,-0.005798077820056503,0.006349765362932157,0,0,0,0,0
development,2024-01-11,18,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-28b1eef053b405b38bc386e7,-1.0,-0.0022656188432952024,0.0027116363147401895,0.00033393776549355594,0.0024127167630119137,0,0,0,0,0
development,2024-01-11,22,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-7374f65f06f12d722b946c6d,-1.0,-0.0019536530588712656,0.003270422772108241,-0.001272061719817316,0.0016960401232521641,0,0,0,0,0
development,2024-01-11,28,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-b7730954453fbd1de97eced6,1.0,0.001232376674886313,0.002338498912875346,-0.0002125932763767209,0.001189966128624759,0,0,0,0,0
development,2024-01-12,16,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-9fad431098ca37050208647d,-1.0,-0.0021947588263908657,0.0024429061786893666,0.001223434534506841,0.0016860461829522454,0,0,0,0,0
development,2024-01-12,20,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-9f8e27f49b874db3b269e614,1.0,0.002408072575316985,0.0026187335292955946,-0.0018589958071692616,0.0028721425144279844,0,0,0,0,0
