period,analysis_level,subgroup_type,subgroup,quantity,estimate_type,n,sessions,estimate,lower_95,upper_95,status
assessment,high_tail_checkpoint,overall,ALL,future_absolute_10m,mean,898,126,0.009775429804030098,0.008944737337784885,0.010685494906526266,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,future_absolute_10m,median,898,126,0.007537388561022453,0.006730890948151302,0.008371617098307095,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,future_absolute_15m,mean,898,126,0.011785088915479646,0.010700764852329344,0.012908291368016361,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,future_absolute_15m,median,898,126,0.009030671546454577,0.00777540060609526,0.010050428546306956,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,post_share_of_local_range_v1,mean,898,126,0.4153298962823356,0.40900006519453674,0.42191004114895236,descriptive_support_available
assessment,high_tail_checkpoint,overall,ALL,post_share_of_local_range_v1,median,898,126,0.41073226582638045,0.40187817910595575,0.42050841524026866,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_10m,mean,371,126,0.009950440216887332,0.008786755865392772,0.011251518861446711,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_10m,median,371,126,0.0074716349686373505,0.006259073109255194,0.00842621112390983,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_15m,mean,371,126,0.011442167944285743,0.01008123245818369,0.012861703104679002,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,future_absolute_15m,median,371,126,0.008566737107539437,0.007109339732411962,0.010082125157133392,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,post_share_of_local_range_v1,mean,371,126,0.421939781601375,0.4088785646242605,0.43585303412936705,descriptive_support_available
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,post_share_of_local_range_v1,median,371,126,0.42003100692290546,0.40446245289060445,0.4351161526092673,descriptive_support_available
assessment,high_tail_checkpoint,phase,PERSISTENT,future_absolute_10m,mean,462,79,0.009861846259073204,0.008836133721939001,0.010800479707711008,descriptive_support_available
