period,analysis_level,subgroup_type,subgroup,concentration_dimension,value,count,share_within_subgroup
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-01,41,0.1105121293800539
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-02,32,0.0862533692722372
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-03,43,0.11590296495956873
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-04,50,0.1347708894878706
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-05,46,0.12398921832884097
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-06,47,0.12668463611859837
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-07,61,0.16442048517520216
assessment,high_tail_checkpoint,phase,FIRST_ENTRY,month,2025-08,51,0.13746630727762804
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-01,70,0.15151515151515152
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-02,45,0.09740259740259741
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-03,31,0.0670995670995671
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-04,53,0.11471861471861472
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-05,65,0.1406926406926407
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-06,46,0.09956709956709957
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-07,90,0.19480519480519481
assessment,high_tail_checkpoint,phase,PERSISTENT,month,2025-08,62,0.1341991341991342
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-01,13,0.2
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-02,9,0.13846153846153847
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-03,5,0.07692307692307693
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-04,10,0.15384615384615385
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-05,11,0.16923076923076924
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-06,5,0.07692307692307693
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-07,10,0.15384615384615385
assessment,high_tail_checkpoint,phase,RE_ENTRY,month,2025-08,2,0.03076923076923077
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,month,2025-01,4,0.2
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,month,2025-02,4,0.2
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,month,2025-03,1,0.05
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,month,2025-04,3,0.15
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,month,2025-05,1,0.05
assessment,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,month,2025-06,2,0.1
