period,analysis_level,comparison,group_a,group_b,quantity,estimate_type,n_a,n_b,sessions_a,sessions_b,estimate_a_minus_b,lower_95,upper_95,status
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,mean,371,462,126,79,8.859395781412802e-05,-0.0014626591702360224,0.0014723330313105812,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_10m,median,371,462,126,79,-0.00044945285713917163,-0.0021140734867726814,0.0008072084085269347,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,mean,371,462,126,79,-0.00111275183999404,-0.002923875889998283,0.0010320218980856808,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,future_absolute_15m,median,371,462,126,79,-0.0012090964225571592,-0.00311390367273773,0.0011850876629581205,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,mean,371,462,126,79,0.010116960898600091,-0.004946328171144012,0.027616137978913307,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_PERSISTENT,FIRST_ENTRY,PERSISTENT,post_share_of_local_range_v1,median,371,462,126,79,0.01613491308192988,-0.003452052769653841,0.035884242845389706,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,mean,371,65,126,43,0.001788137572856464,-0.0008240379248896362,0.004280033253977304,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_10m,median,371,65,126,43,0.0019595082281365457,-0.0008105483988422713,0.004242001729476325,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,mean,371,65,126,43,0.003171512583771104,0.0011452516560580405,0.005303368426154029,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,future_absolute_15m,median,371,65,126,43,0.002421094983406119,-7.38771205515114e-05,0.005011298083607512,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,mean,371,65,126,43,0.019409862789910526,-0.010805547287164586,0.05378691602266979,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,median,371,65,126,43,0.008312239805517763,-0.024591631939522803,0.04655586020263076,descriptive_support_available
assessment,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,mean,462,65,79,43,0.001699543615042336,-0.0007106747701345307,0.00406732772700515,descriptive_support_available
assessment,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,median,462,65,79,43,0.0024089610852757173,0.00012415838265760723,0.004639127247680039,descriptive_support_available
assessment,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,mean,462,65,79,43,0.004284264423765144,0.0019118493761977717,0.006598218852952469,descriptive_support_available
assessment,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,median,462,65,79,43,0.0036301914059632782,0.0010126835636018554,0.006240172284669003,descriptive_support_available
assessment,high_tail_checkpoint,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,post_share_of_local_range_v1,mean,462,65,79,43,0.009292901891310434,-0.017026239511811363,0.03996837347590573,descriptive_support_available
