period,analysis_level,exclusion_dimension,excluded,subgroup_type,subgroup,quantity,n,sessions,mean,median,status
assessment,high_tail_checkpoint,month,2025-01,phase,FIRST_ENTRY,future_absolute_10m,330,109,0.009830600238848207,0.007208934878642921,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,FIRST_ENTRY,future_absolute_15m,330,109,0.011427860270486092,0.008538236582790836,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,FIRST_ENTRY,post_share_of_local_range_v1,330,109,0.42052986744794907,0.4218487055640322,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,PERSISTENT,future_absolute_10m,392,69,0.009798791863173334,0.007775673023104885,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,PERSISTENT,future_absolute_15m,392,69,0.01252882031303694,0.009642073216617846,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,PERSISTENT,post_share_of_local_range_v1,392,69,0.4109473389060045,0.403459033886261,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,RE_ENTRY,future_absolute_10m,52,35,0.008482577939240664,0.005651610230268545,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,RE_ENTRY,future_absolute_15m,52,35,0.008021004122142576,0.006379304845957848,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,phase,RE_ENTRY,post_share_of_local_range_v1,52,35,0.40133033364656556,0.41384812623420364,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,16,15,0.006806481112395173,0.004517899362386725,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-01,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,16,15,0.00861271947577672,0.008521165048894165,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-01,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,16,15,0.5451132956873892,0.5651385515578129,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-01,movement_consumed_bucket,HIGH,future_absolute_10m,758,109,0.009785507710060747,0.0075117671878590885,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,movement_consumed_bucket,HIGH,future_absolute_15m,758,109,0.011822928963997198,0.008999508544673263,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-01,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,758,109,0.4116274112501321,0.40614452120387257,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,FIRST_ENTRY,future_absolute_10m,339,113,0.009768970341603931,0.007230979768950102,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,FIRST_ENTRY,future_absolute_15m,339,113,0.010922794881782313,0.008173354098570796,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,FIRST_ENTRY,post_share_of_local_range_v1,339,113,0.41692865856427164,0.4174707168380464,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,PERSISTENT,future_absolute_10m,417,71,0.009684127124727953,0.007794271726818909,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,PERSISTENT,future_absolute_15m,417,71,0.012542751891067301,0.009816174106191256,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,PERSISTENT,post_share_of_local_range_v1,417,71,0.4123645256791394,0.40479262228593343,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,RE_ENTRY,future_absolute_10m,56,38,0.00837795336135064,0.005651610230268545,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,RE_ENTRY,future_absolute_15m,56,38,0.008456680847253576,0.00612087277691317,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,phase,RE_ENTRY,post_share_of_local_range_v1,56,38,0.3991513294196344,0.4067468576870581,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,16,13,0.0048968987648103,0.0036879820097410754,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-02,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,16,13,0.005524109121180729,0.004362874790658334,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-02,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,16,13,0.5214140845072635,0.5253699378478669,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-02,movement_consumed_bucket,HIGH,future_absolute_10m,796,113,0.00972459417690196,0.0075117671878590885,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,movement_consumed_bucket,HIGH,future_absolute_15m,796,113,0.011706461538952988,0.008999508544673263,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-02,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,796,113,0.41118677331265396,0.40734159408088977,descriptive_support_available
