period,analysis_level,field,reason,count,rate
assessment,high_tail_checkpoint,phase_history,complete,898,1.0
assessment,high_tail_checkpoint,movement_consumed,complete,898,1.0
assessment,high_tail_checkpoint,post_share_of_local_range,complete,898,1.0
assessment,high_tail_checkpoint,frozen_A1,complete,898,1.0
assessment,fresh_high_tail_episode,phase_history,complete,417,1.0
assessment,fresh_high_tail_episode,movement_consumed,complete,417,1.0
assessment,fresh_high_tail_episode,post_share_of_local_range,complete,417,1.0
assessment,fresh_high_tail_episode,frozen_A1,complete,417,1.0
stress,high_tail_checkpoint,phase_history,complete,1146,1.0
stress,high_tail_checkpoint,movement_consumed,complete,1146,1.0
stress,high_tail_checkpoint,post_share_of_local_range,complete,1146,1.0
stress,high_tail_checkpoint,frozen_A1,complete,1146,1.0
stress,fresh_high_tail_episode,phase_history,complete,525,1.0
stress,fresh_high_tail_episode,movement_consumed,complete,525,1.0
stress,fresh_high_tail_episode,post_share_of_local_range,complete,525,1.0
stress,fresh_high_tail_episode,frozen_A1,complete,525,1.0
development,source_checkpoint_coverage,previous_close_option_context,complete,18596,0.25990943143064793
development,source_checkpoint_coverage,previous_close_option_context,M1C_probability_undefined_not_scored,52952,0.7400905685693521
assessment,source_checkpoint_coverage,previous_close_option_context,complete,13914,0.29080193115555836
assessment,source_checkpoint_coverage,previous_close_option_context,M1C_probability_undefined_not_scored,33933,0.7091980688444417
stress,source_checkpoint_coverage,previous_close_option_context,complete,18136,1.0
stress,source_checkpoint_coverage,previous_close_option_context,source_membership_conditioned_on_available_previous_close_options,0,0.0
