period,analysis_level,phase,stock_market_alignment,n,sessions,mean_pre_entry_market_return_10m,median_pre_entry_market_return_10m,mean_pre_entry_stock_return_10m,median_pre_entry_stock_return_10m,fixed_pre_entry_horizon_minutes,sector_context_status,market_volatility_state_status,status
assessment,high_tail_checkpoint,FIRST_ENTRY,ALIGNED,229,106,0.00014937165003077338,0.0001918585315687563,0.0008811720271373795,0.002105474683640538,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY,OPPOSED,142,80,0.00010120683381803184,3.928578923498546e-05,-0.0023777041166141225,-0.0023791535769250843,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,high_tail_checkpoint,FIRST_ENTRY,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,high_tail_checkpoint,PERSISTENT,ALIGNED,298,71,0.00012223467071586968,0.00022620609910941372,0.0033167041537402646,0.002620281295841946,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,high_tail_checkpoint,PERSISTENT,OPPOSED,164,61,-4.7335801611229205e-05,-3.167070489771477e-05,6.484476334776411e-05,0.0006961311831225884,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,high_tail_checkpoint,PERSISTENT,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,high_tail_checkpoint,RE_ENTRY,ALIGNED,43,32,0.00010452920963476932,0.0001867737589247645,0.003669674271075613,0.0023411835772353074,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,high_tail_checkpoint,RE_ENTRY,OPPOSED,21,18,-0.00025151633565389603,-0.00022357241221820858,0.004558548367788982,0.005014798503628827,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,high_tail_checkpoint,RE_ENTRY,FLAT_OR_UNKNOWN,1,1,-0.0007385444644204352,-0.0007385444644204352,0.0,0.0,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,fresh_high_tail_episode,FIRST_ENTRY,ALIGNED,229,106,0.00014937165003077338,0.0001918585315687563,0.0008811720271373795,0.002105474683640538,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,fresh_high_tail_episode,FIRST_ENTRY,OPPOSED,142,80,0.00010120683381803184,3.928578923498546e-05,-0.0023777041166141225,-0.0023791535769250843,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,fresh_high_tail_episode,FIRST_ENTRY,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT,ALIGNED,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT,OPPOSED,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,fresh_high_tail_episode,RE_ENTRY,ALIGNED,31,23,1.121900548230905e-05,0.0001867737589247645,0.0036811667960817795,0.0021625845986310644,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
assessment,fresh_high_tail_episode,RE_ENTRY,OPPOSED,15,14,-0.00028362581875129156,-0.00013961336236077693,0.0071111006855775665,0.0061255934266827225,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
assessment,fresh_high_tail_episode,RE_ENTRY,FLAT_OR_UNKNOWN,0,0,,,,,10,out_of_scope_not_available,out_of_scope_not_available,blocked_insufficient_support
stress,high_tail_checkpoint,FIRST_ENTRY,ALIGNED,270,64,0.0006328664529277142,0.0006327293016220442,0.006528503111691616,0.005851483554448374,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
stress,high_tail_checkpoint,FIRST_ENTRY,OPPOSED,185,57,-5.842068062428673e-06,-5.962060368412561e-05,0.0024818609860455597,0.0014059325448210064,10,out_of_scope_not_available,out_of_scope_not_available,descriptive_support_available
