period,analysis_level,dimension,value,count,share
assessment,high_tail_checkpoint,m1c_tail_phase_v1,FIRST_ENTRY,371,0.4131403118040089
assessment,high_tail_checkpoint,m1c_tail_phase_v1,PERSISTENT,462,0.5144766146993318
assessment,high_tail_checkpoint,m1c_tail_phase_v1,RE_ENTRY,65,0.07238307349665925
assessment,high_tail_checkpoint,movement_consumed_bucket_v1,HIGH,878,0.977728285077951
assessment,high_tail_checkpoint,movement_consumed_bucket_v1,LOW_OR_EQUAL,20,0.022271714922048998
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|HIGH,366,0.40757238307349664
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|LOW_OR_EQUAL,5,0.005567928730512249
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,PERSISTENT|HIGH,450,0.5011135857461024
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,PERSISTENT|LOW_OR_EQUAL,12,0.013363028953229399
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,RE_ENTRY|HIGH,62,0.06904231625835189
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,RE_ENTRY|LOW_OR_EQUAL,3,0.0033407572383073497
assessment,high_tail_checkpoint,stock,AAL,78,0.08685968819599109
assessment,high_tail_checkpoint,stock,AAOI,30,0.0334075723830735
assessment,high_tail_checkpoint,stock,APLD,46,0.051224944320712694
assessment,high_tail_checkpoint,stock,ASTS,51,0.05679287305122494
assessment,high_tail_checkpoint,stock,CIFR,47,0.052338530066815145
assessment,high_tail_checkpoint,stock,HIMS,30,0.0334075723830735
assessment,high_tail_checkpoint,stock,IONQ,97,0.10801781737193764
assessment,high_tail_checkpoint,stock,IREN,52,0.05790645879732739
assessment,high_tail_checkpoint,stock,MARA,53,0.05902004454342984
assessment,high_tail_checkpoint,stock,MP,85,0.09465478841870824
assessment,high_tail_checkpoint,stock,MRNA,18,0.0200445434298441
assessment,high_tail_checkpoint,stock,MSTR,30,0.0334075723830735
assessment,high_tail_checkpoint,stock,NVTS,32,0.035634743875278395
assessment,high_tail_checkpoint,stock,QBTS,33,0.036748329621380846
assessment,high_tail_checkpoint,stock,RGTI,27,0.030066815144766147
assessment,high_tail_checkpoint,stock,RIOT,40,0.044543429844097995
assessment,high_tail_checkpoint,stock,RIVN,23,0.025612472160356347
assessment,high_tail_checkpoint,stock,SMCI,26,0.028953229398663696
assessment,high_tail_checkpoint,stock,SOFI,45,0.05011135857461024
assessment,high_tail_checkpoint,stock,WULF,55,0.061247216035634745
assessment,high_tail_checkpoint,month,2025-01,124,0.13808463251670378
assessment,high_tail_checkpoint,month,2025-02,86,0.0957683741648107
assessment,high_tail_checkpoint,month,2025-03,79,0.08797327394209355
assessment,high_tail_checkpoint,month,2025-04,113,0.12583518930957685
assessment,high_tail_checkpoint,month,2025-05,122,0.1358574610244989
assessment,high_tail_checkpoint,month,2025-06,98,0.1091314031180401
assessment,high_tail_checkpoint,month,2025-07,161,0.17928730512249444
assessment,high_tail_checkpoint,month,2025-08,115,0.12806236080178174
assessment,high_tail_checkpoint,session,2025-01-02,14,0.015590200445434299
assessment,high_tail_checkpoint,session,2025-01-03,19,0.021158129175946547
assessment,high_tail_checkpoint,session,2025-01-06,23,0.025612472160356347
assessment,high_tail_checkpoint,session,2025-01-07,10,0.011135857461024499
assessment,high_tail_checkpoint,session,2025-01-08,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-01-10,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-01-13,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-01-14,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-01-15,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-01-16,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-01-21,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-01-22,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-01-23,15,0.01670378619153675
assessment,high_tail_checkpoint,session,2025-01-24,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-01-27,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-01-30,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-01-31,16,0.017817371937639197
assessment,high_tail_checkpoint,session,2025-02-03,12,0.013363028953229399
assessment,high_tail_checkpoint,session,2025-02-05,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-02-06,18,0.0200445434298441
assessment,high_tail_checkpoint,session,2025-02-07,21,0.02338530066815145
assessment,high_tail_checkpoint,session,2025-02-13,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-02-14,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-02-18,10,0.011135857461024499
assessment,high_tail_checkpoint,session,2025-02-19,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-02-20,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-02-24,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-02-25,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-02-27,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-02-28,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-03-03,7,0.0077951002227171495
assessment,high_tail_checkpoint,session,2025-03-04,10,0.011135857461024499
assessment,high_tail_checkpoint,session,2025-03-05,10,0.011135857461024499
assessment,high_tail_checkpoint,session,2025-03-06,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-03-07,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-03-11,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-03-17,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-03-18,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-03-21,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-03-24,11,0.012249443207126948
assessment,high_tail_checkpoint,session,2025-03-25,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-03-26,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-03-27,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-03-28,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-03-31,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-04-01,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-04-02,12,0.013363028953229399
assessment,high_tail_checkpoint,session,2025-04-03,10,0.011135857461024499
assessment,high_tail_checkpoint,session,2025-04-04,35,0.03897550111358575
assessment,high_tail_checkpoint,session,2025-04-11,9,0.01002227171492205
assessment,high_tail_checkpoint,session,2025-04-14,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-04-15,11,0.012249443207126948
assessment,high_tail_checkpoint,session,2025-04-16,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-04-17,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-04-21,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-04-22,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-04-23,14,0.015590200445434299
assessment,high_tail_checkpoint,session,2025-04-24,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-04-25,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-04-28,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-05-05,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-05-08,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-05-09,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-05-12,33,0.036748329621380846
assessment,high_tail_checkpoint,session,2025-05-13,14,0.015590200445434299
assessment,high_tail_checkpoint,session,2025-05-14,9,0.01002227171492205
assessment,high_tail_checkpoint,session,2025-05-15,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-05-16,11,0.012249443207126948
assessment,high_tail_checkpoint,session,2025-05-19,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-05-20,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-05-21,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-05-22,21,0.02338530066815145
assessment,high_tail_checkpoint,session,2025-05-27,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-05-28,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-05-29,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-05-30,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-06-02,21,0.02338530066815145
assessment,high_tail_checkpoint,session,2025-06-03,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-06-04,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-06-05,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-06-09,10,0.011135857461024499
assessment,high_tail_checkpoint,session,2025-06-10,7,0.0077951002227171495
assessment,high_tail_checkpoint,session,2025-06-11,9,0.01002227171492205
assessment,high_tail_checkpoint,session,2025-06-12,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-06-13,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-06-17,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-06-20,11,0.012249443207126948
assessment,high_tail_checkpoint,session,2025-06-23,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-06-25,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-06-26,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-06-27,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-06-30,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-07-01,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-07-02,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-07-03,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-07-07,8,0.008908685968819599
assessment,high_tail_checkpoint,session,2025-07-09,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-07-10,16,0.017817371937639197
assessment,high_tail_checkpoint,session,2025-07-11,16,0.017817371937639197
assessment,high_tail_checkpoint,session,2025-07-14,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-07-16,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-07-17,8,0.008908685968819599
assessment,high_tail_checkpoint,session,2025-07-18,13,0.014476614699331848
assessment,high_tail_checkpoint,session,2025-07-21,16,0.017817371937639197
assessment,high_tail_checkpoint,session,2025-07-22,12,0.013363028953229399
assessment,high_tail_checkpoint,session,2025-07-23,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-07-25,5,0.005567928730512249
assessment,high_tail_checkpoint,session,2025-07-28,16,0.017817371937639197
assessment,high_tail_checkpoint,session,2025-07-29,13,0.014476614699331848
assessment,high_tail_checkpoint,session,2025-07-30,9,0.01002227171492205
assessment,high_tail_checkpoint,session,2025-07-31,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-08-01,21,0.02338530066815145
assessment,high_tail_checkpoint,session,2025-08-04,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-08-05,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-08-06,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-08-07,7,0.0077951002227171495
assessment,high_tail_checkpoint,session,2025-08-08,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-08-11,8,0.008908685968819599
assessment,high_tail_checkpoint,session,2025-08-12,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-08-13,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-08-14,14,0.015590200445434299
assessment,high_tail_checkpoint,session,2025-08-15,7,0.0077951002227171495
assessment,high_tail_checkpoint,session,2025-08-18,15,0.01670378619153675
assessment,high_tail_checkpoint,session,2025-08-19,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-08-20,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-08-22,20,0.022271714922048998
assessment,high_tail_checkpoint,checkpoint,6,360,0.40089086859688194
assessment,high_tail_checkpoint,checkpoint,8,134,0.1492204899777283
assessment,high_tail_checkpoint,checkpoint,10,141,0.15701559020044542
assessment,high_tail_checkpoint,checkpoint,12,41,0.045657015590200446
assessment,high_tail_checkpoint,checkpoint,14,67,0.07461024498886415
assessment,high_tail_checkpoint,checkpoint,16,38,0.042316258351893093
assessment,high_tail_checkpoint,checkpoint,18,23,0.025612472160356347
assessment,high_tail_checkpoint,checkpoint,20,30,0.0334075723830735
