period,method,timing_window,horizon_minutes,eligible_m1c_episodes,direction_resolved_n,abstain_n,coverage,median_confirmation_delay_seconds,direction_accuracy,balanced_accuracy,up_precision,down_precision,up_recall,down_recall,mean_signed_forward_log_return,median_signed_forward_log_return,mean_signed_mfe,mean_signed_mae,proportion_positive_signed_returns,accuracy_ci95_low,accuracy_ci95_high,useful_joint_rate,joint_rate_over_all_m1c_episodes
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-60s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-60s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-60s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-30s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-30s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-30s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-15s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-15s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-15s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-5s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-5s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T-5s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+1s,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+1s,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+1s,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+5s,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+5s,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+5s,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+15s,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+15s,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+15s,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+30s,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+30s,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+30s,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+60s,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+60s,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M01_TRADE_IMBALANCE_SIGN,T0_to_T+60s,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-60s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-60s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-60s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-30s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-30s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-30s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-15s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-15s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-15s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-5s_to_T0,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-5s_to_T0,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T-5s_to_T0,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T0_to_T+1s,5,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T0_to_T+1s,10,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T0_to_T+1s,15,0,0,0,,,,,,,,,,,,,,,,,
descriptive_development_only,M02_QUOTE_IMBALANCE_SIGN,T0_to_T+5s,5,0,0,0,,,,,,,,,,,,,,,,,
