model,subgroup,log_loss,brier_score,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,mean_probability_realised_class,sessions,stocks
B0,pooled_assessment,0.364340173433045,0.10732306856777,0.665779387373125,0.230687419628685,-0.253861646314787,0.977077528829575,0.0247578529024921,0.127444407196335,6262,0.770500047343462,157,20
B1,pooled_assessment,0.36422564705508,0.107289442421666,0.66556208026211,0.230786658977689,-0.252050115461445,0.975058165501001,0.0241256243864714,0.127444407196335,6262,0.770960036434134,157,20
B0,high_u1_probability,0.424745176723202,0.130527363004409,0.651778092969543,0.261681140239676,-0.232582793558453,0.982963032648601,0.0291712574151774,0.160596630356652,2733,0.723242666430055,157,20
B1,high_u1_probability,0.424638479746181,0.130491366852719,0.652118496318163,0.261851168819657,-0.229882507164345,0.984028166933556,0.0289962168868677,0.160596630356652,2733,0.723391279637538,157,20
B0,low_u1_probability,0.317534125460683,0.0893427480742996,0.652387931399999,0.183179774394685,-0.316487053480601,0.951316150265919,0.0225799158528846,0.101755731372935,3529,0.807118392142751,157,20
B1,low_u1_probability,0.317413532311818,0.0893109583753301,0.652075748143134,0.182928524248959,-0.30795119572791,0.951046795684399,0.0216342619887915,0.101755731372935,3529,0.807819657182966,157,20
B0,high_transition_probability,0.417526691535902,0.127090101723671,0.633557152994998,0.249243681644026,-0.410799414527167,0.880608236033984,0.0332370486482827,0.153529462389695,2913,0.728860082252898,157,20
B1,high_transition_probability,0.417295456416292,0.127019055949573,0.63398828484464,0.249335246146084,-0.408505494686625,0.878247291824643,0.0323365976159161,0.153529462389695,2913,0.729517002834828,157,20
B0,low_transition_probability,0.318063680127324,0.0901241803881753,0.676613266381366,0.204811481211765,0.0524767745180451,1.12761146148229,0.0181261209847354,0.104748338247049,3349,0.806730122830589,157,20
B1,low_transition_probability,0.318050699620269,0.0901231122892265,0.675838287227119,0.204719678204627,0.0493114059666187,1.12362295798375,0.0177445350009175,0.104748338247049,3349,0.807018765889185,157,20
B0,actual_hidden_event_within_6_bars,0.36284695454234,0.103851904896692,0.542947804210895,0.11562971129687,-1.78870383800854,0.229196173622581,0.0719310692697139,0.103493013617315,1641,0.759117289386876,157,20
B1,actual_hidden_event_within_6_bars,0.362759862156502,0.10380044073219,0.541665877652281,0.115482938181694,-1.7940890028005,0.225290593663338,0.0714921250383123,0.103493013617315,1641,0.759444336095386,157,20
B0,no_hidden_event_within_6_bars,0.364870226225093,0.10855523888584,0.706305693822697,0.300193347469914,0.395457174005265,1.28274485350312,0.012816094194002,0.135946511689528,4621,0.774540622153789,157,20
B1,no_hidden_event_within_6_bars,0.364745961513241,0.108527944759453,0.706466391278775,0.30093433527869,0.40115684014889,1.28162735676101,0.0125799352877635,0.135946511689528,4621,0.775047802236542,157,20
