model,subgroup,log_loss,brier_score,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,mean_probability_realised_class,sessions,stocks,year_month
B0,2025-01,0.37747091412792,0.11357485477529,0.680784397031294,0.226324534334554,-0.07205040126496,0.976774648151625,0.0202107776758306,0.13625,800,0.772044612107391,20,20,2025-01
B1,2025-01,0.377328920899535,0.113524411712602,0.681076488004355,0.22644370121361,-0.0709473464653733,0.975019207588565,0.0201695747950123,0.13625,800,0.7724700917608,20,20,2025-01
B0,2025-02,0.340048652129055,0.0989364179517327,0.705505804311776,0.242891780516245,0.0553345094017999,1.16485072744427,0.0259791893665193,0.118421052631579,760,0.785753671756536,19,20,2025-02
B1,2025-02,0.339876000423882,0.0988944950071359,0.70542288557214,0.243623235912612,0.0566570929620736,1.16281223521382,0.0238344172828989,0.118421052631579,760,0.78615209057467,19,20,2025-02
B0,2025-03,0.389691361650328,0.116542342121428,0.647981908441098,0.260781986223746,-0.0749920604153989,1.00387829207755,0.0180719975152557,0.141979949874687,838,0.760636369664767,21,20,2025-03
B1,2025-03,0.38976234439581,0.116569267809552,0.647009545801944,0.259420784353098,-0.080080848328656,0.998153361686344,0.0203303574640396,0.141979949874687,838,0.760976929242264,21,20,2025-03
B0,2025-04,0.326372328871374,0.0924056194615842,0.666622345548093,0.193144639414125,-0.311533046537662,1.03935606414112,0.0408723381096515,0.10469298245614,788,0.789692184395609,20,20,2025-04
B1,2025-04,0.32621476090093,0.0923458553439845,0.665627421521041,0.194305247420303,-0.309251281627417,1.03858750058218,0.0405152447197288,0.10469298245614,788,0.79003824458233,20,20,2025-04
B0,2025-05,0.353284528009972,0.102665221207586,0.640891734052111,0.191778706245818,-0.603460102713213,0.818470076337143,0.0345985227151235,0.116666666666667,796,0.776020912892292,20,20,2025-05
B1,2025-05,0.353382995741372,0.102699783983348,0.640177448337826,0.190656973327364,-0.612615995846554,0.809454645908923,0.0337689477435831,0.116666666666667,796,0.776540295968883,20,20,2025-05
B0,2025-06,0.359368006304671,0.104582237553757,0.631577361219938,0.198398515902584,-0.800043691944602,0.724254267233621,0.0421957768773003,0.1175,800,0.76973980784187,20,20,2025-06
B1,2025-06,0.358789253484742,0.104419894803947,0.633069133867759,0.199071405037138,-0.785839560214321,0.730384278112567,0.0414204256541129,0.1175,800,0.770404776436198,20,20,2025-06
B0,2025-07,0.371479853143082,0.110106884260775,0.695132406172604,0.328331075100539,0.0573970955106361,1.21481661134655,0.0336025481231746,0.138095238095238,840,0.758202283123268,21,20,2025-07
B1,2025-07,0.371408903080367,0.110075761606025,0.694608496856543,0.329705870117925,0.0606430510707196,1.21156009750705,0.0342524112034592,0.138095238095238,840,0.758747810913491,21,20,2025-07
B0,2025-08,0.401623236349734,0.121608588129147,0.655934331240948,0.252699365860992,-0.205699094964303,0.937638134435562,0.0167899250717158,0.1484375,640,0.749601601016086,16,20,2025-08
B1,2025-08,0.401679235128907,0.121631407528832,0.65550941574119,0.252413461684836,-0.207977126022931,0.932937291440808,0.0156852608520688,0.1484375,640,0.750034267562828,16,20,2025-08
