scope,period,horizon_bars,direction,events,sessions,stocks,mean_bps,median_bps,trimmed_mean_10pct_bps,positive_rate,standard_error_bps,raw_opening_pressure_return_after_20bps,cohort_relative_return_after_20bps,excess_vs_matched_control_bps,matched_control_coverage,maximum_stock_share,maximum_month_share,hidden_family_class,assessment_events,rough_screen_positive,q_value
unregistered_primitive_like__5-6-5,development,6,opening_pressure_direction,967,215,20,-23.9637732087319,-23.5273368606692,-25.7825456343021,0.43329886246122,5.98144647784029,-23.9637732087319,-18.2822307543108,-1.69426271416552,0.996897621509824,0.124095139607032,0.125644374139882,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,development,6,opening_pressure_direction,447,157,20,-15.7675595168993,-20,-16.7425198609358,0.391498881431767,4.2425685212881,-15.7675595168993,-18.7556479682394,3.08886927982192,0.993288590604027,0.125279642058166,0.229799754659072,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,development,6,opening_pressure_direction,125,92,20,-19.2033796440692,-20,-22.9127519772242,0.392,9.28564862766492,-19.2033796440692,-18.3330335862744,-0.420435625915967,1,0.104,0.190492944226724,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,development,6,opening_pressure_direction,99,66,17,-8.27820313586617,-35.7043586848993,-27.8200773193943,0.414141414141414,22.2003675741256,-8.27820313586617,4.59654121202768,8.40785868714134,1,0.272727272727273,0.233943662798447,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,development,6,opening_pressure_direction,1038,227,20,-16.5821985245333,-20,-19.1021107889522,0.41233140655106,3.97918700166642,-16.5821985245333,-16.4322492056979,-1.24340611348961,0.991329479768786,0.081888246628131,0.156607024491079,,,,
unregistered_primitive_like__5-6-5,development,6,completion_momentum_direction,967,215,20,-12.0495810906697,-20,-14.7445892530407,0.459152016546019,5.97733490312335,-23.9637732087319,-18.2822307543108,-1.69426271416552,0.996897621509824,0.124095139607032,0.125644374139882,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,development,6,completion_momentum_direction,447,157,20,-20.5393140119125,-20,-20.5087341333296,0.371364653243848,4.24722267158657,-15.7675595168993,-18.7556479682394,3.08886927982192,0.993288590604027,0.125279642058166,0.229799754659072,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,development,6,completion_momentum_direction,125,92,20,-35.5629562571996,-29.8619329388561,-32.1088762844503,0.384,9.18014799350472,-19.2033796440692,-18.3330335862744,-0.420435625915967,1,0.104,0.190492944226724,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,development,6,completion_momentum_direction,99,66,17,-35.0453715841132,-39.2352465439494,-35.0234453620686,0.414141414141414,22.1799129378953,-8.27820313586617,4.59654121202768,8.40785868714134,1,0.272727272727273,0.233943662798447,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,development,6,completion_momentum_direction,1038,227,20,-17.6922537428971,-20,-18.7357364897333,0.40655105973025,3.97995704736834,-16.5821985245333,-16.4322492056979,-1.24340611348961,0.991329479768786,0.081888246628131,0.156607024491079,,,,
