hidden_family_class,registered_semantic_loop_id,development_transitions,assessment_transitions,support_eligible,development_odds_ratio,development_p_value,assessment_odds_ratio,assessment_p_value,assessment_q_value,same_sign_replication,supported_replication
OTHER_UNREGISTERED_FAMILY,loop_p_0-1-0,71,28,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_0-2-0,52,24,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_0-4-0,1,1,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_1-2-1,49,40,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_2-4-2,1,5,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_2-5-6-2,2,1,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_2-6-2,4,4,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_2-6-5-2,5,2,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_4-5-4,13,11,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_4-6-4,12,22,False,,,,,,False,False
OTHER_UNREGISTERED_FAMILY,loop_p_6-7-6,6,1,False,,,,,,False,False
unregistered_primitive_like__2-3-2,loop_p_0-1-0,26,11,False,,,,,,False,False
unregistered_primitive_like__2-3-2,loop_p_0-2-0,29,8,False,,,,,,False,False
unregistered_primitive_like__2-3-2,loop_p_1-2-1,26,17,False,,,,,,False,False
unregistered_primitive_like__2-5-2,loop_p_0-1-0,2,1,False,,,,,,False,False
unregistered_primitive_like__2-5-2,loop_p_0-2-0,2,2,False,,,,,,False,False
unregistered_primitive_like__2-5-2,loop_p_1-2-1,10,3,False,,,,,,False,False
unregistered_primitive_like__2-5-2,loop_p_2-5-6-2,1,1,False,,,,,,False,False
unregistered_primitive_like__2-5-2,loop_p_4-5-4,2,2,False,,,,,,False,False
unregistered_primitive_like__4-7-4,loop_p_4-5-4,1,0,False,,,,,,False,False
unregistered_primitive_like__4-7-4,loop_p_4-6-4,6,2,False,,,,,,False,False
unregistered_primitive_like__4-7-4,loop_p_6-7-6,1,0,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_0-1-0,3,3,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_0-2-0,15,5,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_0-4-0,1,0,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_1-2-1,11,3,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_2-4-2,0,4,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_2-5-6-2,33,17,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_2-6-2,23,18,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_2-6-5-2,6,5,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_4-5-4,12,12,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_4-6-4,9,8,False,,,,,,False,False
unregistered_primitive_like__5-6-5,loop_p_6-7-6,1,1,False,,,,,,False,False
